htid,author,title,year,authgender,female_category,england_as_such_intensity
nyp.33433075753537,"Stretton, Julia Cecilia,",The valley of a hundred fires,1860,f,high_female,12.653422750854109
mdp.39015059405467,"Phillpotts, Eden,","Peacock house and other mysteries, | $c: by Eden Phillpotts.",1926,m,,12.652763512407152
nyp.33433084128663,"Thornbury, Walter,",Tales for the marines,1865,m,,12.651239821502507
uc2.ark:/13960/t5db7xt79,"Bradley, Shelland.",An American girl in India,1911,u,high_female,12.644404850853498
mdp.39015065785639,"Howison, John.",Tales of the colonies,1830,m,,12.639348820748754
mdp.49015000711896,"Reid, John Macnair,",Scottish short stories. | $c: Selected with an introduction by J. M. Reid.,1963,m,mixed,12.636012636012635
uc1.b5015632,"Lucas, F. L. (Frank Laurence),","The woman clothed with the sun, and other stories / | $c: by F.L. Lucas.",1937,m,mixed,12.635303036684496
uc1.b3739861,"Axe, Eric.",South enchanted Africa and a stare from a mountain / | $c: Eric Axe.,1980,m,high_male,12.63296192425276
uc1.b3451115,"Doody, Margaret Anne.",The alchemists / | $c: Margaret Doody.,1980,f,mixed,12.632186811996968
uc1.$b391279,"Cooper, Edmund,",All Fools' Day.,1966,m,mixed,12.631525761996793
pst.000021537707,"Wodehouse, P. G. (Pelham Grenville),",The man with two left feet and other stories / | $c: P.G. Wodehouse.,1961,m,mixed,12.631047113805735
inu.32000014228151,"Copping, Arthur E.",A journalist in the Holy Land;,1911,m,high_male,12.630847687765446
mdp.39015038528884,"Healy, Dermot,",The bend for home / | $c: Dermot Healy.,1996,m,,12.630819198845185
uc2.ark:/13960/t9765jt6p,"Harvey, William,",Irish life & humour in anecdote and story,1906,m,mixed,12.629983581021344
wu.89006315493,"Zangwill, Edith Ayrton.",The first Mrs. Mollivar,1906,f,high_female,12.629596886230296
mdp.39015011955997,"Morgan,",The O'Briens and the O'Flahertys;,1827,f,mixed,12.627259095572567
mdp.39015054132066,"Aldridge, Kitty,",Pop / | $c: Kitty Aldridge,2001,f,high_female,12.624523711150898
uiuo.ark:/13960/t3ws9607w,"Jeaffreson, John Cordy,",A noble woman,1868,m,high_female,12.620065904788614
uva.x000335016,"Brentwood, Evelyn.",Hector Graeme,1912,f,,12.619139523144986
mdp.39015000523301,"(Pelham Grenville), Wodehouse, P. G.","Jill the reckless,",1935,m,mixed,12.618119619773996
uiuo.ark:/13960/t19k4pp4d,"Daniel, Mackenzie,",The student's wife,1852,f,high_female,12.61784162806208
uiuo.ark:/13960/t7vm4j87s,"Chatterton, Georgiana,",Country coteries,1868,f,high_female,12.617386758953838
uiuo.ark:/13960/t4fn1pb13,"Tytler, Sarah,",Lady Bell,1873,f,high_female,12.613521695257315
uva.x030794682,"Trask, Katrina,",In my lady's garden;,1907,u,high_female,12.613521695257315
uc2.ark:/13960/t6b27s27p,"Lubbock, Percy,",George Calderon;,1921,m,high_male,12.608750472828143
mdp.39015014859816,"Tomelty, Joseph.",The apprentice; | the story of a nonentity.,1953,m,,12.60647973058152
uc1.$b236245,"Brent of Bin Bin, pseud.","Up the country; | a tale of the early Australian squattocracy, | $c: by Brent of Bin Bin. 2d. impression.",1928,u,,12.60435665880748
uc2.ark:/13960/t4bp03746,"Whyte-Melville, G. J.",Market Harborough;,1862,m,,12.604071114970136
uc2.ark:/13960/t2794d130,"Quiller-Couch, Arthur,",Mortallone and Aunt Trinidad;,1917,m,high_male,12.6031886067175
uiuo.ark:/13960/t3320g902,"Braddon, M. E.",The day will come,1889,f,,12.600806451612904
njp.32101067646719,"Hook, Theodore Edward,",The parson's daughter,1833,m,,12.600277206098534
mdp.39015057231295,"Winter, John Strange,",A magnificent young man,1895,m,high_female,12.599829417694036
mdp.39015029107664,,Border lines : | stories of exile and home / | $c: edited by Kate Pullinger.,1993,u,high_female,12.593823988715934
uc1.$b747710,"Jelf, Wilfrid,",Hark back! | $c: by Colonel Wilfrid Jelf.,1935,u,high_male,12.593189603062664
uc2.ark:/13960/t0tq5sq1s,"Bowden, H. Park.",The witch of Atlas,1889,u,,12.593070662867756
njp.32101066105501,"O'Donoghue, Power,",The knave of clubs,1868,f,high_female,12.592192840438928
mdp.39015037449280,"Naipaul, Shiva,",A man of mystery and other stories / | $c: Shiva Naipaul.,1995,u,high_female,12.583839832886609
mdp.39015016435300,"Kee, Robert.",A sign of the times.,1955,m,,12.581148407226612
inu.30000011897372,"Chesterton, G. K. (Gilbert Keith),",The Father Brown stories.,1949,m,high_male,12.57867840018942
mdp.39015057606413,"Lessing, Doris May,",The grandmothers / | $c: Doris Lessing.,2003,f,,12.575650396918965
uiuo.ark:/13960/t4vh5wc3v,"Cursham, Mary Anne.",Norman Abbey,1832,f,,12.569762180099552
nyp.33433074930110,"Brontë, Charlotte,",Shirley,1849,f,,12.56801514076177
uc1.$b389688,"Cockburn, Claud,",Ballantyne's folly: | a novel.,1970,m,,12.566445078351784
njp.32101066122258,"Birmingham, George A.,",Benedict Kavanagh,1907,m,,12.565971349585324
uc2.ark:/13960/t6057dn47,"Herbert, Alice.",Heaven and Charing Cross,1922,f,,12.563961988304094
mdp.39015048876091,"Lasdun, James.",The silver age.,1985,m,mixed,12.561630499638854
inu.30000092205339,"Pritchard, Francis Henry,",Humour of to-day / | $c: selected by F. H. Pritchard.,1927,m,mixed,12.56106071179344
mdp.39015003928952,"Gerhardie, William Alexander,",Futility;,1922,m,,12.560885402855508
mdp.39015003928887,"Gerhardie, William Alexander,",Works.,1970,m,,12.56071009881092
mdp.39015014134657,"Neuburg, Paul,",The long birth.,1967,m,mixed,12.558982363600482
mdp.39015005321834,,The history of the damnable life and deserved death of Doctor John Faustus 1592 : | together with The second report of Faustus : containing his appearances and the deeds of Wagner : 1594 / | $c: both modernized and edited by William Rose ; with an introduction.,1925,u,high_male,12.55821254774737
inu.30000035546377,"Perriam, Wendy,",Born of woman / | $c: Wendy Perriam.,1993,f,high_female,12.557014385167951
mdp.39015066681415,"Abruquah, Joseph W",The torrent; | a novel.,1968,m,high_male,12.554665104308343
uiuo.ark:/13960/t9g45bv5n,"Reade, Charles,",A terrible temptation,1871,m,,12.550650840893606
nyp.33433074954953,"Cullen, Margaret.",Home,1802,f,high_female,12.544578054156736
mdp.39015053144948,,Don't think of tigers : | the First Edition anthology / | $c: edited by Peter Guttridge.,2001,u,high_female,12.542330364981812
uc2.ark:/13960/t5v69dd17,"Wren, Percival Christopher,",Snake and sword,1914,m,mixed,12.542330364981812
inu.39000002366495,"Roberts, Michele.",A piece of the night / | $c: Michele Roberts.,1979,f,high_female,12.533612870881
pst.000033164229,"Kelman, James,","How late it was, how late / | $c: James Kelman.",1996,m,high_male,12.527819127769016
nyp.33433082531017,"Elliott, E. S.",Father's coming home,1862,f,,12.527142141306165
dul1.ark:/13960/t6b28fr9v,"Harvey, Jane,",Brougham Castle,1816,f,,12.525677639160278
uc2.ark:/13960/t6h12x79v,"Howitt, William,",Madam Dorrington of the Dene,1851,m,,12.5248757949817
uc2.ark:/13960/t7np2084s,"Gibbon, Frederick P.",A prisoner of the Gurkhas,1904,m,high_male,12.522198442693869
uc1.b3114920,"Kuehnelt-Leddihn, Erik von,",Night over the east / | $c: translated and adapted from the German by Edwin and Willa Muir.,1936,m,mixed,12.522005583341311
uiuo.ark:/13960/t1zc8db1h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,12.520032051282053
uiuo.ark:/13960/t57d3gt1n,"Praed, Campbell,",Nadine,1882,f,,12.519561815336465
nyp.33433075766380,"Pinsent, Ellen Frances Parker,","Job Hildred, artist and carpenter",1897,f,high_female,12.518952302791726
uc1.b3327591,"Porter, Anna Maria,",Honor O'Hara,1826,f,,12.51846473548484
uiuo.ark:/13960/t59c7824j,"Besant, Walter",With harp and crown,1875,m,mixed,12.517837919034625
uc2.ark:/13960/t3pv6qg0p,Bartimeus.,A tall ship on other naval occasions,1918,u,,12.51773345572895
uiuo.ark:/13960/t4gm8v82c,"Strangford, George Augustus Frederick Percy Sydney Smythe,",Angela Pisani,1875,m,mixed,12.51695003650777
mdp.39015013257947,"Mortimer, John,",Rumpole's last case / | $c: John Mortimer.,1987,m,mixed,12.515122439614537
osu.32435070795778,"Weyman, Stanley John,","The Castle Inn, | $c: by Stanley J. Weyman.",1927,m,high_male,12.514999595102957
nyp.33433075763965,"Ward, James.",Adolphe Renouard: or peasant life and political clubs in France,1852,m,mixed,12.510164508663289
mdp.39015000610462,"Woolf, Virginia,",Night and day.,1950,f,high_female,12.507379353818752
njp.32101067646008,"Hofland,",Tales of the manor,1822,f,high_female,12.50357244927122
njp.32101066597426,"Baring-Gould, S.",Arminell,1890,m,,12.502930374306478
nyp.33433075752430,,Almack's;,1827,u,high_female,12.499062570307228
uiuo.ark:/13960/t67371w1v,"Beaton, Patrick.",Marion Leslie,1863,m,mixed,12.49785193169924
mdp.39015008802384,"Colegate, Isabel.",Orlando King.,1968,f,mixed,12.495470391982906
uc1.b3872923,"Harben, Henry Devenish,","Love letters to a dead woman, | $c: by H. D. Harben.",1923,m,mixed,12.493307156880242
uiuo.ark:/13960/t2794p86w,"Tytler, Sarah,","Oliver Constable, miller and baker",1880,f,mixed,12.490854909798184
uiuo.ark:/13960/t2891j92x,"Thomas, Annie,","No hero, but a man",1894,f,,12.490632025980515
uiuo.ark:/13960/t2s475k25,"Kendall, Edward Augustus,",The English boy at the Cape,1835,m,,12.490320001998452
uiuo.ark:/13960/t3pv74d80,"Siddons, Henry,",Virtuous poverty,1804,m,mixed,12.490111994670883
uc1.b3331857,"Thorn, Ismay.","Only five; or, Pussie's frolics in farm and field",1880,f,high_female,12.488552160519523
nyp.33433074867460,"Jefferies, Richard,",Restless human hearts,1875,m,mixed,12.486537951271286
hvd.hwjrdn,"Smollett, T.","The miscellaneous works of Tobias Smollett, M.D",1824,m,,12.485953302534648
uiuo.ark:/13960/t0ht34n1h,"Kelty, Mary Ann,",Osmond,1822,f,,12.484394506866415
nyp.33433075763502,"Thackeray, William Makepeace,",The history of Pendennis;,1906,m,mixed,12.484250193621472
uiuo.ark:/13960/t9280xg5h,"Philips, F. C.",The dean and his daughter,1887,m,,12.480966526047776
wu.89096232657,"Le Fanu, William Richard,","Seventy years of Irish life, being anecdotes and reminiscences",1907,m,high_male,12.47634692562018
uc1.$b785355,"Cleary, Jon,",A flight of chariots / | $c: Jon Cleary,1964,m,mixed,12.476111082756312
mdp.39015000626195,"Kops, Bernard,",The dissent of Dominick Shapiro.,1966,m,mixed,12.473805009480092
uc2.ark:/13960/t6qz2665z,"Festing, Gabrielle.",Honor among thieves;,1917,f,,12.472416770603472
inu.39000002551013,"Braddon, M. E.",The doctor's wife,1864,f,mixed,12.47232702441458
mdp.39015079291335,"Rankin, Robert,",Necrophenia / | $c: Robert Rankin.,2008,m,high_male,12.468545260819296
nyp.33433074864624,"Glyn, Elinor,",The contrast,1913,f,high_female,12.46638528254172
umn.319510020548500,"Delafield, E. M.,",Zella sees herself / | $c: by E.M. Delafield.,1930,f,high_female,12.464683397041716
uiuo.ark:/13960/t59c7dv4h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,12.463854821019044
uc1.$b252042,"Lovelace, Earl,",While gods are falling.,1965,m,,12.4595066035385
mdp.39015057277033,"Gye, Caroline.",The Cockney and the crocodile.,1962,f,mixed,12.4590630784565
uc2.ark:/13960/t6c250h43,"Harvey, G. Bianca.","Respice finem, or, Love in exile",1885,f,high_female,12.456845926611384
uc1.$b119605,"Born, Edith de,",Scars.,1968,f,high_female,12.456712922593988
nyp.33433088074723,"Hall, S. C.,",The prince of the Fair family,1867,f,mixed,12.45640259093174
mdp.39076006608140,"Huxley, Aldous,",Collected works.,1970,m,mixed,12.455925187797028
uc1.32106018712015,"Dean, Louise",This human season / | $c: Louise Dean,2005,f,mixed,12.455368263721663
njp.32101018115079,"Hood, Tom,",Captain Master's children,1865,m,mixed,12.453521678023092
inu.30000026000749,"Mason, David N.",The Game show handbook / | $c: David N. Mason ; with a foreword by Michael Barrymore.,1991,m,high_male,12.452679816696554
uc1.$b245271,"Leslie, Shane,",Masquerades : | studies in the morbid / | $c: by Shane Leslie.,1924,u,,12.452635511358585
njp.32101067173011,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,high_male,12.443905208552074
uc1.32106019870283,"Slovo, Gillian,",Black orchids / | $c: Gillian Slovo,2008,f,high_female,12.4430491213293
uiuo.ark:/13960/t8gf1h247,"Blackmore, R. D.",The maid of Sker,1872,m,,12.43982235933671
mdp.39015000610488,"Woolf, Virginia,",Night and day,1919,f,high_female,12.439358129120537
uiuo.ark:/13960/t8x92x07s,"Hatton, Ann Julia (Kemble)","Cambrian pictures, or, Every one has errors",1810,f,mixed,12.438654816020987
njp.32101068169141,"Fullerton, Georgiana,",Ellen Middleton,1844,f,,12.436485093984295
mdp.39015031223848,"Bentley, Phyllis Eleanor,","Inheritance, | $c: by Phyllis Bentley.",1932,f,,12.436264146250466
nyp.33433074862784,"Hall, Evelyn Beatrice,",Matthew Hargraves,1914,f,,12.434165534269448
inu.30000007265501,"Braddon, M. E.",Eleanor's victory,1863,f,high_female,12.43076753083521
uiuo.ark:/13960/t9k36f70c,"Steinman, Emma C. C.",Our little gipsy,1881,f,,12.428844863158416
mdp.39015051854217,"Woolf, Virginia,",The years | $c: [by] Virginia Woolf.,1951,f,high_female,12.428458684696215
uc1.$b120399,"Pickering, Robert Easton.",In transit | $c: [by] R. E. Pickering.,1968,m,high_female,12.427873945849978
inu.32000006468898,"Woolf, Virginia,",The years | $c: [by] Virginia Woolf.,1937,f,high_female,12.427531954291538
nyp.33433008160214,,Tales of our coast,1896,m,high_male,12.425640308777162
wu.89099487951,"Fangen, Ronald,",Both are my cousins / | $c: Ronald Fangen ; translated from the Norwegian by Dermot McKay.,1940,m,high_male,12.42292141937524
inu.30000027256373,"Anthony, Evelyn.","The Evelyn Anthony omnibus : | The Poellenberg inheritance, The occupying power, The grave of truth.",1991,f,mixed,12.42092748839974
mdp.39015031232336,"Earle, John,",Microcosmographie,1903,m,high_male,12.417732522041476
mdp.39015031237046,"Green, F. L. (Frederick Lawrence),",A fragment of glass.,1947,m,,12.416601824412696
mdp.39015031326245,"Hyams, Edward,",Morrow's ants / | $c: Edward Hyams.,1975,m,mixed,12.41601942417261
uiuo.ark:/13960/t87h23k1f,"Stuart, Esmè,",A mine of wealth,1896,u,high_female,12.408744028291936
uc2.ark:/13960/t49p3083r,"Roberts, C. E. Bechhofer",A Russian anthology in English,1917,u,,12.40587045790068
uiuo.ark:/13960/t1pg29s78,"Panton, J. E.",Having and holding,1890,f,mixed,12.405665253799237
nnc1.1002390230,"Stretton, Hesba,",The Clives of Burcot,1867,m,,12.404553849546543
uiuo.ark:/13960/t7zk5wn5v,"Braddon, M. E.",The lady's mile,1866,f,high_female,12.402716194846672
uc1.b3325267,"Ward, Humphry,",The history of David Grieve,1893,f,,12.399805145919135
uc1.b3919885,"Wickham, John.",Discoveries : | short stories / | $c: John Wickham.,1993,m,,12.398572786510352
mdp.39015016455829,"Acton, Harold,","Prince Isidore, | a novel.",1950,m,,12.397206496136205
mdp.39015038144393,"de Tudèle, Guillaume,",The song of the Cathar wars : | a history of the Albigensian Crusade / | $c: William of Tudela and an anonymous successor ; translated by Janet Shirley.,1996,u,high_male,12.39714245866328
uiuo.ark:/13960/t7vm4jc0r,"Old Sailor,","Topsail-sheet blocks, or, The naval foundling",1838,m,,12.396335643183876
uiuo.ark:/13960/t3st8845k,"Wood, Henry,","Lady Grace, and other stories",1887,f,mixed,12.394389473031874
uc1.$b322928,"Armstrong, Martin Donisthorpe,",Selected stories.,1951,m,,12.394172831973153
mdp.39015063542164,"Collins, Wilkie,", I say no,1884,m,high_female,12.392341532932647
inu.32000009290091,"Bonfiglioli, Kyril.",Don't point that thing at me; | a thriller.,1972,u,high_male,12.390379558627146
mdp.39015008889845,"Sillitoe, Alan.",The death of William Posters.,1965,m,,12.389424387342965
uiuo.ark:/13960/t16m3vs0x,"Reynolds, Baillie,",The Ides of March,1892,f,,12.388503468780971
uiuo.ark:/13960/t5t72p66n,"Blake, Louise Pilkington,",Mrs. Grey's reminiscences,1878,f,high_female,12.38631135647804
mdp.39015000599111,"Raven, Simon,",The Sabre Squadron /,1966,m,high_male,12.38599256840446
njp.32101033250323,"Kay-Shuttleworth, James,",Scarsdale,1860,m,,12.38374756968954
nyp.33433074955018,"Lathom, Francis,",Men and manners,1800,m,,12.383462770003716
mdp.39015025343503,"Pollard, Velma.",Considering woman / | $c: Velma Pollard.,1989,f,high_female,12.38236750866766
mdp.39015019831612,"Cunningham, John,",Leeds to Christmas / | $c: John Cunningham.,1990,m,,12.381984212970128
uc2.ark:/13960/t77s7ph7v,"Buchanan, Robert Williams,",The new Abelard,1884,m,,12.37531866445561
uc2.ark:/13960/t3319tx0b,"Torr, John Berry.",The uncle's legacy,1849,m,mixed,12.374924866527596
nyp.33433074940846,"Blackmore, R. D.",Tales from the telling-house,1896,m,,12.374195677280976
wu.89006381016,"Muddock, Joyce Emmerson Preston,","Eugéne Vidocq, soldier, thief, spy, detective",1902,m,high_male,12.373503027089134
dul1.ark:/13960/t14m9s97v,"Trollope, Frances Milton,",The young heiress,1864,f,high_female,12.37081518517564
uc2.ark:/13960/t0vq2vj6z,"Dinga, Shway,",The repentance of destiny,1913,u,high_male,12.369418299992128
uc2.ark:/13960/t4wh2g63t,"Grant, Sybil,",Samphire,1912,f,high_female,12.363340927957044
inu.32000000107260,,Jane Austen's novels : | connected extracts / | $c: edited by Elizabeth D'Oyley.,1931,u,high_female,12.363146832973888
uiuo.ark:/13960/t03x8zk9m,"Hardy, Thomas,",A pair of blue eyes,1873,m,,12.359193474345846
uiuo.ark:/13960/t3hx1w340,"Maxwell,",Eleanor's victory,1863,f,high_female,12.358223711311894
uiuo.ark:/13960/t79s21g78,"Lyall, Edna,",We two,1884,f,high_female,12.356018067244197
uiuo.ark:/13960/t6931j77s,"Hardy, Thomas,",A pair of blue eyes,1873,m,,12.355266873764473
hvd.hn66zt,"Lytton, Edward Bulwer Lytton,",The pilgrims of the Rhine,1834,f,high_female,12.35271759787153
uiuo.ark:/13960/t4wh2v25j,"Belgrave, Dalrymple J.",Jack Warleigh,1891,m,high_male,12.352626305603977
uc1.b3314608,"Scott, Hugh Stowell,",Novels of Henry Seton Merriman [pseud.],1897,m,mixed,12.35248284905266
mdp.39015064809968,"Sicking, Anja,",The silent sin / | $c: by Anja Sicking ; translated from the Dutch by David Colmer.,2006,f,high_male,12.351996612023786
uc1.b3872896,"Grimshaw, Beatrice Ethel.",The star in the dust / | $c: by Beatrice Grimshaw.,1930,f,,12.346822236626847
njp.32101068179041,"Harwood, John Berwick.",Lady Livingston's legacy,1874,m,,12.344808126410836
uiuo.ark:/13960/t3jw91d2q,"Tregenna, Charles,",Lascare,1876,m,,12.342849082221008
uc1.b4089433,"Brenan, Gerald.",The lighthouse always says yes.,1966,m,mixed,12.340787602055066
hvd.hnp67w,"St. John, James Augustus,","Margaret Ravenscroft, or, Second love",1835,m,,12.33368792686123
uiuo.ark:/13960/t3qv44b0d,"Mallock, W. H.",A romance of the nineteenth century,1881,m,mixed,12.33241133877134
mdp.39015060001313,"Fallowell, Duncan.",A history of facelifting : | a novel / | $c: by Duncan Fallowell.,2003,m,mixed,12.328091611418552
mdp.39015002758228,"Viscount Samuel, Samuel, Edwin,",A coat of many colors.,1960,m,,12.327289537213003
mdp.39015005387413,"Lively, Penelope,",Treasure of time / | $c: Penelope Lively.,1979,f,high_female,12.323162616453889
mdp.39015003494690,"Mitchell, Julian.",The undiscovered country.,1968,m,high_male,12.320107184932509
mdp.39076005056051,"Doyle, Adrian Conan,",The exploits of Sherlock Holmes / | $c: by Adrian Conan Doyle and John Dickson Carr.,1954,m,high_male,12.31970584333125
uc1.b3578349,"Crowe, Eyre Evans,",Today in Ireland,1825,m,,12.317736000123178
njp.32101032332254,"Richardson, Samuel,",The history of Sir Charles Grandison,1810,m,mixed,12.31749577099312
hvd.hn2hej,"Semple, Elizabeth,","Summer rambles, or, Conversations, instructive and entertaining",1801,f,high_female,12.31678778174652
uiuo.ark:/13960/t2j681c6n,"Alexander,",Found wanting,1893,f,mixed,12.310939148786494
uiuo.ark:/13960/t3cz3vq12,"Norris, W. E.",A victim of good luck;,1894,f,high_female,12.310722639418934
uiuo.ark:/13960/t7fr08z44,,Happiness;,1821,u,high_female,12.30977550046931
uiuo.ark:/13960/t1fj33h92,"Norris, W. E.",No new thing,1883,f,mixed,12.309207287050716
hvd.hnp4pz,"Jones, Hannah Maria,","The strangers of the glen; or, The travellers benighted",1827,f,mixed,12.304089200403912
njp.32101064909334,"Maginn, William,",Tales of military life,1829,m,high_male,12.302645068689769
mdp.39015034358492,"Graham, Winston.","The angry tide : | a novel of Cornwall, 1798-9 / | $c: Winston Graham.",1977,m,mixed,12.295525412391925
njp.32101064790734,"Stepney, Catherine Pollock Manners,",The courtier's daughter,1838,f,,12.293906320433836
uiuo.ark:/13960/t0ht2ws6f,"Boyce, J. C.",Frost and thaw,1873,u,mixed,12.291699590862
uiuo.ark:/13960/t0tq68p4z,"Elliot, Frances,",The ill-tempered cousin,1885,f,,12.291267932081965
mdp.39015011249813,"Williamson, Henry,",Love and the loveless; | a soldier's tale.,1958,m,high_male,12.289953521630318
njp.32101067628683,"Baring-Gould, S.",The Pennycomequicks;,1889,m,,12.283287709693267
wu.89100091255,"Aleksinskaia, Tatiana.",With the Russian wounded,1916,u,high_male,12.282748879199165
mdp.39015025198402,"(Christian Karlson), Stead, C. K.",Sister Hollywood / | $c: C.K. Stead.,1991,u,high_female,12.281583207726232
uiuo.ark:/13960/t8kd2jc54,"Stevens, Grace Buchanan.","Llewellen, or, The vale of Phlinlimmon",1818,f,high_female,12.279983626688498
uc1.$b742823,"Niezychowski, Alfred von.","The cruise of the Kronprinz Wilhelm, | $c: by Count Alfred von Niezychowski.  With a foreword by Rear-Admiral Walter McLean, U.S.N., and an introduction by Count Luckner.",1928,m,high_male,12.278841323882348
mdp.39015061751411,"Buckley, Jonathan,",Invisible / | $c: Jonathan Buckley.,2004,m,mixed,12.275210212974898
uc1.$b56660,"Hichens, Jacobine.",Noughts and crosses.,1952,u,high_female,12.272735242035871
uc2.ark:/13960/t06w9kb11,"Besant, Walter,",The seamy side,1888,m,,12.269818210373396
uc1.b4938151,"Golding, William,",The paper men / | $c: William Golding.,1984,m,,12.268767806753274
njp.32101067647790,"James, G. P. R.",The woodman,1849,m,,12.26809885361432
mdp.39015008523915,"Pereira, Michael,",Stranger in the land.,1967,m,high_male,12.265423770391267
uc2.ark:/13960/t52f7p114,"Corner,",The brothers Basset,1855,f,mixed,12.26531631374679
uc1.b3321850,"Disraeli, Benjamin,",Henrietta Temple,1837,m,mixed,12.26434928866774
uiuo.ark:/13960/t13n2dw98,"Lyall, Edna,",We two,1884,f,high_female,12.263731546916436
mdp.39015059246713,"Harris, Denise,",In remembrance of her / | $c: Denise Harris.,2004,f,high_female,12.260912211868565
uc2.ark:/13960/t24b30766,"Sinclair, Francis.",Where the sun sets,1905,m,mixed,12.259524707657487
uiuo.ark:/13960/t1jh42h3q,,Laura Erle,1873,u,high_female,12.258765016987146
uiuo.ark:/13960/t7vm4td6d,,The Observant pedestrian mounted; or A donkey tour to Brighton,1815,u,mixed,12.257906349595489
njp.32101064632415,"Sidgwick, Frank.",Love and battles,1909,m,mixed,12.256082080732565
uc2.ark:/13960/t0pr7pk7h,"Beresford, J. D.",Nineteen impressions,1918,m,high_male,12.25164886774345
uiuo.ark:/13960/t7gq7k329,"Roberts, Margaret,",Mademoiselle Mori,1860,f,high_female,12.243434458271752
wu.89100102912,"Morgan, J. H.",Leaves from a field note-book,1916,u,mixed,12.24173342945361
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,12.237805027290303
uiuo.ark:/13960/t02z1gm85,"Ainsworth, William Harrison,",Hilary St. Ives,1870,m,,12.233912405187178
mdp.39015014828662,"Nye, Robert.",Tales I told my mother.,1969,m,,12.2337253222822
mdp.39015030750486,"Hughes, Richard Arthur Warren,",The wooden shepherdess | $c: [by] Richard Hughes.,1973,m,mixed,12.232509422854914
uiuo.ark:/13960/t7hq4hd6m,"Norris, W. E.",Miss Shafto,1889,f,,12.229984865393728
uiuo.ark:/13960/t5v705989,"Hook, Theodore Edward,",The man of sorrow;,1808,m,mixed,12.22892548508071
inu.30000011910175,"Cockton, Henry,",The sisters;,1844,m,,12.22731294009336
uc2.ark:/13960/t2h70c474,"Friswell, J. Hain",Diamonds and spades;,1858,m,,12.225628679444016
nyp.33433074840475,"Dawson, Warrington,",The scourge,1908,u,,12.224369571797798
inu.30000110590472,"Astaire, Simon.",Private privilege / | $c: Simon Astaire.,2008,m,mixed,12.224123752583736
mdp.39015063891322,"Kingston, William Henry Giles,",The three midshipmen;,1906,m,high_male,12.22145272334705
nyp.33433074916226,"Lamb, Charles,",Tales from Shakespear,1809,f,,12.21555214295686
uiuo.ark:/13960/t46q2gj16,"Marks, Mary A. M.",All the world's a stage,1879,f,mixed,12.21555214295686
njp.32101068166840,"Curling, Henry,","The self-divorced, or, The school for wives",1861,m,high_male,12.213292948044652
mdp.39015084093510,"Hickey, Christine Dwyer.",Last train from Liguria / | $c: Christine Dwyer Hickey.,2009,f,high_female,12.209070696945162
uc1.b3834725,"Eldershaw, M. Barnard.","Green memory, | $c: by M. Barnard Eldershaw ...",1931,u,high_female,12.205541315757356
uc2.ark:/13960/t6d21sc53,"Straus, Ralph.",The scandalous Mr. Waldo,1909,m,,12.202906169038412
uiuo.ark:/13960/t2q52w764,"Chamier, Frederick,",The unfortunate man,1835,m,,12.201818070892562
nyp.33433057525093,"Montesquieu, Charles de Secondat,",Persian letters,1892,m,high_male,12.20149904131079
mdp.39015054182749,"Redfern, Elizabeth.",The music of the spheres / | $c: Elizabeth Redfern.,2001,f,high_male,12.20127669722532
mdp.39015011632562,"Huxley, Aldous,",[The collected works of Aldous Huxley],1946,m,,12.197410395946706
uiuo.ark:/13960/t11n8pr8z,"Braddon, M. E.",Mount Royal,1882,f,,12.195121951219512
uc1.$b295058,"Hobart, Alice Tisdale,","Within the walls of Nanking, | $c: by Alice Tisdale Hobart; proem by Florence Ayscough.",1928,f,high_male,12.192572981258271
uiuo.ark:/13960/t4bp0q85k,"Russell, William Clark,","Jilted! or, My uncle's scheme",1875,m,,12.19023736133605
inu.30000003786799,"Benson, E. F.",Limitations,1896,m,,12.189282138348352
mdp.39015010733163,"MacDonald, George,",The gifts of the child Christ,1882,m,mixed,12.185833968012188
uc2.ark:/13960/t2k64d944,"Young, Francis Brett,",The crescent moon,1918,m,mixed,12.185665226542596
mdp.39015056907184,"Flusfeder, D. L.,",The gift / | $c: David Flusfeder.,2003,u,mixed,12.184315463003989
uc2.ark:/13960/t7sn07q6m,"Yonge, Charlotte M.",The armourer's prentices,1884,f,high_male,12.17952621643018
mdp.39015066900732,"Follett, Ken.",WORLD WITHOUT END.,2007,m,,12.178186510890638
mdp.39015059376114,,The New British novelist;,1830,u,high_male,12.177177939012632
mdp.39015005544195,"Clouston, W. A.",The book of noodles;,1888,m,high_male,12.176004139841409
uc2.ark:/13960/t01z44t2n,"Baring, Maurice,",Orpheus in Mayfair,1909,m,mixed,12.175448208687182
uc1.$b300202,"Estridge, Robin.",Return of a hero : | a novel.,1950,u,,12.175414517521528
uiuo.ark:/13960/t0xp7ks1j,"Payn, James,",For cash only,1882,m,mixed,12.174171818144927
njp.32101068584737,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,12.17158456643077
uiuo.ark:/13960/t7xk8k368,,Amat,1881,u,,12.1713729308666
uc2.ark:/13960/t3cz33z70,"Dell, Ethel M.",The safety curtain,1917,f,,12.167247507886984
