htid,author,title,year,authgender,female_category,walking
uiuo.ark:/13960/t8bg3551v,"Eliot, George,",Adam Bede,1899,f,mixed,84.73324574973375
mdp.39015041019905,"Hahn, Emily,","Affair, | $c: by Emily Hahn.",1935,f,mixed,84.69902300661835
mdp.39015030846482,"Bragg, Melvyn,",Josh Lawton | [a novel],1972,m,,84.69375230146066
uiuo.ark:/13960/t1hh6vt65,"Eliot, George,",The mill on the Floss,1899,f,,84.67745218573674
uc1.$b243901,"Pickthall, Marmaduke William,",The early hours.,1925,m,high_male,84.66777102889748
uc2.ark:/13960/t1sf2sd86,"Jeffery, Walter,",The King's yard;,1903,m,mixed,84.66632396964107
uc1.b4087141,"Bagnold, Enid.","Alice and Thomas [and] Jane, | $c: by Enid Bagnold; illustrated by the author and Laurian Jones.",1930,f,mixed,84.66314331161168
uc1.$b182827,"Cotterell, Geoffrey",Then a soldier,1945,m,,84.65690652790182
uiuo.ark:/13960/t09w0z784,"De Jongh, Bertha.",Loving and loth,1875,f,high_female,84.6540013780884
mdp.39015033205397,"Delteil, Joseph,",The porcelain junk / | $c: by Joseph Delteil.,1928,m,high_male,84.6335001471887
inu.30000114176047,"Apter, T. E.",Silken lines and silver hooks / | $c: [by] T. E. Apter.,1976,u,high_female,84.6209640196057
mdp.39015056192084,"Shahraz, Qaisra.",Typhoon / | $c: Qaisra Shahraz.,2003,u,high_female,84.61237524223704
uc1.32106010982954,Bảo Ninh.,"The sorrow of war : | a novel / | $c: Bao Ninh ; English version by Frank Palmos ; based on the translation from the Vietnamese by Vo Bang Thanh and Phan Thanh Hao, with Katerina Pierce.",1993,u,high_female,84.60740970244409
coo.31924013236355,"Waugh, Alec,","The loom of youth, | $c: by Alec Waugh; with a preface by Thomas Seccombe.",1929,m,high_male,84.60300793908583
uiuo.ark:/13960/t0bv7vb9b,"Fothergill, Caroline.",Put to the proof,1883,f,high_female,84.60006003875229
uc2.ark:/13960/t9c53hf6g,"Le Fanu, Joseph Sheridan,",The tenants of Malory,1867,m,,84.5820939707064
mdp.39015031228250,"Dawson, Jennifer.",A field of scarlet poppies / | $c: [by] Jennifer Dawson.,1979,f,,84.56609257009457
mdp.39015008386784,"O'Flaherty, Liam,",The house of gold / | $c: by Liam O'Flaherty.,1929,m,,84.56057802597098
nyp.33433074875745,"MacDonald, George,",The portent,1864,m,high_female,84.55177249386485
mdp.39015059175748,,North : | new Scottish writing : the Scotsman & Orange short story award 2004 / | $c: Edited by Jackie Kay.,2004,u,mixed,84.54938310264922
uc1.$b111876,"'Edith', pseud.","Somersaults and strange company, | $c: by 'Edith'.",1937,u,,84.54616824687481
mdp.39015019669392,"Gale, Patrick,",The cat sanctuary / | $c: Patrick Gale.,1990,m,high_female,84.54549158619565
mdp.39015014608460,,One half of the sky : | selection from contemporary women writers of China / | $c: translated by R.A. Roberts and Angela Knox / | with an introduction by Frances Wood.,1987,u,,84.53085376162299
coo.31924021977206,"Churchill, Winston,",The crisis | $c: With illustrations by Howard LChandler Christy.,1923,m,,84.51598720046898
uiuo.ark:/13960/t19k4r620,"Hardy, Iza Duffus.",A hero's work,1868,f,,84.51137062077443
mdp.39015025157804,"Edgell, Zee.",In times like these / | $c: Zee Edgell.,1991,f,high_female,84.5101139523472
uc1.$b188836,"Giono, Jean,",Angelo. | $c: Translated by Alma E. Murch.,1960,f,,84.46530691369307
mdp.39015061210376,"Shafqat, Khan.",Chain of being / | $c: by Khan Shafqat.,2005,u,high_male,84.46501831903645
mdp.39015022651528,"Baesjou, Jan,",The Vermeer forgeries; | the story of Han van Meegeren | $c: [Translated from the Dutch by Ian F. Finlay],1956,u,,84.45794174198997
uc1.32106008206812,,One half of the sky : | selection from contemporary women writers of China / | $c: translated by R.A. Roberts and Angela Knox / | with an introduction by Frances Wood.,1987,u,high_female,84.44444444444444
uc1.$b300991,"James, Norah Cordner,",Sleeveless errand : | a novel / | $c: by Norah C. James.,1929,f,,84.44162972345366
uc1.32106018079886,"Sinclair, Iain,","Dining on stones, or, The middle ground / | $c: Iain Sinclair",2005,m,,84.4408546883031
uc1.32106013744666,"Thomas, Rosie",Moon island / | $c: Rosie Thomas,1998,f,high_female,84.43309209592735
mdp.39015029096032,"Anthony, Michael,",The chieftain's carnival and other stories / | $c: Michael Anthony.,1993,m,,84.43247683811784
njp.32101037974829,"Fullerton, Georgiana,",A will and a way,1881,f,high_female,84.41720860430215
mdp.39015041912760,"Steven, Kenneth C.,",The summer is ended / | $c: Kenneth C Steven.,1997,m,high_male,84.41247002398082
mdp.39015004056027,"Fielding, Gabriel,",Brotherly love [by] | $c: Gabriel Fielding [pseud.],1954,m,,84.40030886921544
mdp.39015061210277,"Harding, John,",One big damn puzzler / | $c: John Harding.,2005,m,,84.39318339971277
mdp.39015049862678,"Kennaway, James,",Silence.,1972,m,mixed,84.3717549325026
wu.89004597233,"Nielsen, Torben,",Nineteen red roses / | $c: [by] Torben Nielsen ; [translated from the Danish].,1978,u,mixed,84.35377975228107
mdp.39015040037064,,The star : | & other Korean short stories / | $c: translated from the Korean by Agnita Tennant,1996,u,high_male,84.31129907393557
mdp.39015001790107,"Dos Passos, John,",One man's initiation--1917,1920,m,high_male,84.29987500363362
uc1.32106013454209,"Litt, Toby,",Adventures in capitalism / | $c: Toby Litt,1996,m,,84.29764732929726
mdp.39015066088157,"Okri, Ben.",The famished road / | $c: Ben Okri.,1991,m,high_male,84.26433072360837
mdp.39015018944440,"Salaman, Nicholas.",Forces of nature / | $c: Nicholas Salaman.,1989,m,,84.23383312074318
inu.30000037326075,"Cookson, Catherine.",The gillyvors / | $c: Catherine Cookson.,1990,f,high_female,84.22501995766777
inu.30000007685427,"Waugh, Alec,",The loom of youth,1918,m,high_male,84.223191457362
inu.39000004507955,"Cleary, Jon,",North from Thursday.,1960,m,mixed,84.21828326293212
mdp.39015004687557,"(Hans Christian), Branner, H. C.",No man knows the night; | a novel. | $c: Translated from the Danish by A.I. Roughton.,1958,u,,84.20214638925887
mdp.39015056944732,"Smith, Ali,",The whole story and other stories / | $c: Ali Smith.,2003,m,high_female,84.19961786327278
inu.39000005892141,"Lane, Yoti.",African folk tales. | $c: With drawings by Blair Hughes-Stanton.,1946,u,,84.1962215099189
inu.39000003355935,"Cross, John Keir,",The other passenger : | 18 strange stories / | $c: by John Keir Cross ; with 8 colour plates by Bruce Angrave.,1944,m,,84.19074965215927
uc1.b3294825,"Knowler, John,",The trap.,1964,m,high_female,84.18944901418706
uc2.ark:/13960/t1wd3rv2p,"Blundell, Peter.","Wanted, a tortoise-shell",1917,m,,84.18141094057694
mdp.39015050555005,"Armitage, G. E.",A season of peace : | a novel / | $c: by G.E. Armitage.,1985,u,,84.17632725393192
uc1.$b119986,"Serumaga, Robert,",Return to the shadows.,1969,m,high_male,84.16658250008416
uc1.$b299887,"Cornwall, Rosalind.","Dark interval, | $c: by Rosalind Cornwall.",1935,f,high_female,84.15079823042893
uiuo.ark:/13960/t55d9cn5r,"Murray, David Christie,",Time's revenge,1893,m,high_male,84.15008415008415
inu.30000107606992,"Doughty, Anne,",The hawthorns bloom in May / | $c: Anne Doughty.,2006,f,,84.14992843323843
mdp.39015031219358,,The Bodley Head book of Irish short stories / | $c: selected and introduced by David Marcus.,1980,u,,84.14663585888195
mdp.39015076134462,"Lewis, R. (Robert),",Swansea terminal / | $c: Robert Lewis.,2007,m,high_male,84.13461538461539
uiuo.ark:/13960/t4sj24q1v,,True to the life,1868,u,,84.10012862372614
mdp.39015020666460,"Francis, Dick.",Banker / | $c: Dick Francis.,1982,m,,84.09238505986379
uc1.$b784309,"Golding, Louis,",The dance goes on / | $c: by Louis Golding.,1937,m,mixed,84.08071748878923
mdp.39015084107138,"Mills, Magnus.",The maintenance of headway / | $c: Magnus Mills.,2009,m,high_male,84.06893652795293
uc1.32106014430976,"French, Nicci",The memory game / | $c: Nicci French,1997,f,mixed,84.05110924330869
uc2.ark:/13960/t6vx0bp13,"Cleland, E. Davenport.",The white kangeroo,1890,f,high_male,84.04572087215445
uc1.$b312454,"Sansom, Clive,","Passion play, | a novel.",1951,m,,84.04370272541722
mdp.49015002539972,"Kneale, Matthew,",English passengers / | $c: Matthew Kneale.,2000,m,high_male,83.99952272998449
mdp.39015052620021,"Sharma, Bulbul.",Banana-flower dreams / | $c: Bulbul Sharma.,1999,u,high_female,83.99907064858006
uc1.b3123800,"Riddell, J. H.,",Daisies and buttercups,1882,f,mixed,83.9901796097687
mdp.39015047110336,"Goulbourne, Jean.",Excavation / | $c: Jean Goulbourne.,1997,f,,83.98737293289699
mdp.39015025221246,"Crace, Jim.",Arcadia / | $c: Jim Crace.,1992,m,,83.9849163090309
mdp.39015000630155,"Lash, Jennifer.",The dust collector / | $c: Jennifer Lash.,1979,f,mixed,83.98399055180106
mdp.39015001039000,"Berridge, Elizabeth.",Family matters : | sixteen stories / | $c: Elizabeth Berridge.,1980,f,high_female,83.98068444257821
mdp.39015050774986,"Walker, Ted,",He danced with a chair : | fictions and factions / | $c: Ted Walker.,2001,m,,83.96548728936244
mdp.39015003688051,"Gordimer, Nadine.",Some Monday for sure / | $c: Nadine Gordimer.,1976,f,mixed,83.94129047389796
uc2.ark:/13960/t5t72cz3b,"Lister, Charles.",The college chums,1845,m,mixed,83.93117643532304
uc2.ark:/13960/t03x87s3q,"Ayscough, John,",French windows,1917,m,,83.9216731051019
uc2.ark:/13960/t4dn4215c,"Street, G. S.",A book of stories,1902,m,,83.91987005955603
uc1.$b252051,"Trease, Geoffrey,","Missing from home, | $c: by Geoffrey Trease.",1937,m,,83.90886206673981
mdp.39015015510384,"Leonard, Hugh.",Out after dark / | $c: Hugh Leonard.,1989,m,,83.90651048279365
uc1.b3325344,"Fraser-Tytler, M. E.",Transplanted,1883,f,high_female,83.88847767086109
uc1.$b312575,"Stallings, Laurence,",Plumes / | $c: by Laurence Stallings.,1925,m,high_male,83.88211433006985
uc1.b4973453,"Bainbridge, Beryl,",An awfully big adventure / | $c: Beryl Bainbridge.,1989,f,,83.86677164276179
uc1.32106011678296,"Klíma, Ivan.","Waiting for the dark, waiting for the light / | $c: Ivan Klíma ; translated from the Czech by Paul Wilson.",1994,m,,83.85572724390768
uc2.ark:/13960/t3st7g50q,,The Good-natured bear,1846,u,,83.85559184394033
umn.31951002096203z,"Moore, Reginald Arthur,",Silence comes after : | twenty-two stories.,1947,m,,83.84442201692416
mdp.39015015329116,"Brookner, Anita.",Lewis Percy / | $c: Anita Brookner.,1989,f,,83.84270027586953
mdp.39015002757170,"Sansom, William,",The marmalade bird. -,1973,m,,83.82539662972596
mdp.39015022219094,"Burford, Barbara.",The threshing floor.,1986,f,high_female,83.82324622512205
mdp.39015014637022,"McGinley, Patrick,",The devil's diary.,1988,m,high_male,83.81720560724958
mdp.39015015327607,"Morrison, Nancy Brysson.",The gowk storm / | $c: Nancy Brysson Morrison ; introduced by Edwin Morgan.,1988,f,high_female,83.81689232753062
nyp.33433081587606,"Lang, Cosmo Gordon,",The young Clanroy,1897,m,,83.74669844746505
uc1.32106011588503,"Pollard, Velma",Karl and other stories / | $c: Velma Pollard,1994,f,high_female,83.74608187974063
mdp.39015056206488,"Marciano, Francesca.",Casa Rossa / | $c: Francesca Marciano.,2002,f,,83.74541394161749
mdp.39015056209573,"Kennedy, A. L.",Indelible acts / | $c: A.L. Kennedy.,2002,u,,83.71586834284439
mdp.39015001533325,"Maugham, W. Somerset (William Somerset),",The selected novels of W. Somerset Maugham.,1953,m,,83.68200836820084
mdp.39015004195809,"Heppenstall, Rayner,",The greater infortune.,1960,u,,83.67832291024399
uiuo.ark:/13960/t3805sn7d,"Hardy, Thomas,",The mayor of Casterbridge,1886,m,high_female,83.6735577131151
uc1.b2838035,"Mann, Roderick,",The headliner.,1968,m,,83.67099436866005
inu.30000027337702,"Diski, Jenny.",Like mother / | $c: Jenny Diski.,1990,f,mixed,83.6579077294421
pst.000049507164,"Atkins, Marc.","Thirteen / | $c: Marc Atkins ; texts, Toby Litt ... [et al.].",2002,m,high_female,83.65157301327514
mdp.39015038166263,"Orga, Margarete,",The house on the Fontanka: | modern Soviet short stories; | $c: edited by Margarete Orga.,1970,f,,83.62771249369187
uc1.32106018752946,,Galpa : | short stories by women from Bangladesh / | $c: edited by Firdous Azim and Niaz Zaman,2005,u,high_female,83.61413747836484
mdp.39015059169162,,Mirror mirror : | contemporary short stories by women from Wales / | $c: edited by Patricia Duncker & Janet Thomas.,2004,u,high_female,83.60022607385079
inu.30000100364466,"Bell, Gerard.",Side-show / | $c: by Gerard Bell.,1953,m,high_male,83.5566605867308
mdp.39015079238781,"Barrington, James.",Timebomb / | $c: James Barrington.,2008,m,high_male,83.55362197748374
mdp.39015047773414,"Cook, David,",Missing persons : | a novel / | $c: by David Cook.,1986,m,high_female,83.54641889668093
mdp.39015011681288,,The Female line : | Northern Irish women writers / | $c: edited by Ruth Hooley.,1985,u,,83.54509694712291
uc1.$b120324,"Campbell, Anthony.",The sacred malady: | a novel.,1967,m,,83.53708231458843
uc1.$b556468,"Elmberg, John Erik Oscar, 1917-",Islands of tomorrow. | $c: Translated from the Swedish by Naomi Walford.,1956,m,,83.52151452346335
mdp.39015064867529,"Drake, Nick,",Nefertiti : | the book of the dead / | $c: Nick Drake.,2006,m,,83.512846929537
uc1.$b87094,"Chapman, Hester W.,","Eugénie, | an historical romance.",1961,f,,83.50868584692905
inu.32000006225819,"Murdoch, Iris.",The bell / | $c: Iris Murdoch.,1958,f,mixed,83.50481643851958
mdp.39015073893789,,The new Granta book of the American short story / | $c: edited and introduced by Richard Ford.,2007,u,mixed,83.5026134712197
uc1.b3590120,"Le Clézio, J.-M. G. (Jean-Marie Gustave),",The interrogation / | $c: by J. M. G. Le Clézio ; translated from the French by Daphne Woodward.,1964,m,high_male,83.43810721225283
mdp.39015048880812,"Linklater, Eric,",White-maa's saga.,1952,m,,83.43763037129746
uc2.ark:/13960/t6154g68b,"Fenn, George Manville,",Real gold;,1894,m,high_male,83.4312186446818
mdp.39015024652698,,Original prints : | new writing from Scottish women / | $c: introduction by Elspeth Davie.,1985,u,high_female,83.414876722437
bc.ark:/13960/t3jw8vz3x,"Scott-James, R. A.",An Englishman in Ireland;,1910,u,,83.41195936059947
uc1.32106009834794,,The Female line : | Northern Irish women writers / | $c: edited by Ruth Hooley.,1985,u,,83.39269271530083
uc2.ark:/13960/t6vx0864f,"Glossop, Bertram Robert Mitford.",Sporting trips of a subaltern,1906,m,high_male,83.3848498353868
uc1.b4948940,"McGinley, Patrick,",Goosefoot / | $c: Patrick McGinley.,1982,m,mixed,83.35916042363553
mdp.39015066052690,"Conrad, Joseph,",The works of Joseph Conrad.,1925,m,,83.345901366079
mdp.39015025172431,"Tondelli, Pier Vittorio,",Separate rooms / | $c: Pier Vittorio Tondelli ; translated by Simon Pleasance.,1992,u,high_male,83.33747947659087
inu.30000054047505,,"Stories from Africa : | voices and themes of African cultures / | $c: selected and edited by Madhu Bhinda ; general editor, Michael Marland ; series consultant, Geoff Barton.",1996,u,,83.32870396089106
uc1.32106001628418,"Wang, Chi-Chen,",Stories of China at war.,1947,u,high_male,83.3270206802515
njp.32101068169398,"Aulney, Léonie, d',",The notary's daughter,1878,m,mixed,83.31693995394424
uiuo.ark:/13960/t5t733b8r,"Barrie, J. M.",The little minister,1891,m,,83.30129437395874
mdp.39015040061171,"Ní Dhuibhne, Éilís,",The inland ice and other stories / | $c: Éilís Ní Dhuibhne.,1997,u,high_female,83.28995314940136
mdp.39015022276011,,Disorderly conduct : | the VLS fiction reader / | $c: edited by M. Mark.,1991,u,mixed,83.26954941921592
nyp.33433066579156,"Boswell, Thomas Alexander.",The journal of an exile,1825,m,,83.25194921631098
uiuo.ark:/13960/t87h25w57,"Lee, Holme,",This work-a-day world,1875,f,,83.24825257205686
uc2.ark:/13960/t4hm5fv45,"Fielding, H.",The field of honour,1915,m,high_female,83.23540932236584
uc1.b3548200,"Conrad, Joseph,",The works of Joseph Conrad.,1923,m,,83.23292535988331
mdp.39015077115619,"Henley-Einion, Josie.",Silence / | $c: Josie Henley-Einion.,2008,f,high_female,83.20788285205967
inu.39000004236860,"Smith, Edward Ernest.",Search for tomorrow / | $c: Edward Lindall.,1974,m,,83.20378358257976
uc2.ark:/13960/t77s7x44c,"Black, William,",Three feathers,1875,m,,83.19467554076539
uc1.$b396531,"Hughes, Owain,",Hermit's reprieve: | a novel.,1969,u,mixed,83.1930659546888
mdp.39015000519630,"Kennett, John.",Two eggs on my plate | $c: [by] Oluf Reed Olsen; retold by John Kennett.,1972,m,high_male,83.18512994090987
uc2.ark:/13960/t6d21v06g,"Wood, Michael.",The willow weaver and seven other tales,1915,m,high_male,83.16930498184136
uiuo.ark:/13960/t2891sd44,Rita.,The laird o' Cockpen,1891,u,,83.15470470840417
mdp.39015006588399,"Mortimer, Penelope,",Long distance / | $c: Penelope Mortimer.,1974,f,high_female,83.15450643776823
mdp.39015055116340,"De Bernières, Louis.",The war of Don Emmanuel's nether parts / | $c: Louis de Bernières.,1991,m,,83.14591426429496
mdp.39015057024716,"Shah, Saira.",The storyteller's daughter / | $c: Saira Shah.,2002,u,,83.13172114636512
inu.30000036605800,"Narayan, R. K.,","An astrologer's day, | and other stories.",1947,m,high_male,83.10769148280207
uc1.32106010909254,"Donoghue, Emma,",Hood / | $c: Emma Donoghue,1995,f,high_female,83.07322541879391
uc1.$b266661,"Gibbon, Perceval,","The adventures of Miss Gregory, | $c: by Perceval Gibbon.",1925,m,high_female,83.0724007923829
mdp.39015053683051,"Giono, Jean,",To the slaughterhouse: | a novel; | $c: translated from the French by Norman Glass.,1969,f,mixed,83.07142758248301
njp.32101067644698,"Fleming, George,",Vestigia,1884,f,high_male,83.06693180960052
inu.30000068226715,"Stead, C. K. (Christian Karlson),",Talking about O'Dwyer / | $c: C.K. Stead.,1999,m,,83.06443883581994
mdp.39015022267762,"Harrison, Carey.",Cley / | $c: Carey Harrison.,1991,m,,83.0522334662169
uc2.ark:/13960/t9f47rv90,"MacBride, MacKenzie.",King Penda's captain,1908,u,,83.03006748401229
nyp.33433075727390,"Fitzgerald, Percy Hetherington,",Never forgotten,1865,m,mixed,83.02755979323459
mdp.39015037463760,"Jacobs, Steve,",The enemy within / | $c: Steve Jacobs.,1995,m,high_male,83.02692444549875
uc1.$b176933,"Ravignant, Patrick,",An edge on darkness; | a novel. | $c: Translated by Arlette Ryvers.,1965,m,high_female,83.0121553513193
uc1.b3810593,"Cockburn, Claud,",Jericho Road.,1974,m,high_male,82.99917000829991
uiuo.ark:/13960/t2891r88v,"Braddon, M. E.",A strange world,1875,f,,82.99015079153814
mdp.39015002743238,"Rose, Geoffrey,",A clear road to Archangel: | a story of 1917. -,1973,m,high_male,82.98868088811493
mdp.39015065549506,"Swaffer, Hannen.","When men talk truth, | and other stories.",1937,u,high_male,82.98361666311023
uc2.ark:/13960/t7br8pv5b,"Thomas, Edward,",Rest and unrest,1910,m,high_female,82.98310892202265
mdp.39015063870185,"Gissing, Algernon,",A vagabond in arts,1894,m,high_male,82.96591286208695
uc1.$b742633,"Tilsley, W. V.",Other ranks / | $c: W. V. Tilsley ; with an introduction by Edmund Blunden.,1931,u,high_male,82.95868122457718
mdp.39015042005747,"Day, Marele.",Shirley's song : | a novel.,1984,u,,82.93822484552756
uc2.ark:/13960/t7hq3sv1z,"Lethbridge, Marjorie Colt (Byrne)",Russian chaps,1916,f,,82.93533903394629
mdp.39015029565507,"Salkey, Andrew.","Anancy, traveller / | $c: Andrew Salkey.",1992,m,high_male,82.92172909831633
uiuo.ark:/13960/t9m33gj6w,"Sheridan, Frederick.",Shot!,1866,m,mixed,82.92148993333112
wu.89100091255,"Aleksinskaia, Tatiana.",With the Russian wounded,1916,u,high_male,82.90855493459436
mdp.39015000639925,"Leff, Vera.",Wife of the prisoner.,1964,f,,82.88480036019074
uc1.b4948572,"Maugham, Robin,",Lovers in exile / | $c: Robin Maugham.,1977,m,,82.87188759558519
njp.32101064912023,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,high_male,82.86771523042968
mdp.39015014543626,,Sometimes when it rains : | writings by South African women / | $c: edited by Ann Oosthuizen ; linocuts by Bongiwe Dhlomo.,1987,u,,82.86060297023393
mdp.39015003941591,"Glanville, Brian.",The dying of the light / | $c: [by] Brian Glanville.,1976,m,,82.8603388987861
uc1.32106013035099,,The star : | & other Korean short stories / | $c: translated from the Korean by Agnita Tennant,1996,u,high_male,82.84441547153412
uc1.32106012734304,"Bigsby, C. W. E",Still lives / | $c: Cristopher Bigsby,1996,u,,82.83645839625164
uc1.$b242978,"Hanley, James,",Winter song.,1950,m,,82.82089431907299
uc2.ark:/13960/t1ng4jk7x,"Blundell, Peter.",Mr. Podd of Borneo,1920,m,,82.80430582390284
uc1.b3582004,"Fichte, Hubert.",The orphanage / | $c: Hubert Fichte ; translated by Martin Chalmers.,1990,m,mixed,82.80104092737166
uc1.b3325343,"Fraser-Tytler, M. E.",Transplanted,1883,f,high_female,82.78526422296831
uc1.$b112597,"Barns, H. E.","Naju of the Nile, | $c: by H.E. Barns. With sixteen full-page illustrations by Warwick Reynolds.",1924,u,high_male,82.78452547168645
mdp.39015031237046,"Green, F. L. (Frederick Lawrence),",A fragment of glass.,1947,m,,82.77734549608464
inu.30000124575808,"Saddler, Allen.",The long and the short / | $c: Allen Saddler.,2008,m,,82.77682696287347
uc1.$b800430,"Braddon, Russell.",When the enemy is tired.,1968,m,high_male,82.7763541418998
inu.30000110614207,"Williams, Niall,",Boy and man / | $c: Niall Williams.,2008,m,,82.77374830572484
mdp.39015005774578,"Trevor, William,","The distant past, and other stories / | $c: [by] William Trevor.",1979,m,,82.77200593675077
uc1.32106017817120,,The Heinemann book of contemporary African short stories / | $c: edited by Chinua Achebe and C.L. Innes.,1992,u,,82.76623137759795
mdp.39015003928846,"Gerhardie, William Alexander,",Works.,1970,m,,82.7652724737041
mdp.39015011549105,"Vesaas, Tarjei,",Spring night; | $c: translated from the Norwegian by Kenneth G. Chapman.,1972,m,mixed,82.75953389830508
uc1.$b470339,,The International short story anthology.,1967,u,,82.75787217300466
mdp.39015049989315,"Thomas, Rosie.",White / | $c: Rosie Thomas.,2000,f,,82.75450401562838
mdp.39015029226167,,The Heinemann book of contemporary African short stories / | $c: edited by Chinua Achebe and C.L. Innes.,1992,u,,82.74435442165144
uiuo.ark:/13960/t7dr37725,"Fothergill, Caroline.",Diana Wentworth,1889,f,high_female,82.71868753015785
mdp.39015042048168,"Hird, Laura.",Nail and other stories / | $c: Laura Hird.,1997,f,high_female,82.70687796304775
wu.89054845235,,My favorite horse stories / | $c: edited by Dawn Palethorpe Wofford ; with illustrations by Joan Thompson.,1959,u,,82.69670000787588
uc2.ark:/13960/t5t72b168,"Grimshaw, Beatrice Ethel",Kris-Girl,1917,f,high_female,82.67879288962381
umn.319510020976254,"Gaskell, Catherine Milnes,",Prose idyls of the West Riding,1907,f,high_female,82.64741600323843
mdp.39015031228722,"Davies, W. H.",A weak woman,1911,m,high_female,82.6251180358829
uc1.32106018078433,"Lovat, Simon",Attrition / | $c: Simon Lovat,2000,m,,82.61617900172116
uc1.32106018814712,"Dangarembga, Tsitsi",The book of not : | a novel / | $c: Tsitsi Dangarembga,2006,u,high_female,82.61207865438372
mdp.39015013418077,"Mais, Roger.","Listen, the wind.",1986,m,mixed,82.59398396078117
uc1.b3547107,"Albert-Birot, Pierre.",The first book of Grabinoulor : | epic / | $c: by Pierre Albert-Birot ; translated by Barbara Wright in consultation with Arlette Albert-Birot ; with a preface by Barbara Wright and a postface by Arlette Albert-Birot.,1986,m,,82.59099758126364
uc1.b3456907,"Zilahy, Lajos,","Two prisoners, | $c: translated by Joseph Collins, M. D., and Ida Zeitlin.",1931,u,,82.58034779769736
mdp.39015039779270,"Bloem, Walter,",The iron year,1914,m,mixed,82.56880733944953
mdp.39015038143429,"Colegate, Isabel.",Winter journey / | $c: Isabel Colegate.,1995,f,,82.56708575717771
mdp.39015008780564,,Everyday matters : | new short stories by women.,1982,u,high_female,82.53288145117389
inu.30000124502752,"Dickinson, David,",Death of a pilgrim / | $c: David Dickinson.,2009,m,,82.52003491232246
mdp.39015050923872,"Thomas, Gwyn,",Sorrow for thy sons / | $c: by Gwyn Thomas.,1986,m,high_male,82.5199897561392
mdp.39015053778448,"Jagendorf, Zvi,",Wolfy and the strudelbakers / | $c: by Zvi Jagendorf.,2001,m,high_male,82.51302837290099
nyp.33433074955497,"Banim, John,",Tales by the O'Hara family,1826,m,mixed,82.51104856848983
inu.32000002974469,"Mansfield, Katherine,",Collected stories of Katherine Mansfield.,1945,f,high_female,82.50772105327366
mdp.39015066608921,"Biert, Cla,","Only a game, | and other stories; | $c: translated from the German by Alan Brown.",1969,u,,82.50424654210143
mdp.39015047111136,"Crace, Jim.",Quarantine / | $c: Jim Crace.,1997,m,,82.49015861082397
uc1.$b301159,"Lloyd, Lavender,",The verandah room.,1955,u,mixed,82.47712137298085
mdp.39015008802384,"Colegate, Isabel.",Orlando King.,1968,f,mixed,82.47010458708718
uc1.$b311801,"Bosco, Henri,",The farm Théotime;,1946,m,high_female,82.44253475861105
mdp.39015014134699,"Newby, P. H. (Percy Howard),",Revolution and roses.,1957,m,,82.4286070649993
mdp.39015011222620,"O'Faoláin, Seán,","A purse of coppers, short stories,",1937,m,mixed,82.42686304979394
uc1.32106012883259,"Grant, Linda,",The cast iron shore / | $c: Linda Grant,1996,f,high_male,82.42226082217908
mdp.39015023968418,"Xiao, Qian,","The spinners of silk, | $c: by Hsiao Ch'ien.",1946,u,mixed,82.36356873372655
uiuo.ark:/13960/t7mp5bz37,"Craik, Dinah Maria Mulock,",Agatha's husband;,1853,f,high_female,82.36077524270144
mdp.39015004743376,"Taylor, Elizabeth,","A dedicated man, | and other stories.",1965,f,high_female,82.35940073731273
wu.89004189460,"Wilkinson, Tim",Hold on a minute.,1965,m,,82.35562425563185
uc1.$b247959,"Townsend, Peter,",Cambridge anthology. | $c: Introd. by E. M. Forster.,1952,m,mixed,82.35184437055223
uiuo.ark:/13960/t5m90v75r,"St. John, James Augustus,",The ring and the veil,1856,m,,82.34971177600879
mdp.39015011710756,"Marcus, David.",Tears of the shamrock: | an anthology of contemporary short stories on the theme of Ireland's struggle for nationhood; | $c: edited and introduced by David Marcus. -,1972,m,high_male,82.32974018265715
uiuo.ark:/13960/t08w3xf3t,"Marryat, Florence,",Véronique,1869,f,,82.329623418204
mdp.39015064951679,"Tremain, Rose.",The road home / | $c: Rose Tremain.,2007,f,,82.32597532589833
mdp.39015059585110,"Thomas, Scarlett.",PopCo / | $c: Scarlett Thomas.,2004,f,mixed,82.31746795168242
mdp.39015008468202,"Brome, Vincent,",The way back; | the story of Pat O'Leary.,1958,m,high_male,82.31420507996238
mdp.39015040573613,"Burnside, John,",The dumb house : | a chamber novel / | $c: John Burnside,1997,m,high_female,82.29923487430078
uc2.ark:/13960/t39023x3z,"Ouida,",Pascarel,1873,f,mixed,82.29726949416572
mdp.39015064888988,"King, Danny,",Milo's run / | $c: Danny King.,2006,m,mixed,82.290416595234
uiuo.ark:/13960/t51g16t79,"McCarthy, Justin H.",The Waterdale neighbours,1867,m,mixed,82.28618449248282
uc1.$b396517,"Hill, Susan,",I'm the king of the castle,1973,f,,82.28314061755663
mdp.39015017694921,"Prishvin, Mikhail Mikhaĭlovich,","The black Arab, and other stories | $c: by Mikhail Prishvin, translated from the Russian by David Magarshack.",1947,u,,82.28085197474044
wu.89087923314,"Banim, John,",Tales by the O'Hara family,1826,m,mixed,82.2633886268262
inu.32000009269517,"Mortimer, John,",Charade / | $c: John Mortimer.,1947,m,,82.22932846048424
mdp.39015069332974,"Williams, Niall,",Boy in the world / | $c: Niall Williams.,2007,m,,82.21773400775706
