htid,author,title,year,authgender,female_category,urban_intensity
uc2.ark:/13960/t4gm83j8r,"Macquoid, Katharine S.",Doris Barugh,1878,f,,45.96535163494001
uiuo.ark:/13960/t08w42j74,"Price, Eleanor C.",Gerald,1885,f,mixed,45.96506654942244
njp.32101041607258,"Brown, Thomas,","Brighton; or, The Steyne",1818,m,high_male,45.96433167861739
uiuo.ark:/13960/t6h13936j,"Besant, Walter,",Children of Gibeon,1886,m,,45.9434625155397
mdp.39015018866932,"Kaledin, Sergei.",The humble cemetery with ; Gleb Bogdyshev goes moonlighting / | $c: Sergei Kaledin ; translated from the Russian by Catriona Kelly.,1990,u,,45.93856012061818
uiuo.ark:/13960/t9g45d53j,"Dickens, Charles,",Great expectations,1861,m,mixed,45.93477262287552
uiuo.ark:/13960/t9c544684,"Lyster, Annette.",Riding out the gale,1877,f,high_male,45.93249165145929
uiuo.ark:/13960/t9f485t6f,"Lemon, Mark,","Falkner Lyle, or, The story of two wives",1866,m,,45.927469926339406
mdp.39015049689139,"Trevor, William,",The hill bachelors / | $c: William Trevor.,2000,m,mixed,45.92246756725727
uiuo.ark:/13960/t1tf09v79,"Maberly,",Display,1855,f,high_female,45.91930447560154
uc2.ark:/13960/t1dj5hp5s,"Broughton, Rhoda,",Dear Faustina,1897,f,high_female,45.91684459443947
nyp.33433075816573,"Enault, Louis,",The captain's dog,1880,m,high_female,45.90766002098635
mdp.39015037060616,"Brown, George Mackay.","Greenvoe, | a novel.",1972,m,,45.9045904590459
nc01.ark:/13960/t7cr68k0x,,"Jack at Eton; or, The adventures of two college chums",1880,u,high_male,45.90384674235701
mdp.39015003756957,"Gibbons, Stella,","Enbury heath, | $c: by Stella Gibbons.",1935,f,,45.898852528686774
coo.31924029890195,"Hartland, Edwin Sidney,",English fairy and other folk tales,1906,m,high_male,45.89548346719516
mdp.39015019756140,"Hugo, Victor,","The novels of Victor Hugo, fully translated;",1895,m,high_male,45.8942962568612
uiuo.ark:/13960/t42r4598k,"Crommelin, May.",Dust before the wind,1894,f,high_female,45.89150282595044
uiuo.ark:/13960/t17m0mt90,"Curzon, G.",Delamere,1886,u,,45.88734656418493
pst.000032241341,"Malamud, Bernard.",A new life / | $c: Bernard Malamud.,1968,m,high_male,45.88272098439292
mdp.39015069332156,"Treasure, Joe,",The male gaze : | a novel / | $c: Joe Treasure.,2007,m,high_female,45.881303368877184
mdp.39015002652405,"Bradbury, Malcolm,",Who do you think you are? : | Stories and parodies / | $c: by Malcolm Bradbury.,1976,m,mixed,45.8754361184552
nyp.33433088075381,"Syrett, Netta.",The magic city and other fairy tales,1903,f,high_female,45.87075033961998
inu.30000109288468,"Pollen, Bella.",Midnight cactus / | $c: Bella Pollen.,2006,f,,45.86918404640186
nyp.33433022469609,"Wood, Henry,",St. Martins's eve,1885,f,,45.867551983225574
mdp.39015072764007,"Finch, Matthew,",Teething troubles / | $c: Matthew Finch.,1956,m,mixed,45.85728557624593
uc1.b3488794,"Johnson, Pamela Hansford,",The good husband / | $c: Pamela Hansford Johnson.,1978,f,high_female,45.8551994701177
uiuo.ark:/13960/t5m90sg4k,"Oliphant,",Harry Muir,1853,f,,45.854031333588075
mdp.39015008829668,"Chekhov, Anton Pavlovich,",The grasshopper : | and other stories / | $c: by Anton Chekhov ; translated with an introd. by A. E. Chamot.,1926,m,high_female,45.85394983791161
nyp.33433074852983,"Hawtrey, Valentina.",Suzanne,1906,u,,45.851552801977206
dul1.ark:/13960/t2k65772k,"Lyall, Edna,",Donovan,1882,f,,45.84819154355578
uc1.b2838581,"Masters, Anthony,",A literary lion.,1968,m,mixed,45.84078711985689
uiuo.ark:/13960/t45q58q09,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,45.836353558180186
uc1.32106012050883,"Rendell, Ruth,",Blood lines : | long and short stories,1995,f,,45.828278743766006
uc2.ark:/13960/t1kh0n66z,"Yonge, Charlotte M.",My young Alcides,1875,f,,45.82580801682077
mdp.39015056187845,"Rendell, Ruth,",The babes in the wood / | $c: Ruth Rendell.,2002,f,,45.82451393283437
uiuo.ark:/13960/t61554s3s,"Moberly, A.",Lady Valeria,1886,m,,45.82041452201671
uiuo.ark:/13960/t2j683k08,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,45.81938482934297
uc1.b3324549,"Lever, Charles James,",One of them,1861,m,high_male,45.81827827771504
uc1.32106018470754,"Welsh, Irvine",The bedroom secrets of the master chefs / | $c: Irvine Welsh,2006,m,,45.80967023312729
njp.32101073360305,,"Perfidy detected! or, The children in the wood restored",1820,m,high_male,45.80852038479157
uiuo.ark:/13960/t9183k29r,"Baring-Gould, S.",John Herring;,1883,m,,45.795806214352126
inu.30000115651212,"Gavalda, Anna,",Hunting and gathering / | $c: Anna Gavalda ; translated from the French by Alison Anderson.,2007,f,high_female,45.78972407231209
njp.32101066164078,"Laceby, Arthur.",The stage struggles of a bad actor,1904,m,high_male,45.78885613713762
uc2.ark:/13960/t6g15x330,"Gibbon, Perceval,",Those who smiled and other stories,1920,m,,45.780558522813976
mdp.39015011559807,"Inchbald,",Nature and art,1893,f,,45.7759015309496
nyp.33433074970819,"Chesson, Nora,",Father Felix's chronicles,1907,f,mixed,45.76873877785732
nyp.33433082512538,,"The most delectable history of Reynard the Fox, and of his son Reynardine",1844,u,high_male,45.76659038901602
mdp.39015066824023,"Mercurio, Jed.",Ascent / | $c: Jed Mercurio.,2007,m,high_male,45.75941009583329
uc2.ark:/13960/t7hq3sv1z,"Lethbridge, Marjorie Colt (Byrne)",Russian chaps,1916,f,,45.75742843252209
uc1.b3314281,"Kingsley, Henry,",Leighton court,1866,m,,45.75421666701329
uc1.$b252097,"Hignett, Sean.",A picture to hang on the wall.,1966,m,mixed,45.74836703745436
mdp.39015000599061,"Raven, Simon,",Friends in low places.,1965,m,,45.74708102431874
uc1.b3321968,"Cobbold, Richard,",Mary Anne Wellington,1846,m,,45.743980092219864
mdp.39015003340232,"Swettenham, Frank Athelstane,",Malay sketches,1903,m,high_male,45.73350643219639
mdp.39015034655129,"Rothnie, Niall.",Unknown Bath : | secrets and scandals from the past / | $c: Niall Rothnie ; cartoons by Fraser May.,1986,u,,45.7331016189518
inu.32000001391582,"Wodehouse, P. G. (Pelham Grenville),",The mating season : | [a novel] / | $c: by P. G. Wodehouse.,1949,m,mixed,45.72523488617683
mdp.39015014233855,"Vansittart, Peter.",Parsifal : | a novel / | $c: Peter Vansittart.,1988,m,,45.70349098498641
mdp.39015014117579,"Porter, Anna Maria,",The fast of St. Magdalen,1818,f,mixed,45.701518305997055
hvd.hn33ki,,"The Novels of Sterne, Goldsmith, Dr. Johnson, Mackenzie, Horace Walpole, and Clara Reeve",1823,f,,45.70057554162322
uc1.b3473209,"Sotabinda, Maurice.",The money-doublers / | $c: Maurice Sotabinda.,1985,m,mixed,45.697243734667374
mdp.39015059305089,"Culling, Peter.",The Isle of Enniskerry / | $c: Peter Culling.,2004,m,,45.69538585401412
osu.32435063997621,"Weyman, Stanley John,","Laid up in lavender, | $c: by Stanley J. Weyman.",1927,m,mixed,45.6929797305942
mdp.39015017663942,,The Pied Piper : | lesbian feminist fiction / | $c: edited by Anna Livia and Lilian Mohin.,1989,u,high_female,45.69095416322365
uiuo.ark:/13960/t19k4nr6v,"Moore, Charlotte Trimmer.",Country houses,1832,f,high_female,45.68928517036565
uc1.b3716770,"Raeburn, Anna.",Keeper of dreams.,1990,f,high_female,45.68789353890117
inu.30000039139013,"Perriam, Wendy,",After purple / | $c: Wendy Perriam.,1993,f,,45.68754178738577
njp.32101063579203,"Fenton, Elijah,",Mariamne,1825,m,mixed,45.68395405499477
uiuo.ark:/13960/t05x2z259,"Riddell, J. H.,",Phemie Keller,1866,f,,45.68017784815909
mdp.39015050608051,"Middleton, Stanley,",After a fashion / | $c: Stanley Middleton.,1987,m,mixed,45.673291150521344
mdp.39015018623226,"MacLaverty, Bernard.",Cal / | $c: Bernard MacLaverty.,1983,m,high_female,45.66696603899959
mdp.39015018903545,"Rose, Dilys,",Our lady of the Pickpockets / | $c: Dilys Rose.,1989,u,high_female,45.66691256542664
uc2.ark:/13960/t3708422b,"Yonge, Charlotte M.",My young Alcides,1875,f,,45.6553995662737
uc1.$b744312,"Tierce, Antoinette,","Between two fires, | $c: by Antoinette Tierce; being a true account of how the author sheltered four escaped British prisoners of war in her house in Lille during the German occupation of that city.  Now published for the first time.  Translated by J. Lewis May.  With nineteen illustrations.",1931,f,mixed,45.65354810011002
uiuo.ark:/13960/t9n30dj0b,"Monro, Theodore Russell.","Love lost, but honour won;",1878,m,,45.65042728799942
njp.32101067632198,"Ouida,",Othmar,1885,f,high_female,45.64883595468314
uiuo.ark:/13960/t7pn9p41f,"James, G. P. R.",Agincourt,1844,m,,45.647119238834286
njp.32101067173052,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,high_female,45.645929248809665
uc1.32106016548742,"Welsh, Louise",The cutting room / | $c: Louise Welsh,2002,f,,45.63894523326572
inu.30000114341906,"Swarthout, Glendon Fred.",The shootist / | $c: Glendon Swarthout.,1975,m,,45.63740238666711
mdp.39015073933585,"Starling, Belinda.",The journal of Dora Damage / | $c: Belinda Starling.,2007,f,,45.6366874443455
inu.32000002629766,"Grant, James,",Did she love him?,1876,m,mixed,45.63518472742484
inu.32000009218126,"Coppard, A. E. (Alfred Edgar),",Count Stefan.,1928,m,mixed,45.635011180577735
uiuo.ark:/13960/t9j394d6m,,"Eva Desmond, or, Mutation",1858,u,high_female,45.62577505323007
uiuo.ark:/13960/t9h42cg59,"Tabor, Eliza.",The last of her line,1879,f,high_female,45.59605043866544
mdp.39015073748397,,The British essayists;,1823,m,mixed,45.59100566876844
uiuo.ark:/13960/t10p1fv4v,"Greg, Percy,",Errant,1880,m,high_female,45.58924093913837
mdp.39015059415581,"James, G. P. R.","Darnley; or, the field of the cloth of gold",1830,m,,45.58801839610625
uc1.b3322745,"Herbert, Henry William,",Oliver Cromwell,1840,m,high_male,45.58488346445114
nyp.33433074878202,"Legge, Arthur E. J.",Mutineers,1898,m,,45.57038937366031
nyp.33433076093479,"Disraeli, Benjamin,",Collected edition of the novels and tales,1871,m,mixed,45.557561113449864
uiuo.ark:/13960/t1fj33h92,"Norris, W. E.",No new thing,1883,f,mixed,45.54406696208764
uiuo.ark:/13960/t59c78h4c,"Coulton,",My eldest brother,1861,f,high_female,45.536671709975465
mdp.39015035025512,"Gilchrist, Donald,",Castle Commando.,1960,m,high_male,45.53561264372178
mdp.39015066643159,"Simenon, Georges,","The window over the way, | $c: translated from the French by Geoffrey Sainsbury.",1951,m,,45.529765083923614
mdp.39015024784376,,"Secret lives : | three novellas / | $c: Tom Wakefield, Patrick Gale, Francis King.",1991,u,high_female,45.528834928788235
uc1.$b322718,"Bentley, Phyllis Eleanor,",Life story.,1948,f,high_female,45.52306750847027
mdp.39015016884358,"Livia, Anna.",Incidents involving warmth.,1986,f,high_female,45.51394047951139
nyp.33433074879507,"Locke, William John,",Idols,1899,m,high_female,45.51237626322703
nyp.33433067377410,"Surtees, Robert Smith,",Mr. Facey Romford's hounds,1865,m,,45.509101820364066
uc1.$b784246,"Heinemann, Margot,",The adventurers.,1960,f,,45.50684878074149
mdp.39076006257922,"Faulkner, William,",The collected short stories of William Faulkner / | $c: William Faulkner.,1958,m,mixed,45.502806006370385
uiuo.ark:/13960/t87h23k1f,"Stuart, Esmè,",A mine of wealth,1896,u,high_female,45.4987281037371
uc2.ark:/13960/t2z31tf1p,"Smedley, Menella Bute,",Linnet's trial,1871,f,high_female,45.49164425534192
uiuo.ark:/13960/t0ft8v02f,"Blessington, Marguerite,","Grace Cassidy, or, The repealers",1833,f,,45.487627365356616
mdp.39015030922531,"Thomas,",The noble traytour,1857,u,high_male,45.48392502334043
uc1.$b663096,"Kaczér, Illés,",The siege of Jericho : | a novel / | $c: by Illes Kaczér ; [translated from the Hungarian by Lawrence Wolfe],1949,u,,45.479552539886306
uc2.ark:/13960/t2b85hc07,"Hofland,",Rich boys and poor boys,1859,f,,45.47780114831448
uc1.$b242670,"Marquand, John P. (John Phillips),",Ming yellow.,1942,m,high_male,45.47627654240372
inu.32000000354631,"Onions, Oliver,","The painted face, | $c: by Oliver Onions.",1929,m,,45.472114225950946
uc1.32106008431972,"Martínez Moreno, Carlos,",El infierno / | $c: Carlos Martínez Moreno ; translated by Ann Wright ; introduction by John King,1988,m,high_male,45.46930821695357
uc2.ark:/13960/t0xp70r0k,"Lever, Charles James,",Roland Cashel,1855,m,,45.46710253694921
uiuo.ark:/13960/t2z32dz67,"Poynter, E. Frances","The wooing of Catherine, and other tales",1886,f,,45.46679240199381
uiuo.ark:/13960/t3rv0xn36,"De Fonblanque, Albany,",Bad luck,1877,m,mixed,45.466510325683785
mdp.39015008985783,"Johnson, Pamela Hansford,",The last resort; | a novel.,1956,f,high_female,45.45597040659582
uiuo.ark:/13960/t8rb79x93,"Barrett, Frank,",Lieutenant Barnabas,1881,m,mixed,45.45454545454545
uiuo.ark:/13960/t63495908,"Lemon, Mark,",Loved at last,1864,m,mixed,45.45380756805896
uiuo.ark:/13960/t4cn7p80c,"Norris, W. E.",Mademoiselle de Mersac,1880,f,mixed,45.43322781099777
uc1.$b245237,"Trower, Philip,",Tillotson.,1951,m,mixed,45.43319395353493
mdp.39015059705189,"Lessing, Doris May,","The golden notebook. | $c: With a new introd, by the author.",1973,f,,45.432450206987696
nyp.33433074927223,"Begbie, Harold,",The vigil,1907,m,mixed,45.42790152403282
uiuo.ark:/13960/t0dv1sk2m,"Ainsworth, William Harrison,",Hilary St. Ives,1870,m,,45.42638860210613
mdp.39015024482492,"Radcliffe, Ann Ward,",The posthumous works of Anne Radcliffe,1833,f,,45.42099585533413
uc2.ark:/13960/t82j6h488,"Quiller-Couch, Arthur,",The delectable duchy,1915,m,mixed,45.4172526957337
njp.32101037077573,"Fenn, George Manville,",The white virgin,1894,m,mixed,45.41267143283466
mdp.39015032205349,"Galloway, Janice.",Foreign parts / | $c: Janice Galloway.,1994,f,high_female,45.405012713403565
uiuo.ark:/13960/t0sq9gh3j,"St. Aubyn, Alan.",To his own master,1893,f,mixed,45.395393880700915
uc1.b4439334,"Edwards, Page.",Staking claims : | stories / | $c: by Page Edwards.,1980,u,high_female,45.385288682854096
uiuo.ark:/13960/t9w09bq3r,"Caddell, Cecilia Mary,",Home & the homeless,1858,f,,45.382918373778764
mdp.39015016441993,"David, Janina,",A part of the main.,1969,f,high_female,45.370967356782955
njp.32101067629970,"Bray,",Courtenay of Walreddon,1884,f,,45.36494032448304
uc1.b3327283,"Whyte-Melville, G. J.",Black but comely,1879,m,,45.35970244035199
mdp.39015028873092,"Hummer, G. B.",Red branch / | $c: G.B. Hummer.,1993,u,,45.357044988519
njp.32101067643617,"Conway, Hugh,",Living or dead,1886,m,mixed,45.35250232431574
mdp.39015013932242,"Marcus, David,",A land not theirs / | $c: David Marcus.,1986,m,mixed,45.351957870698904
mdp.39015053570704,"Lacaze, André.",The tunnel / | $c: André Lacaze ; translated from the French by Julian Evans and Anne Gray.,1980,u,high_male,45.35021792337544
nyp.33433074951827,"Cunningham, H. S.",Late laurels,1864,m,mixed,45.34364001468269
uc1.$b747710,"Jelf, Wilfrid,",Hark back! | $c: by Colonel Wilfrid Jelf.,1935,u,high_male,45.335482571025594
mdp.39015010546912,"Wesker, Arnold,",Said the old man to the young man : | three stories / | $c: Arnold Wesker.,1978,m,high_male,45.33365570599613
uiuo.ark:/13960/t3029dx0s,"Warden, Florence,",St. Cuthbert's Tower,1889,f,,45.330915684496816
uiuo.ark:/13960/t3rv13h5t,"Braddon, M. E.",The story of Barbara,1880,f,high_female,45.330181806407744
mdp.39015019476244,,The Peter Owen anthology : | forty years of independent publishing / | $c: selected and with an introduction by Peter Owen ; foreword by D.J. Enright.,1991,u,mixed,45.32970695677679
mdp.39015065866504,"Bloom, Ursula.",Rosemary for Stratford-on-Avon.,1966,f,,45.32642105412258
uiuo.ark:/13960/t1qf9370v,"Gissing, George,",The unclassed,1884,m,high_female,45.32230003362622
uc2.ark:/13960/t7np1xs3t,"Miller, George Noyes,",The strike of a sex;,1891,m,,45.316693972879705
mdp.39015049985610,"Lock, Samuel,",The whites of gold / | $c: Samuel Lock.,2001,m,,45.313113615080205
uiuo.ark:/13960/t88g93w13,"Donelan, A. M.",What 'tis to love,1873,u,mixed,45.31037607612143
uiuo.ark:/13960/t74t73w8n,"Kennedy, Theo.",Farnorth,1866,m,high_female,45.309235532509376
uiuo.ark:/13960/t04x5t50d,"MacDonald, George,",The vicar's daughter,1872,m,high_female,45.30680587018615
mdp.39015014457884,"King, Armstrong.",The time of green ginger.,1964,u,,45.306067657061035
mdp.39015003941419,"Gillies, John.",Voyagers in aspic.,1954,m,,45.29612340677178
mdp.39015065597521,"Trollope, Frances Milton,",The widow married,1857,f,high_female,45.29278550630864
uiuo.ark:/13960/t21c2nd9s,"Warburton, Eliot,",Reginald Hastings,1850,m,,45.28729125389188
uc2.ark:/13960/t4bp00s25,"De Fonblanque, Albany,",Pious frauds,1880,m,high_male,45.28062668387331
nyp.33433074868997,,Hyde Nugent,1827,u,mixed,45.28039010797632
mdp.39015062286094,"James, G. P. R.",Richelieu,1829,m,,45.27081649151172
uc1.b3940690,,Russian short stories.,1943,u,mixed,45.269813173006995
nyp.33433076022890,"O'Connor, Florence J.",The heroine of the Confederacy; or,1864,f,,45.26837680534598
uc1.32106018732948,,"Croatian nights : | a festival of alternative literature / | $c: edited by Borivoj Radakovic, Matt Thorne and Tony White ; translation by Celia Hawkesworth",2005,u,,45.26252263126132
uc1.b4082975,"Williams, Tennessee,",Three players of a summer game : | and other stories / | $c: Tennessee Williams.,1960,m,,45.262327518201914
uiuo.ark:/13960/t2d79qg2t,"Greg, Percy,",Errant,1880,m,high_female,45.26064473788429
nyp.33433034410666,"Notley, F. E. M.",Olive Varcoe,1879,f,mixed,45.253932956055024
njp.32101013270481,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,45.25000104262676
mdp.39015063931524,"De Morgan, William,",When ghost meets ghost,1914,m,high_female,45.242836004554874
uiuo.ark:/13960/t2v41d75c,"Henty, G. A.",Dorothy's double,1894,m,,45.24128686327077
uc1.b2837788,"Ryan, Isobel.",The crane.,1968,f,high_male,45.24068041983352
uc2.ark:/13960/t3611nt38,"Panton, Jane Ellen Frith,",The year's mind;,1913,f,high_female,45.23991291316764
inu.30000107605267,"Broadbent, Sabrina.",A boy's guide to track and field / | $c: Sabrina Broadbent.,2006,f,,45.23393278482096
mdp.39015060882308,,"Croatian nights : | a festival of alternative literature / | $c: edited by Borivoj Radakovic, Matt Thorne and Tony White ; translation by Celia Hawkesworth",2005,u,,45.23351803686532
uc2.ark:/13960/t1hh6fb5f,"Tagore, Rabindranath,",The wreck,1921,m,mixed,45.23076387801611
njp.32101065762096,"Lyons, A. Neil",Clara,1912,m,high_female,45.2235590941007
nyp.33433043292097,"Pettman, Grace.",A gentleman in khaki,1917,f,high_female,45.220071012259666
uc1.b3327446,"Whiting, Sydney,",The romance of a garret,1867,u,,45.202209257977486
uiuo.ark:/13960/t6058743b,"West,",The loyalists,1812,f,high_male,45.20114509567576
inu.39000003355935,"Cross, John Keir,",The other passenger : | 18 strange stories / | $c: by John Keir Cross ; with 8 colour plates by Bruce Angrave.,1944,m,,45.19713928694866
uiuo.ark:/13960/t0pr85z1q,"Grey, Herbert.",The three paths,1859,m,,45.19263360072308
mdp.39015077145541,"Gray, Clio.",Envoy of the black pine / | $c: Clio Gray.,2008,u,,45.191612436731745
uc1.$b169792,"Carson, Anthony",The golden kiss.,1966,m,mixed,45.183229887517534
uiuo.ark:/13960/t8hd8f55v,"Peile, W. O.",West of Swardham,1885,u,,45.18266706829037
mdp.39015053616499,"Mortimer, Penelope,",My friend says it's bullet-proof.,1967,f,,45.17255917605254
mdp.39015011328922,,--and other stories : | a collection of contemporary short stories.,1981,u,,45.16002356175142
uiuo.ark:/13960/t40s0229w,"Caine, Hall,",A son of Hagar,1887,m,,45.14594294247365
uc1.b3324288,"Duros, Edward.",Otterbourne;,1832,m,high_male,45.1382358472823
mdp.39015070223329,"Richards, C. J. (Cecil John),",No buses running / | $c: by C. J. Richards.,1956,m,,45.13551939698946
uiuo.ark:/13960/t50g4bb9g,"Yonge, Charlotte M.",The two sides of the shield,1885,f,high_female,45.133627776524065
mdp.39015006582731,"Mann, Heinrich,",Man of straw. | $c: [Translated by Ernest Boyd],1947,m,,45.13188180604897
mdp.39015021856839,"Forster, Margaret,",The battle for Christabel / | $c: Margaret Forster.,1991,f,high_female,45.128945705775685
uiuo.ark:/13960/t5x643q4q,"Mathers, Helen,", Cherry ripe!,1878,f,,45.1277582397062
wu.89069424091,"Høeg, Peter,",Miss Smilla's feeling for snow / | $c: Peter Høeg ; translated from the Danish by F. David.,1996,m,high_male,45.125127084318734
mdp.39015024956214,,"Letters from home : | stories / | $c: by Pat Cadigan, Karen Joy Fowler, Pat Murphy.",1991,u,high_female,45.12445955589136
mdp.39015080823209,"James, Eloisa.",Duchess by night / | $c: Eloisa James.,2009,f,high_female,45.12380844943313
inu.30000027212327,"Power, M. S.,",Crucible of fools / | $c: M.S. Power.,1991,u,mixed,45.12211171482825
uc1.b3290575,"Ward, R. Plumer",Illustrations of human life,1837,m,high_male,45.121117972385875
mdp.39015005753077,"Amis, Kingsley.","The Egyptologists; | a novel, | $c: by Kingsley Amis and Robert Conquest.",1965,m,,45.11668302146427
uc1.b3123790,"Kavanagh, Julia,",Grace Lee,1855,f,,45.104030263349344
uiuo.ark:/13960/t12n5sm4n,"Wills, W. G.",Notice to quit,1861,m,mixed,45.097468722723306
uc2.ark:/13960/t85h7kb78,"Lynd, Sylvia Dryhurst,",The chorus,1915,f,high_female,45.09039050375404
uc2.ark:/13960/t64460w8v,"Morgan, Charles,",The gunroom,1919,m,,45.08647586070082
uiuo.ark:/13960/t3ws8z52f,"Beaton, Patrick.",Marion Leslie,1863,m,mixed,45.07956543298923
nyp.33433074951561,"Cuthbertson, Catherine.",Rosabella,1817,f,high_female,45.07482420818558
mdp.39015056909198,"Gale, Patrick,",A sweet obscurity / | $c: Patrick Gale.,2003,m,high_female,45.07397070809356
uc1.$b244083,"Payne, Robert,",David and Anna.,1943,m,,45.07223015866953
uiuo.ark:/13960/t6nz8t11w,"Scott,",The old grey church,1856,f,,45.06609694218187
uc1.b3862830,"Stevenson, Robert Louis,",The ebb-tide,1894,m,high_male,45.06263706552108
uiuo.ark:/13960/t9c53x143,"Coleridge, Christabel R.",An English squire,1881,f,mixed,45.05519261094841
uiuo.ark:/13960/t7sn0px4q,"Marryat, Florence,",A broken blossom,1879,f,,45.05386875612146
uiuo.ark:/13960/t7zk5t18d,"Neil, Ross,",Carleton Grange,1866,f,,45.04968336508263
inu.30000115723680,,Vision : | an anthology of winning stories from the 2007 University of Hertfordshire Writing Award.,2007,u,,45.04831795393446
mdp.39015030849429,"Adams, Francis William Lauderdale,",Essays in modernity criticisms and dialogues,1899,m,high_male,45.04794388313276
mdp.39015015391173,"Humphreys, Emyr.",An absolute hero / | $c: Emyr Humphreys.,1986,m,,45.03465471600707
mdp.39015077628017,"Gregory, Susanna,",The butcher of Smithfield / | $c: Susanna Gregory.,2008,f,,45.03116630720736
uiuo.ark:/13960/t6zw21w1d,"Payn, James,",Less black than we're painted,1878,m,mixed,45.031135813905614
mdp.39015063550423,"Birmingham, George A.,",The adventures of Dr. Whitty,1913,m,,45.01923549152819
uiuo.ark:/13960/t4qj7zt1d,"Merrick, Leonard,",Violet Moses,1891,m,high_female,45.01350405121536
uc1.32106011678320,"Axelrad, Catherine,",The Warszawianka / | $c: Catherine Axelrad ; translated by Sacha Rabinovitch,1994,f,,45.00855162480872
nnc1.cu58325697,"Nordhoff, Charles,",Whaling and fishing;,1860,m,,45.00709727303151
nnc1.cu58496270,"White, William Hale,",The autobiography of Mark Rutherford,1893,m,high_female,44.99713654585617
nyp.33433074948518,"Lathom, Francis,",Men and manners,1800,m,,44.9922286150574
mdp.39015040123005,"Unsworth, Barry,",Pascali's island / | $c: Barry Unsworth.,1980,m,,44.98931503767855
mdp.39015050917817,"Galt, John,",Lawrie Todd;,1830,m,,44.98686673729121
nyp.33433074946934,"Cobb, Thomas,",The judgment of Helen,1899,m,high_female,44.98565112851935
uc2.ark:/13960/t0vq2vj6z,"Dinga, Shway,",The repentance of destiny,1913,u,high_male,44.97970290906227
nyp.33433081859484,"Edgeworth, Maria,",The novels of Maria Edgeworth,1893,f,,44.97629528043826
uc1.32106015471367,"Nicolson, Adam,",Perch Hill : | a new life / | $c: Adam Nicolson,1999,m,mixed,44.97586660816147
njp.32101063580532,"Howard, Mary M.",Compton Merivale,1850,f,,44.97289791152174
mdp.39015008568647,"(Herbert George), Wells, H. G.",The holy terror.,1939,m,high_male,44.96996006667546
uc1.$b245043,"Tracy, Don,",Streets of Askelon.,1952,m,mixed,44.96838376710528
uc1.b3741281,"Rubens, Bernice.",Brothers : | a novel / | $c: by Bernice Rubens.,1983,f,,44.963050525415
mdp.39015066740294,"Rendell, Ruth,",The water's lovely / | $c: Ruth Rendell.,2006,f,high_female,44.95998561280461
nyp.33433075751507,"Spettigue, H. H.",The heritage of Eve,1898,u,high_female,44.956491260153314
uiuo.ark:/13960/t1bk2000s,"Ponsonby, Emily,",The two brothers,1858,f,mixed,44.94980604991093
uc1.b3327076,"Mayhew, Augustus,",Paved with gold;,1858,m,,44.93160201927906
mdp.39015005910743,"Manning, Olivia.",The great fortune.,1960,f,,44.930003783579274
uiuo.ark:/13960/t0zp4jb4x,"Lemon, Mark,","Falkner Lyle, or, The story of two wives",1866,m,,44.92766645700422
nnc1.1002269686,"Daunt, William J. O'Neill,",The gentleman in debt;,1851,m,,44.924437096803175
mdp.39015082731558,"Sanders, Roma.",Breakfast at dawn and other stories / | $c: Roma Sanders.,2008,f,high_female,44.92256767939473
uiuo.ark:/13960/t8gf15x2b,"Fothergill, Caroline.",Diana Wentworth,1889,f,high_female,44.91522251749822
inu.30000126982879,,The darker sex : | tales of the supernatural and macabre by Victorian women writers / | $c: edited by Mike Ashley.,2009,u,high_female,44.91118097294818
uiuo.ark:/13960/t43r1h42r,"Shand, Alexander Innes,",Fortune's wheel,1886,m,,44.909219221145825
uc2.ark:/13960/t03x8573q,"Perrin, Alice,",Star of India,1919,f,high_female,44.90873902676347
mdp.39015011679480,"Loti, Pierre,",A phantom from the east,1892,m,high_male,44.90749056942698
mdp.39015008720362,"Strachey, Julia.",Cheerful weather for the wedding and An integrated man : | two short novels / | $c: by Julia Strachey.,1978,f,mixed,44.90537795359777
uiuo.ark:/13960/t5s75p40p,"Disraeli, Benjamin,",Contarini Fleming: a psychological auto-biography. In four volumes [in 2],1832,m,high_male,44.90035574897247
mdp.39015050154023,"Neeson, Eoin,",Deirdre and other great stories from Celtic mythology / | $c: Eoin Neeson.,1997,u,,44.89738180610481
inu.32000009141641,"Cowie, Donald.","The indiscretions of an infant : | or, The baby's revenge / | $c: by Donald Cowie.",1946,m,high_female,44.88034109059228
uiuo.ark:/13960/t4bp0s04b,"Collins, Wilkie,",After dark,1856,m,,44.87800269268016
mdp.39015004248566,"Lagerkvist, Pär,","Mariamne: a novel, | $c: by Pär Lagerkvist; translated by Naomi Walford.",1968,m,high_male,44.87575026644976
uc2.ark:/13960/t39024b28,"Hook, Theodore Edward,",Jack Brag,1837,m,mixed,44.87048745665919
njp.32101064790601,"Smith, Horace,",Arthur Arundel,1844,m,,44.87031032885595
uiuo.ark:/13960/t59c7dv4h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,44.86987735566856
mdp.39015063870169,"Gissing, Algernon,",A vagabond in arts,1894,m,high_male,44.86591210359947
