htid,author,title,year,authgender,female_category,political_content
nyp.33433075746705,"Hodges, R.",The settler in South Africa and other tales,1860,u,high_female,48.56230031948882
uiuo.ark:/13960/t9377qv1n,"Field, Julian Osgood,",Little hand and muckle gold,1889,m,high_female,48.55370646856755
mdp.39015010220070,"Mackenzie, Compton, Sir,","Water on the brain, | $c: by Compton Mackenzie.",1933,m,high_female,48.533706247686425
uc1.b3127421,"Disraeli, Benjamin,",Novels and tales by the Earl of Beaconsfield,1881,m,,48.53205161939177
uiuo.ark:/13960/t1hh6t041,,Captain Herbert,1864,u,,48.52451616543475
mdp.39015062286094,"James, G. P. R.",Richelieu,1829,m,,48.504446240905416
mdp.39076002947815,"Hilsenrath, Edgar.",The story of the last thought / | $c: by Edgar Hilsenrath.,1990,m,high_male,48.49711103231055
mdp.39015063949641,"Rea, Lorna, Mrs.","The happy prisoner, | $c: by Lorna Rea; wood engravings by Leslie N. Smith.",1931,f,high_female,48.48652767195401
mdp.39015061468982,"Stangerup, Henrik.",The man who wanted to be guilty : | a novel / | $c: Henrik Stangerup ; translated into English by David Gress-Wright.,1991,u,mixed,48.47922770482474
mdp.39015020167139,"Geake, Charles,",John Bull's adventures in the fiscal wonderland,1904,m,high_male,48.46638510004847
mdp.39015066872378,"Mīr Amman Dihlavī,",A tale of four dervishes / | $c: Mir Amman ; translated from the Urdu with an introduction by Mohammed Zakir.,2006,u,high_male,48.461050983510816
mdp.39015000610421,"Woolf, Virginia,","Orlando, | a biography.",1954,f,mixed,48.445961221699484
mdp.49015000240045,"Aria, Eliza (Davis),",My sentimental self,1922,f,mixed,48.44453755106316
mdp.39015065768130,"Eliot, George,",The works of George Eliot,1878,f,high_male,48.440444743833304
uc1.$b312765,"Metcalfe, Thomas Washington,",The life and adventures of Aloysius O'Callaghan / | $c: by Thomas Washington-Metcalfe.,1932,m,high_male,48.43553230650005
uc1.b3324498,"Lever, Charles James,",The Daltons,1852,m,mixed,48.418005382043546
uc1.$b244853,"Smith, Stevie,",The holiday / | $c: Stevie Smith.,1949,u,mixed,48.4114140282446
mdp.39015030739737,"Derby, Mark.",The big water / | $c: Mark Derby.,1973,m,mixed,48.40121517944493
uc2.ark:/13960/t1bk1p43x,"Whibley, Charles,",A book of scoundrels,1911,m,high_male,48.38457936631809
inu.32000013179256,"Doyle, Arthur Conan,",The Stark Munro letters,1895,m,,48.38276140130812
nyp.33433074877196,"Kingsley, Henry,",Mademoiselle Mathilde,1868,m,mixed,48.38085408334408
mdp.39015015390928,"Humphreys, Emyr.",Open secrets / | $c: Emyr Humphreys.,1988,m,,48.33178620472731
njp.32101064790742,"Stepney, Catherine Pollock Manners,",The courtier's daughter,1838,f,,48.31746130706526
mdp.39015063913605,"Caine, Hall,",The bondman,1890,m,high_male,48.306585797863775
njp.32101063690760,"Fielding, Henry,",The works of Henry Fielding,1893,m,high_male,48.28725119993819
inu.30000110619669,"Jarrar, Nada A.",A good land / | $c: Nada Awar Jarrar.,2009,f,,48.274197441467535
hvd.hxk4kj,,Maurice Powell: an historical Welsh tale of England's troubles,1821,u,mixed,48.261771850517206
mdp.39015029883454,"West, Morris,",The lovers / | $c: Morris West.,1993,m,,48.26138365386936
njp.32101064791831,"Williams, Robert Folkestone,",Maids of honour,1845,m,,48.259886382438914
mdp.39015059433345,,Fitzgeorge,1832,m,mixed,48.244438488340926
uiuo.ark:/13960/t3029dn25,"Murray, Hamilton.",Mildred Vernon;,1848,m,,48.221478413797016
inu.39000002489586,"Boldrewood, Rolf,",A modern buccaneer,1894,m,,48.21952217817674
uiuo.ark:/13960/t44q88r9x,"Gore,","The heir of Selwood, or, Three epochs of a life",1838,f,,48.21825760992985
mdp.39015053780352,,"Goddess of the storm and other stories : | --a compilation of short stories by Nigerian authors. / | $c: [editor, Sola Adeyemi].",1999,u,,48.209943824935024
mdp.39015056165007,"Wilson, Edward.",A river in May / | $c: Edward Wilson.,2002,m,high_male,48.121051177629056
mdp.39015050801789,"Kelman, James,",Translated accounts : | a novel / | $c: by James Kelman.,2001,m,high_male,48.10659695748466
mdp.39015019967101,"Tracy, Honor,",A number of things / | $c: Honor Tracy.,1960,f,,48.08086967738909
mdp.39015070712172,,Qissat : | short stories by Palestinian women / | $c: edited by Jo Glanville.,2006,u,,48.07766869833589
uiuo.ark:/13960/t0vq39k46,"Farjeon, B. L.",Toilers of Babylon,1888,m,high_male,48.06285785932211
uiuo.ark:/13960/t5r78qs7t,"Grant, Maria M.",One May day,1882,f,,48.06237428128949
mdp.39015062625499,"Lee, Seung-U.",The reverse side of life / | $c: Lee Seung-U ; translated by Yoo-Jung Kong.,2005,u,,48.06168256792547
mdp.39015033284335,"Farmer, Philip José.",Dare / | $c: Philip José Farmer.,1977,m,mixed,48.060235495153925
nyp.33433075760821,,Extracts from the diary of a living physician,1851,u,,48.03178831080933
uc1.b4931097,"(William John Francis) Jenner, W. J. F.",Modern Chinese stories; | $c: selected and edited by W. J. F. Jenner; translated by W. J. F. Jenner and Gladys Yang.,1970,u,high_male,48.0259671436142
mdp.39015012832948,"Lind, Jakov,",Travels to the Enu : | story of a shipwreck / | $c: Jakov Lind.,1982,u,,48.01970895880744
hvd.hwadap,"Scott, Walter,",The Waverley novels,1829,m,,47.96630976480248
mdp.39015014653227,"Wieland, Christoph Martin,",Confessions in Elysium,1804,m,high_female,47.95588058985733
uc1.b3326179,"Kingsley, Charles,","Hypatia; or, New foes with an old face",1853,m,,47.94313527259841
uiuo.ark:/13960/t1mg88j00,"Spender, John Kent,",Mr. Nobody,1884,f,,47.93654944001395
mdp.39015065780929,"Marriott, Charles,",Genevra,1904,m,,47.91251738003081
mdp.39015034414063,"Kak, Manju.",First light in Colonelpura : | short stories / | $c: Manju Kak.,1994,u,high_female,47.88530062110052
inu.39000005875807,"Anstruther, F. C. (Fay Carmichael)",Old Polish legends / | $c: retold by F. C. Anstruther  ; wood-engravings by J. Selkalsi ; foreword by Z. Nowakowski.,1945,f,mixed,47.88438098554762
mdp.39015073624267,"Archibald, Malcolm.",Powerstone : | stealing the Scottish crown jewels / | $c: Malcolm Archibald.,2008,m,high_female,47.86698838492874
mdp.39015013157121,"Dressler, Friedrich August.",Moltke in his home,1907,m,high_male,47.85961180537091
uc1.b2800163,"Abraham, Parappillil John.",Last hours on Dara / | $c: by P. J. Abraham.,1963,m,high_male,47.84489931769013
inu.39000001971774,,More modern African stories : | a collection of contemporary African writing / | $c: edited and with an introduction by Charles R. Larson.,1975,u,,47.82257823474908
mdp.39015043090649,"Jones, Evan,",Stone haven / | $c: Evan Jones.,1998,m,,47.79367038009003
njp.32101068970126,"Jennings, Louis J.",The millionaire,1883,m,,47.79320089768099
uc1.$b244687,"Lindsay, Jack,","The barriers are down; | a tale of the collapse of a civilisation, | $c: by Jack Lindsay.",1945,m,mixed,47.781162276772385
uc2.ark:/13960/t84j0gq99,"Bourne, John George Hamilton.","The picture, and The prosperous man",1835,m,,47.733387334741224
nyp.33433074840475,"Dawson, Warrington,",The scourge,1908,u,,47.73325261368664
mdp.39015015490280,"Comfort, Alex,",The philosophers / | $c: Alex Comfort.,1989,m,mixed,47.726483859770916
uiuo.ark:/13960/t5q81zg15,"Talbot, Thomas,",The Granvilles,1882,m,,47.69854519437157
mdp.39015016870761,,Hard feelings : | fiction and poetry from Spare Rib / | $c: edited and illustrated by Alison Fell.,1979,u,high_female,47.68717215069147
mdp.39015048900602,"Sinclair, Clive,",Bedbugs / | $c: by Clive Sinclair.,1982,m,mixed,47.67580452920143
uc1.b3726488,"Iyayi, Festus.",Violence / | $c: Festus Iyayi.,1987,m,high_male,47.67449322930514
uiuo.ark:/13960/t17m0nz2t,"Gore,",The opera,1832,f,mixed,47.66522575237094
mdp.39015046486125,"Gilfillan, Ross.",The snake-oil Dickens man / | $c: Ross Gilfillan.,1998,m,,47.651775486827034
mdp.39015064564498,"Prichard, K.",Roving hearts,1903,f,,47.64967955590499
uc1.$b361710,"Dumitriu, Petru.",Westward lies heaven; | $c: translated by Peter Wiles.,1966,u,,47.64339499860556
mdp.39015049026852,"Baroness. Jenssen, Carla","I spy; | the true story of a woman secret service agent, | $c: by Baroness Carla Jenssen.",1930,f,high_male,47.63674126580349
mdp.39015043053746,"Britton, Lionel,",Hunger and love / | $c: Lionel Britton ; with an introduction by Bertrand Russell.,1931,m,high_male,47.63133347887352
uc2.ark:/13960/t6vx07v70,"Benecke, Else C. M.",Tales by Polish authors,1915,f,,47.62566229436628
uc1.32106010286729,"Lombard, Carl.",The disappearance of Rory Brophy / | $c: Carl Lombard.,1992,m,high_male,47.6105457358805
mdp.39015005299253,"Vieira, José Luandino,",The real life of Domingos Xavier / | $c: [by] Luandino Vieria ; translated [from the Portuguese] by Michael Wolfers.,1978,u,,47.60837907471715
uc1.b2799144,"Hearn, C. V.","Desert assignment, | $c: by C. V. Hearn.",1963,u,high_male,47.59152870788999
uc1.b3741294,"Sinclair, Clive,",Bedbugs / | $c: by Clive Sinclair.,1982,m,mixed,47.588542143314726
mdp.39015054032639,"Rushdie, Salman.","East, west / | $c: Salman Rushdie.",1994,m,mixed,47.585058291696406
uc2.ark:/13960/t15m64303,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,47.58166202745462
njp.32101037989959,"Nares, Edward,",Thinks-I-to-myself,1812,m,,47.577511696138295
uc1.32106018775459,"Platonov, Andreĭ","Happy Moscow / | $c: Andrey Platonov ; translated from the Russian by Robert and Elizabeth Chandler with Angela Livingstone, Nadya Bourova and Eric Naiman ; with an introduction by Eric Naiman",2001,u,,47.57449372809591
uiuo.ark:/13960/t8x92qs64,"Mangin, Edward,",George the third,1807,m,high_male,47.558184466308
dul1.ark:/13960/t3902vm2j,"Gore,","Stokeshill Place, or, The man of business",1837,f,high_female,47.551117451260104
mdp.39015024933056,"Ibrahim, Gamil Atia.",Down to the sea / | $c: Gamil Attiyah Ibrahim ; introduced and translated by Frances Liardet.,1991,u,,47.545256040008454
uiuo.ark:/13960/t41r72858,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,47.54320488744146
uiuo.ark:/13960/t47p9m20q,"Reid, Mayne,",Oceola,1859,m,,47.494239124698765
mdp.39015002178864,"Lessing, Doris May,",A proper marriage.,1954,f,high_female,47.48743450469005
uc1.b3326183,"Nares, Edward,",Thinks I-to-myself;,1811,m,mixed,47.472110135295516
wu.89092529890,"Falls, Alicia Maria.",On the banks of the Seine,1901,u,,47.44764397905759
mdp.39015021978054,"Duffy, Maureen.",Illuminations: | a fable / | $c: Maureen Duffy.,1991,f,high_female,47.43788009601427
uc1.b3339473,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,47.436529922963075
uiuo.ark:/13960/t23b6nf6k,"Mackay, Charles,","The twin soul; or, The strange experiences of Mr. Rameses",1887,m,high_male,47.408085530725344
inu.30000132128434,"Werner, Bruno E. (Bruno Erich),",The slave ship.,1953,m,,47.38552595698646
njp.32101065549618,"Sala, George Augustus,",Terrible tales,1873,m,,47.380672805553836
uc2.ark:/13960/t28916t30,"Belcher, Edward,",Horatio Howard Brenton,1856,m,mixed,47.377326565143825
njp.32101068178894,"Harding, Anne Raikes,","The refugees, an Irish tale",1822,f,,47.37181187706067
uc1.$b605483,"Greene, Graham,",Nineteen stories.,1947,m,,47.35465081864353
nyp.33433076078926,"Scott, Walter,",The handy volume  Waverly,1877,m,,47.34347692509154
mdp.39015065739032,"Smith, Horace,",Brambletye house;,1826,m,,47.33845751373438
mdp.39015013131308,"Vaidya, Suresh.",Islands of the marigold sun.,1960,u,high_male,47.33818656363148
uiuo.ark:/13960/t7qn6s33c,"Strickland, Agnes,",How will it end?,1865,f,high_female,47.32705049590518
mdp.39015017936876,"Logan, Owen.","Al Maghrib : | photographs from Morocco, 1983-1988 / | $c: Owen Logan ; with three stories by Paul Bowles ; preface by Alexander Hutchison.",1989,m,high_female,47.31711933377496
uc1.32106017526077,,The voice of war : | the second world war told by those who fought it / | $c: edited by James Owen and Guy Walters,2004,u,high_male,47.316479653913746
nyp.33433076071475,"Harte, Bret,",In the Carquinez woods,1883,m,,47.30282907304648
nyp.33433075772685,"Williamson, C. N.",Scarlet runner,1908,m,high_male,47.30041532071989
uiuo.ark:/13960/t06w9zc7x,,"Piso and the praefect, or, The ancients off their stilts",1837,u,high_male,47.29780189689079
uc2.ark:/13960/t0ns0qn4r,"Swan, E. F. O.",Tales of the western tropics,1922,u,mixed,47.29530002955956
mdp.39015053378397,"Evaristo, Bernardine,",The emperor's babe : | a novel / | $c: Bernardine Evaristo.,2001,f,high_female,47.29138587406304
nyp.33433076071509,"Harte, Bret,",An heiress of Red Dog,1879,m,,47.279982600966406
mdp.39015049211009,"Williams, Denis,",Other leopards / | $c: Denis Williams ; introd. by Edward Baugh.,1983,m,high_female,47.269331427187936
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,47.26900889429106
mdp.39015078794388,"Davis, Lindsey.",Alexandria / | $c: Lindsey Davis.,2009,u,,47.23743857061169
uc1.32106007799627,"Saʻdāwī, Nawāl.",Death of an ex-minister / | $c: Nawal El Saadawi ; translated by Shirley Eber.,1987,f,high_female,47.22550177095631
mdp.39015058691273,,Tales from  Blackwood.,1858,u,,47.216456271325356
mdp.39015078793349,"Bedell, Geraldine.",The gulf between us / | $c: Geraldine Bedell.,2009,f,,47.199740014546805
mdp.39015003929521,"Ghose, Zulfikar,",The incredible Brazilian.,1972,u,mixed,47.19682333914378
mdp.39015063932456,"Lyons, A. Neil",Simple Simon,1914,m,,47.191485662481526
njp.32101076207669,,Tales from  Blackwood,1858,u,,47.19039096793725
uc2.ark:/13960/t5fb50m13,"Lever, Charles James,",[Charles Lever's novels,1872,m,mixed,47.178213293665124
mdp.39015016448824,"Bedford, John Harman.",Wanderings of Childe Harolde,1825,m,mixed,47.178010081195836
inu.30000086817388,"Norman, Diana.",A catch of consequence / | $c: Diana Norman.,2002,f,mixed,47.17011611602556
uc1.$b102989,"Holtby, Winifred,",South Riding; | a novel | $c: by Winifred Holtby.,1936,f,high_female,47.168938791365306
mdp.39015057277033,"Gye, Caroline.",The Cockney and the crocodile.,1962,f,mixed,47.16645308272818
mdp.39015073248778,"Harcourt-Smith, Simon.","The last of Uptake, or, The estranged sisters / | $c: by Simon Harcourt-Smith ; illustrated by Rex Whistler.",1942,m,high_female,47.162966187781166
uc2.ark:/13960/t7np1zc9r,"Joseph, E. L.",Warner Arundell,1838,m,,47.12143470909444
wu.89099490245,Petronius Arbiter.,Petronius (Trimalchio's Banquet),1905,u,high_male,47.11841446535324
uc1.32106009246999,"Thomas, Leslie,",Orders for New York / | $c: Leslie Thomas.,1989,m,,47.11563944756913
hvd.hn21hk,"Porter, Jane,",Thaddeus of Warsaw,1805,f,,47.108481410993235
mdp.39015028040718,"Martineau, Harriet,",Illustrations of taxation,1824,f,,47.10736902362524
mdp.39015069803495,"Nagenda, John,",The seasons of Thomas Tebo / | $c: John Nagenda.,1986,m,,47.09760979630284
inu.30000056741279,"Aluko, T. M.,","One man, one wife / | $c: T. M. Aluko.",1977,u,high_male,47.095022056168666
uc1.b4101341,"Eliot, George,",Romola,1897,f,high_male,47.074544819522266
mdp.39015068100752,"Sedley, Charles,",Asmodeus;,1808,m,high_male,47.049967065023054
mdp.39015030948015,"Boldrewood, Rolf,",The squatter's dream,1890,m,high_male,47.032711515087456
uc2.ark:/13960/t87h1gf5r,"Jesse, William,",Beaux & belles of England,1844,m,high_male,47.02082204663239
uiuo.ark:/13960/t1pg29b6z,"Robertson,","Florence, or, The aspirant",1829,f,,46.993078046612055
mdp.39015063338175,"Schonstein, Patricia.",A quilt of dreams / | $c: Patricia Schonstein.,2006,f,high_male,46.98194398470951
mdp.39015028406018,"Beeding, Francis.","The seven sleepers, | $c: by Francis Beeding.",1928,m,,46.97972563840227
nyp.33433074892997,"Ramsay-Laye, Elizabeth.","Social life in Sydney; or, Colonial experience",1866,f,mixed,46.97828931915036
uc1.b2830317,"Crosthwaite, Charles.",Thakur Pertáb Singh,1913,m,,46.955872151966275
wu.89000714162,"Sladen, Douglas Brooke Wheelton,",The curse of the Nile;,1914,m,mixed,46.950652907517
mdp.39015049232971,"Malraux, André,",The walnut trees of Altenburg;,1952,m,high_male,46.938404699897035
uc1.b4359234,"Paso, Fernando del,",Palinuro of Mexico / | $c: Fernando del Paso ; translated by Elisabeth Plaister.,1989,m,mixed,46.93430771896114
mdp.39015049725347,"Moorcock, Michael,",The dreamthief's daughter / | $c: Michael Moorcock.,2001,m,high_male,46.93058814624177
mdp.39015054019156,"Mutwa, Credo Vusa'mazulu,",My people: | the incredible writings of Credo Vusa'mazulu Mutwa.,1969,u,high_male,46.92942254812099
wu.89001072198,,Modern German short stories / | $c: translated by H. Steinhauer and Helen Jessiman ; with an introduction by H. Steinhauer.,1938,u,mixed,46.91972035846666
uc1.b3322564,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,46.91108545034642
uc2.ark:/13960/t26972r4k,"Lever, Charles James,",[Charles Lever's novels,1872,m,,46.908315565031984
mdp.39015016716030,"Salkey, Andrew.",The late emancipation of Jerry Stover / | $c: Andrew Salkey.,1982,m,,46.899238789278115
njp.32101037974829,"Fullerton, Georgiana,",A will and a way,1881,f,high_female,46.89844922461231
mdp.39015060459198,,'Blackwood' tales from the outposts ...,1932,u,high_male,46.87801604882667
mdp.39015030715430,"Vansittart, Peter.",Landlord: | a novel.,1970,m,,46.87353520202494
uiuo.ark:/13960/t5x63zp1s,"Eliot, George,",Middlemarch;,1899,f,mixed,46.85796074154853
uc1.$b119909,"Hershey, Burnet,",You can't go to heaven on a roller skate.,1969,u,mixed,46.84572142410993
uc1.$b243334,"Humphreys, Emyr.",The little kingdom / | $c: by Emyr Humphreys.,1946,m,,46.844989928327166
mdp.39015055803038,,"Women who did : | stories by men and women, 1890-1914 / | $c: edited with an introduction and notes by Angelique Richardson.",2002,u,high_female,46.83244442625709
mdp.39015031232385,"Dutton, Geoffrey.",Tamara.,1970,m,mixed,46.8181029998266
mdp.39015028727843,"Iyayi, Festus.",Violence / | $c: Festus Iyayi.,1987,m,high_male,46.81347126478985
uc1.$b323011,"Belloc, Hilaire,","The hedge and the horse, | $c: by Hilaire Belloc; with forty illustrations by G.K. Chesterton.",1936,m,,46.79662479343677
mdp.39015002149014,"(Victor Sawdon), Pritchett, V. S.",When my girl comes home.,1961,u,high_female,46.78053929565301
mdp.39015069131202,"Arditti, Michael.",A sea change / | $c: Michael Arditti.,2006,m,high_female,46.76751443415559
nyp.33433074930565,"Brougham and Vaux, Henry Brougham,",Albert Lunel;,1844,m,,46.76514223053603
njp.32101033250307,"Kay-Shuttleworth, James,",Scarsdale,1860,m,,46.763115592576355
mdp.39015066088157,"Okri, Ben.",The famished road / | $c: Ben Okri.,1991,m,high_male,46.76207364332112
nyp.33433075762660,"Trollope, Frances Milton,",The refugee in America,1833,f,,46.74167074297516
mdp.39015065757810,"Ward, Artemus,","Artemus Ward, his book",1865,m,,46.739417586213904
uiuo.ark:/13960/t6rx9s555,"Lever, Charles James,",The fortunes of Glencore,1857,m,high_male,46.72692493027467
uc1.b2838587,"Deighton, Len,",Only when I larf.,1967,m,,46.71615871307139
njp.32101067630218,"Boyle, Frederick,",A good hater,1885,m,mixed,46.715227433949856
uiuo.ark:/13960/t21c2nd9s,"Warburton, Eliot,",Reginald Hastings,1850,m,,46.702519105575995
uc2.ark:/13960/t92808h53,"Fittis, Robert S.",Gilderoy,1866,m,mixed,46.69241824278845
uc2.ark:/13960/t48p6126r,"Dorrington, Albert.",Children of the cloven hoof,1911,m,,46.686404008198586
mdp.39015050023897,"Ballard, J. G.,",The complete short stories / | $c: J.G. Ballard.,2001,m,,46.67488144580113
uc1.b3438085,"Bienek, Horst,",The first polka : | a novel / | $c: [by] Horst Bienek ; translated from the German by Ralph R. Read,1978,u,,46.67240348292811
uiuo.ark:/13960/t1bk1qb2j,"Cunningham, H. S.",Chronicles of Dustypore;,1875,m,high_female,46.64772486323735
mdp.39015078806596,"Lui, Giancarlo,",Tales of the Rohrk / | $c: Giancarlo Lui.,2008,m,,46.644580258578415
nyp.33433074849401,"Haggard, Andrew,",Hannibal's daughter,1898,m,high_female,46.61833081839706
mdp.39015008394614,"Johnson, Bernard,",New writing in Yugoslavia,1970,m,mixed,46.600989249070025
uc2.ark:/13960/t1wd3rv2p,"Blundell, Peter.","Wanted, a tortoise-shell",1917,m,,46.60042391353367
mdp.39015030376605,"Linton, E. Lynn",The autobiography of Christoper Kirkland,1885,f,,46.59832246039143
uva.x000676502,"Thornton, Marcellus Eugene.",My  budie  and I,1899,m,,46.59775104538376
uc2.ark:/13960/t0ft8gb4b,"Blundell, Peter.",Love-birds in the coco-nuts,1915,m,,46.59601257100935
mdp.39015041056865,"Long, Earl G.",Voices from a drum / | $c: Earl G. Long.,1996,m,high_male,46.5870937685746
wu.89087886859,"Fadeev, Aleksandr,","Leningrad in the days of the blockade, | $c: by A. Fadeyev. Translated from the Russian by R. D. Charques.",1946,u,,46.578590785907856
nyp.33433075859433,,The Italian novelists,1825,m,high_male,46.556704165399815
dul1.ark:/13960/t8df7h88h,"Morgan,",Florence Macarthy,1818,f,mixed,46.55119829205259
mdp.39015065597059,"Trollope, Anthony,",The chronicles of Barsetshire,1891,m,high_female,46.53609582389123
mdp.39015014583184,"Baring, Maurice,","Cat's cradle, | $c: by Maurice Baring ; illustrated by Daphne Baring.",1926,m,high_female,46.530945001192116
uiuo.ark:/13960/t1bk1w12k,"Jephson, R. Mounteney",The girl he left behind him,1876,m,,46.51359465516512
mdp.39015010449729,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,high_female,46.49461916205203
nnc1.0022269789,"Trollope, Anthony,",The chronicles of Barsetshire,1887,m,,46.49282393369719
uc1.b4315284,"Crocker, Aimée,",Without regrets.,1937,u,mixed,46.485454945807746
mdp.39076006608140,"Huxley, Aldous,",Collected works.,1970,m,mixed,46.470182431396594
mdp.39015011632562,"Huxley, Aldous,",[The collected works of Aldous Huxley],1946,m,,46.44398573841246
mdp.39015020728187,"Ngũgĩ wa Thiongʼo,",The river between.,1965,u,mixed,46.44042725193072
mdp.39015039573160,"Humphreys, Henry Noel,",Stories by an archæologist and his friends,1856,m,mixed,46.43603436266543
nyp.33433066579156,"Boswell, Thomas Alexander.",The journal of an exile,1825,m,,46.42897167832728
uiuo.ark:/13960/t2j67qh6b,"Bisset, Robert,",Modern literature;,1804,m,,46.41909814323608
mdp.39015051765736,"Rathore, Ameeta.",Blood ties / | $c: Ameeta Rathore.,2001,u,high_female,46.41448131817127
mdp.39015082691091,"Woolfson, Esther.",Piano angel / | $c: Esther Woolfson.,2008,f,,46.40952352889177
uc1.$b307411,"Hilton, James,",Contango : | a novel / | $c: by James Hilton.,1932,m,mixed,46.39070639515217
nyp.33433075772578,"Williamson, William Henry.",The prince's marriage,1908,m,mixed,46.385337707885505
njp.32101064710914,"Pickering, Ellen,",The quiet husband,1840,f,mixed,46.35552836031225
uiuo.ark:/13960/t3pv6tz1p,"Cunningham, H. S.",The Heriots,1890,m,high_female,46.35389982678279
mdp.39015015448924,"Farhi, Moris.",Journey through the wilderness / | $c: Moris Farhí.,1989,u,,46.33920296570899
uc2.ark:/13960/t7tm7472s,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,46.33879002290205
mdp.39015036753906,"Roscoe, Thomas,",The Italian novelists,1836,m,high_male,46.33657374134735
mdp.39015030700986,"Iyayi, Festus.",Violence / | $c: Festus Iyayi.,1979,m,high_male,46.32932739082494
mdp.39015011535955,"Williamson, Henry,",The phoenix generation.,1965,m,mixed,46.323797897444564
uiuo.ark:/13960/t1gj01372,"Marsh-Caldwell, Anne,",The triumphs of time,1844,f,,46.299544019642234
mdp.39015038139229,"Dudint͡sev, Vladimir,",A New Year's tale / | $c: Vladimir Dudintsev; Trans. by Max Howard. Decorations by William McLaren.,1960,m,high_male,46.29935842317614
inu.39000005911628,"Jegerlehner, Johannes,",Alp legends: | $c: collected by Johannes Jegerlehner. Tr. by I. M. Whitworth.,1926,u,,46.29794508351437
nyp.33433074871777,"Kenealy, Edward Vaughan,",Edward Wortley Montagu,1869,m,mixed,46.29200999907416
mdp.39015059436116,"Thompson, Sylvia,",The battle of the horizons / | $c: by Sylvia Thompson.,1928,f,,46.289867148081285
uiuo.ark:/13960/t84j13q2r,"Prickett,",Warwick Castle,1815,f,mixed,46.27487274409995
mdp.39015002704842,"(John Dick), Scott, J. D.","The way to glory : | or, The last night of the holidays, a love story / | $c: J. D. Scott.",1952,m,mixed,46.2727837029513
mdp.39015011487181,,The Best of the Fiction Magazine.,1986,u,,46.26527551769248
mdp.39015059791692,"Fraser, James Baillie,",The Persian adventurer,1830,m,high_male,46.26027714111487
inu.30000110617242,"Jaber, Hala.",The flying carpet to Baghdad : | one woman's fight for two orphans of war / | $c: Hala Jaber.,2009,f,mixed,46.2492836388132
uc1.32106014066408,"Pennac, Daniel",The fairy gunmother / | $c: Daniel Pennac ; translated from the French by Ian Monk,1998,m,mixed,46.22761186007009
uc1.$b245052,"Thirkell, Angela Mackail,","Coronation summer, | by Angela Thirkell.",1937,f,mixed,46.172177539469764
nyp.33433075763981,"Ward, Josephine Mary Hope-Scott,",The light behind,1903,f,,46.168495772697106
uiuo.ark:/13960/t3ws9042s,"Collins, Mortimer,",Marquis and merchant,1871,m,mixed,46.16307876960008
mdp.39015030847415,"Balchin, Nigel,",The Borgia testament.,1948,m,mixed,46.14294424943557
mdp.39015054402808,"Hensher, Philip.",The Mulberry Empire : | or the two virtuous journeys of the Amir Dost Mohammed Khan / | $c: Philip Hensher.,2002,m,,46.11254045621248
uiuo.ark:/13960/t45q5jz8m,"Barrowcliffe, A. J.",Trust for trust,1859,m,,46.110876897133224
mdp.39015039731610,"Mottram, R. H. (Ralph Hale),","The boroughmonger, | $c: by R.H. Mottram.",1929,m,,46.105678504031566
pst.000043989492,"Ngũgĩ wa Thiongʼo,","Weep not, child / | $c: Ngũgĩ wa Thiongʼo.",1964,u,high_male,46.10419548178884
uiuo.ark:/13960/t3tt53s18,"Donelan, A. M.",What 'tis to love,1873,u,mixed,46.089656510770425
inu.32000009368053,"Trollope, Anthony,",Framley parsonage,1882,m,high_female,46.0852046101518
mdp.39015055894474,"Houellebecq, Michel.",Platform / | $c: Michel Houellebecq ; translated from the French by Frank Wynne.,1999,m,high_female,46.07785314066647
uc1.$b302055,"Mordaunt, Elinor,",Mrs. Van Kleek / | $c: by Elinor Mordaunt.,1934,f,high_female,46.063898895647554
uc1.b3327170,"Roberts, Margaret,",The secret of Madame de Monluc,1894,f,high_female,46.06219419821074
uiuo.ark:/13960/t54f2f298,"Smith, Constance.",The repentance of Paul Wentworth,1889,f,high_female,46.047374622479246
uiuo.ark:/13960/t0dv1xd8x,"Gore,",The manners of the day,1830,f,high_female,46.045058378556156
mdp.39015014661493,"Hornstein, Erika von,",Russians in my home. | $c: Translated from the German by Ingrid Enway Gunvaldsen.,1960,f,high_male,46.03959405088376
mdp.39015054182749,"Redfern, Elizabeth.",The music of the spheres / | $c: Elizabeth Redfern.,2001,f,high_male,46.0320893577137
mdp.39015049970992,"Robertson, James,",The fanatic / | $c: James Robertson.,2000,m,,46.030250505253925
mdp.39015065973151,"Haldane, Charlotte.","Man's world,",1926,f,,46.01932811780948
hvd.hnnzlh,,The pic-nic papers,1841,m,,46.010098626775516
uc1.b4315302,"Kinel, Lola.","Under five eagles: my life in Russia, Poland, Austria, Germany and America, 1916-1936.",1937,f,high_male,46.00722970752547
nnc1.0022575324,"Hudson, W. H.",The purple land that England lost,1885,m,,45.98956611718717
