htid,author,title,year,authgender,female_category,gb_subcity_intensity
uiuo.ark:/13960/t43r1gx91,"Savage, M. W.",My uncle the curate,1849,m,mixed,22.902717340051467
dul1.ark:/13960/t0tq6h35q,"Gore,",The sketch book of fashion,1833,f,high_female,22.89676828470496
uiuo.ark:/13960/t6348x87x,"Barrett Lennard,",Constance Rivers,1867,f,,22.894209672803587
uc1.32106012408750,,The hurt world : | short stories of the troubles / | $c: edited by Michael Parker,1995,u,mixed,22.89225134215054
inu.30000055877900,"Wace,",Arthurian chronicles | $c: [by] Wace and Layamon.,1937,u,high_male,22.891377145249063
mdp.39015063938883,"MacArthur, Henry,",Realism and romance,1897,m,high_male,22.889457385216105
uiuo.ark:/13960/t2s476000,"Mainwaring, Kate.",Is it for ever?,1873,f,high_female,22.88427707138464
mdp.39015080739181,"Campbell, Karen,",After the fire / | $c: Karen Campbell.,2009,f,mixed,22.882462152927655
uc2.ark:/13960/t4wh2h10j,"Henham, Ernest George,",Wintering Hay,1912,m,mixed,22.88093390101977
uc1.b3325650,"O'Sullivan, Vincent,",Human affairs,1907,m,mixed,22.877444185764844
uc1.$b243542,"Millar, George Reid.",Siesta.,1953,m,,22.87340839199939
uc2.ark:/13960/t4qj79k0x,"Grant, James,",The romance of war,1846,m,high_male,22.863193867850736
mdp.39015030760279,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,22.85247511754438
mdp.39015065767868,"Eliot, George,",The works of George Eliot,1878,f,mixed,22.84838255562844
uc2.ark:/13960/t01z4399w,"Von Hutten,",Sharrow,1912,f,mixed,22.846847787772376
uc2.ark:/13960/t6057dn47,"Herbert, Alice.",Heaven and Charing Cross,1922,f,,22.843567251461987
uiuo.ark:/13960/t9w09r522,"Austin, Alfred,",Jessie's expiation,1867,m,mixed,22.83365681013814
mdp.39015016437462,"McIlwain, David,",The isotope man | $c: [by] Charles Eric Maine [pseud.],1957,m,high_male,22.831701817974256
njp.32101064753914,"Warr, Charles Laing,",Echoes of Flanders,1916,m,high_male,22.831356854107636
inu.30000011825480,"Greene, Graham,",Brighton Rock : | an entertainment / | $c: Graham Greene.,1943,m,,22.82622479604345
inu.32000009095367,"Laski, Marghanita,",The Victorian chaise-longue.,1953,u,high_female,22.82193187653335
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,22.815423226100844
uiuo.ark:/13960/t0xp7kn27,"Pardoe,",A life-struggle,1859,f,,22.806461830852076
mdp.39015025105407,"Trefusis, Violet Keppel,",From dusk to dawn; | $c: illustrations by Philippe Julian.,1972,f,,22.801550505434367
uc2.ark:/13960/t9z034n1r,"Field, Julian Osgood,",Aut diabolus aut nihil,1895,m,high_male,22.79532902985153
njp.32101064912353,"Russell, William Clark,",The tale of the ten,1896,m,high_male,22.793177242278812
uc1.$b244224,"Fuller, Roy Broadbent,",The perfect fool / | $c: Roy Fuller.,1963,m,,22.791899107859955
umn.31951002071639z,"Griggs, George Philip.",The readiness if all : | a novel.,1946,m,,22.7913013199962
uc2.ark:/13960/t84j0hm3g,"Macnamara, T. J.",School-room humour,1913,u,high_male,22.7894257064722
uc1.32106012726623,,The literature of struggle : | an anthology of Chartist fiction / | $c: [edited by] Ian Haywood,1995,u,,22.787153742077894
uiuo.ark:/13960/t2q536h3c,"Macquoid, Katharine S.",Beside the river,1881,f,high_female,22.777659671394296
uc1.b2831300,"Knowler, John,",The singing lizard.,1967,m,high_female,22.775270197523703
wu.89004098703,"Thackeray, William Makepeace,",The Irish sketch-book,1845,m,high_male,22.770034634421105
uc1.32106005226854,"Avery, Gillian,",The lost railway / | $c: Gillian Avery.,1980,f,,22.768176594314458
uiuo.ark:/13960/t8v98sx8c,,Tales of my landlord,1820,m,high_male,22.76395844542858
uc1.b4973364,"Gilbert, Michael Francis,","Paint, gold and blood.",1989,m,mixed,22.75312855517634
hvd.hxk4kh,,Maurice Powell: an historical Welsh tale of England's troubles,1821,u,mixed,22.751575546606603
mdp.39015079305028,"Leitch, Maurice,",Dining at the Dunbar / | $c: Maurice Leitch.,2009,m,high_male,22.750305060908765
mdp.39015049687877,"Freeling, Nicolas,",Some day tomorrow / | $c: Nicolas Freeling.,2000,m,mixed,22.749246431211965
uiuo.ark:/13960/t5w674d6w,"Watson, Aaron,",The Marquis of Carabas,1892,m,,22.748815165876778
mdp.39015031226411,"Burt, Michael.",We'll soldier no more.,1946,m,mixed,22.73670891081279
wu.89000607614,"Alington, Cyril,",Shrewsbury fables,1922,m,high_male,22.735540196435068
uc1.32106012155815,"Paling, Chris",After the raid / | $c: Chris Paling,1995,m,high_male,22.72492511104225
mdp.39015063926052,"Rawson, Marion Nicholl,",The priceless thing,1914,u,high_female,22.697482281777894
uc1.b3327284,"Whyte-Melville, G. J.",Black but comely,1879,m,,22.696323195642307
mdp.39015063994480,"Galt, John,",The spaewife;,1823,m,,22.683650322805793
uiuo.ark:/13960/t6834f959,"Merriman, Henry Seton,",The phantom future,1888,m,,22.68088001814471
njp.32101042737872,"Oliphant,",Sir Tom,1893,f,high_female,22.666166447820924
uiuo.ark:/13960/t0bv8186f,"Craik, Georgiana M.",Dorcas,1879,f,high_female,22.665090903203875
njp.32101064382755,"Thomas, W. Moy",When the snow falls,1859,u,,22.6628895184136
uiuo.ark:/13960/t5k93js2k,"Ellis, Sarah Stickney,",Northern roses,1868,f,,22.65989387616368
mdp.39015008832415,"Foxall, Raymond.",The guinea-pigs : | Britain's first paratroop raid / | $c: by Raymond Foxall.,1983,m,high_male,22.65488612588121
uiuo.ark:/13960/t7vm4mt9r,"Fothergill, John M.",Gaythorne Hall,1884,m,mixed,22.64785815969975
nyp.33433074923354,"Halse, George.",Agatha,1861,m,,22.64556854530529
uc1.32106012468267,"Nafzāwī, ʻUmar ibn Muḥammad",The perfumed garden of sensual delight = | ar-rawd̲ al-ʻât̲ir fı̂ nuzhatiʼl khât̲ir / | $c: by Muhammad ibn Muhammad al-Nafzawi ; translated from the Arabic with a short introduction and notes by Jim Colville,1999,u,high_male,22.639160087160768
uiuo.ark:/13960/t8mc9kq64,"Fraser-Tytler, M. E.",Grisel Romney,1880,f,high_female,22.63664699019659
uiuo.ark:/13960/t3dz0v47h,"Phillpotts, Eden,",Some every-day folks,1894,m,,22.63357853043408
wu.89098525447,,"The Windmill ... Being a selection of essays, papers, stories and verses ...: | 1923-.",1923,u,,22.62571412410204
uiuo.ark:/13960/t78s50349,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,22.615054087671027
uiuo.ark:/13960/t2f76mn01,"Banks, G. Linnaeus",Sybilla and other stories,1884,f,,22.60490731987999
uc1.$b243522,"Maxwell, W. B. (William Babington),",The day's journey / | $c: by W. B. Maxwell.,1923,m,,22.600638033396795
uiuo.ark:/13960/t2w38cx1m,"Sewell, Elizabeth Missing,",Cleve Hall,1855,f,,22.60002332905634
nyp.33433066630538,"Surtees, Robert Smith,","Ask mamma; or, The richest commoner in England",1872,m,,22.599721270104336
uiuo.ark:/13960/t2f76q341,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,22.596924666157346
njp.32101047320898,"Read, John,",Cluster-o'-vive : | stories and studies of old-world Wessex / | $c: by John Read ; with 8 illustrations by W. Young.,1923,m,high_male,22.595125478263483
uiuo.ark:/13960/t40s0dc4n,"Scott, Walter,",St Ronan's well,1824,m,,22.58993618343028
mdp.39015032703897,,"T'ien wai yu t'ien : | Lun-tun Hua fen hsin hsieh tso hsüeh = Another province : new Chinese writing from London / | $c: selected by Jung Chang, Lynn Pan and Henry Zhao ;edited by Jessie Lim and Li Yan.",1994,u,,22.589445515995067
uc1.b3545676,,Transatlantic stories : | selected from the Transatlantic review / | $c: with an introduction by Ford Madox Ford.,1926,u,mixed,22.58695979521157
nyp.33433074877196,"Kingsley, Henry,",Mademoiselle Mathilde,1868,m,mixed,22.577731905560572
uiuo.ark:/13960/t78s5cv0s,"Winter, John Strange,",The soul of the bishop,1893,m,mixed,22.57183486445613
uiuo.ark:/13960/t8ff41p7s,"Aston, Claude.",They are only cousins,1855,m,high_female,22.56444970948271
mdp.39015030735487,"Beer, Patricia.",Moon's Ottery / | $c: Patricia Beer.,1978,f,,22.56091446906648
uiuo.ark:/13960/t3nw02j0g,"Mackay, Charles,","The twin soul; or, The strange experiences of Mr. Rameses",1887,m,high_male,22.550819883380044
mdp.39015015470480,,The Freezer counter : | stories by gay men / | $c: edited by David Rees and Peter Robins.,1989,u,high_male,22.548640639092906
uiuo.ark:/13960/t8v98nj98,"Laffan, De Courcy,",Bonnie Kate,1891,f,high_female,22.53876667868734
mdp.39015063536810,"Browne, Thos. Alex.",A modern buccaneer,1894,m,high_male,22.537981621300435
mdp.39015063548765,"Crockett, S. R.",The men of the Moss Hags,1895,m,,22.53233389914527
mdp.39015048877891,"Nelson, Michael.","Knock or ring, | a novel.",1957,m,high_male,22.529466170227906
uc2.ark:/13960/t07w68j53,"Fisher, William,",Ralph Rutherford,1851,m,,22.52717340291727
mdp.39015048900990,"Mackenzie, Compton, Sir,",The rival monster.,1952,m,,22.517873562139947
inu.32000001906819,"Sir, Herbert, A. P. (Alan Patrick),",The secret battle / | $c: A.P. Herbert ; with an introduction by Sir Winston Churchill.,1969,m,high_male,22.510042942235764
uc2.ark:/13960/t6d21zr72,"Roby, John,",Lancashire legends,1911,m,mixed,22.500869351770408
uiuo.ark:/13960/t6543cv5p,"Brookfield, Arthur Montagu,",The autobiography of Thomas Allen,1882,m,mixed,22.499948863752586
mdp.39015046486091,"Faulks, Sebastian.",Charlotte Gray / | $c: Sebastian Faulks.,1998,m,,22.498087662548684
uc2.ark:/13960/t0pr7pk1m,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,22.49212775528565
mdp.39015064466165,"Borrow, George Henry,",The Romany rye;,1858,m,mixed,22.48179463369337
uc2.ark:/13960/t3vt1nq85,"Whyte-Melville, G. J.",The White Rose,1868,m,,22.47407454971586
inu.32000006208294,"Bowen, Elizabeth,","The death of the heart, | $c: by Elizabeth Bowen.",1938,f,high_female,22.47374657786131
mdp.39015015472767,"Lady, Asquith, Cynthia,",The third ghost book.,1956,f,,22.469926410991004
mdp.39015059287832,"Litt, Toby,",Beatniks / | $c: Toby Litt.,2004,m,high_male,22.46617309165178
njp.32101068605839,"Wells, H. G.",Select conversations with an uncle,1895,m,high_male,22.45273698863892
uc2.ark:/13960/t55d8vt1g,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,,22.445495838723204
uc1.$b245247,"(Henry Major), Tomlinson, H. M.",All our yesterdays /,1930,m,high_male,22.44180432106742
mdp.39015030848900,"Bailey, Paul,",Trespasses.,1970,m,,22.43841456573654
mdp.39015030711090,"Redgrove, Peter.",The sleep of the great hypnotist : | the life and death and life after death of a modern magician / | $c: Peter Redgrove.,1979,m,,22.437036067535477
inu.39000005540112,"Lochhead, Marion.",Magic and witchcraft of the Borders / | $c: Marion Lochhead ; with vignettes by James Hutcheson.,1984,u,,22.43493867783428
mdp.39015053394576,"Leslie, David Stuart,",Two gentlemen sharing / | $c: David Stuart Leslie.,1963,m,,22.43334492389488
uiuo.ark:/13960/t66402f48,"Collins, Mabel,",Juliet's lovers,1893,f,high_female,22.43259006684912
mdp.39015032226253,"Cooper, Fiona,",A skyhook in the midnight sun / | $c: Fiona Cooper.,1994,f,high_female,22.429854135854825
mdp.39015030851821,"Blair, Anna.",A tree in the west / | $c: Anna Blair.,1976,f,mixed,22.42799013168434
uiuo.ark:/13960/t0000nf8b,"Lewis, Helen Prothero.",Hooks of steel,1894,f,,22.42705600035883
mdp.39015046831205,"(Charles Percy), Snow, C. P.",Death under sail.,1959,f,,22.424876663178352
uiuo.ark:/13960/t3fx7mp8w,"Curling, Henry,",Shakespeare,1848,m,high_male,22.423200538156813
mdp.49015001005249,"Snow, C. P. (Charles Percy),",Death under sail / | $c: C. P. Snow.,1961,m,,22.42320053815681
uc1.32106014582875,"Duncan, Glen",Hope / | $c: Glen Duncan,1997,m,high_female,22.42320053815681
uiuo.ark:/13960/t5v705989,"Hook, Theodore Edward,",The man of sorrow;,1808,m,mixed,22.41969672264797
mdp.39015047519601,"Petley, Dexter,",Joyride.,1999,m,,22.41886349549645
nyp.33433034410898,"Alexander,",Which shall it be?,1867,f,high_female,22.411474675033617
inu.30000078269457,"Hedges, Dick.",The Laura landing : | a book of the Turkana Trilogy / | $c: by Dick Hedges.,1999,m,high_female,22.40908314836947
uc2.ark:/13960/t9p26sg64,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,high_male,22.403106564110224
njp.32101068178886,"Hatton, Joseph,",A modern Ulysses,1883,m,mixed,22.394592723793235
uiuo.ark:/13960/t8hd8c284,"Marsh-Caldwell, Anne,",Emilia Wyndham,1846,f,high_female,22.391401701746535
njp.32101066122266,"Birmingham, George A.,",The bad times,1908,m,high_male,22.386389075442136
uiuo.ark:/13960/t45q58q09,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,22.385195923762417
mdp.39015078793414,"Brownjohn, Alan,",Windows on the moon / | $c: Alan Brownjohn.,2009,m,mixed,22.374367924106146
uc1.b3435538,"King, Francis Henry.","The Brighton Belle, | and other stories | $c: [by] Francis King.",1968,m,,22.3666242877996
mdp.39015017663942,,The Pied Piper : | lesbian feminist fiction / | $c: edited by Anna Livia and Lilian Mohin.,1989,u,high_female,22.359403101151997
mdp.39015016448824,"Bedford, John Harman.",Wanderings of Childe Harolde,1825,m,mixed,22.347478459513816
uc1.b4948515,"Braine, John.",The Two of us / | $c: John Braine.,1984,m,,22.34293614109564
uiuo.ark:/13960/t2891qf8p,"Lytton, Rosina Bulwer Lytton,","Miriam Sedley; or, The tares and the wheat",1851,f,,22.342144158388617
uc2.ark:/13960/t3cz34n1g,"Acorn, George.",The driving force,1915,m,,22.337904510314285
nyp.33433076087000,"Pope, Alexander,",The works of Alexander Pope,1824,m,mixed,22.32750259906085
uc1.32106015032573,"Newman, Jenny",Life class / | $c: Jenny Newman,1999,f,high_female,22.323504790252063
uc1.32106013465049,"Fox, Catherine,",The benefits of passion / | $c: Catherine Fox,1997,f,high_female,22.323146793934264
uc1.$b322695,"Bennett, Rolf.","Cranmer Paul, | $c: by Rolf Bennett.",1928,u,,22.322175965713136
mdp.39015004319417,"Lively, Penelope,","Nothing missing but the samovar, and other stories / | $c: [by] Penelope Lively.",1978,f,high_female,22.31408841076714
uiuo.ark:/13960/t1cj8t04w,"Hardinge, William Money,",Eugenia,1883,m,high_female,22.3139573803414
njp.32101067646024,"Hofland,",Tales of the manor,1822,f,high_female,22.309170785282813
inu.32000009258676,"Priestley, J. B. (John Boynton),",London end.,1968,m,mixed,22.301909160802637
njp.32101067708345,"Beresford Hope, A. J. B.",The Brandreths,1882,m,,22.300160155695664
mdp.39015030763299,"Middleton, Stanley,",Brazen prison.,1971,m,,22.296307306818427
uc1.32106013189789,"Byatt, A. S. (Antonia Susan),",The virgin in the garden / | $c: by A. S. Byatt.,1978,f,mixed,22.292060966601245
mdp.39015082675235,"Morecambe, Gary,",Dancing with angels / | $c: Gary Morecambe ; foreword by Angela Rippon.,2008,m,,22.276676319893067
uiuo.ark:/13960/t39z9t406,"Sime, William,",Haco the dreamer,1884,m,mixed,22.275187668456105
uc2.ark:/13960/t83j3fv43,"Reade, Compton,",Rose and Rue,1874,f,,22.262459556531805
uc1.$b312741,,WAAC : | the woman's story of the war / | $c: Anonymous.,1930,u,,22.25713537575281
uiuo.ark:/13960/t52f8c60j,"Newman, Mrs.",Jean,1875,f,high_female,22.25220088174346
mdp.39015032107131,"Tennant, Emma.",Woman beware woman / | $c: Emma Tennant.,1983,f,mixed,22.251537740197403
mdp.39015016446000,"Chapman, Hester W.,",Lucy.,1965,f,mixed,22.24326505710164
mdp.39015027213332,"Hanshew, Thomas W.,",Fate & the man,1910,m,high_female,22.238930836925103
uiuo.ark:/13960/t72v2t63s,"Barclay, Florence L.",Guy Mervyn;,1891,f,high_female,22.233091733736497
uc1.b3346162,"Atiyah, Edward,",The thin line / | $c: by Edward Atiyah.,1951,m,mixed,22.218382008047996
mdp.39015050608044,"Middleton, Stanley,",An after-dinner's sleep / | $c: Stanley Middleton.,1986,m,mixed,22.215726395790703
uiuo.ark:/13960/t9z03nd29,"Chalcraft, Harriette Amiel.",Lucy Aylmer,1857,f,high_female,22.20150082145553
uc2.ark:/13960/t9q23zk6q,"Montague, C. E.",A hind let loose,1910,u,,22.20040131494684
mdp.39015070219053,"Strong, L. A. G. (Leonard Alfred George),","The big man, | $c: by L. A. G. Strong.",1931,m,high_female,22.18770800976259
nyp.33433106908175,"Pilgrim, David, pseud.","No common glory, | $c: by David Philgrim.",1950,m,high_male,22.18729777202552
uc1.32106019365631,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,22.183879714074436
mdp.39015047748093,"Trollope, Anthony,",An old man's love,1884,m,,22.1837703536093
njp.32101067708303,"Berens, Louise.",A woman with a past. A novel,1886,f,high_female,22.181146025878004
uc2.ark:/13960/t84j0hc2v,"Whyte-Melville, G. J.",Uncle John,1874,m,,22.167542284586908
mdp.39015063511193,"Burr, Jane,",The passionate spectator,1920,f,,22.160255581614376
mdp.39015003928846,"Gerhardie, William Alexander,",Works.,1970,m,,22.157632000834163
uiuo.ark:/13960/t3jw90w6h,"Norris, W. E.",No new thing,1883,f,mixed,22.144355143352136
uc1.32106015082461,"Ovenden, Keith",Quick bright things / | $c: Keith Ovenden,2000,m,mixed,22.136312248495916
uva.x000491597,"Cookson, Sybil Irene Eleanor Taylor,",Echo,1919,f,,22.13578724346204
uc1.$b245044,"McIlwain, David,","Escapement, | $c: by Charles Eric Maine [pseud.]",1956,m,,22.13540225559749
uc1.b3810595,"Coggin, Joan.",'And why not knowing' / | $c: by Joan Coggin.,1929,f,high_female,22.134552035727776
njp.32101062932932,"Wedgwood, Julia,",Framleigh Hall,1858,f,,22.129365668241757
uiuo.ark:/13960/t1vd76p1j,"Fuller,",Crown-Harden,1873,f,,22.1245930655204
umn.31951002049311b,"Scott-Moncrieff, George,",Death's bright shadow.,1948,m,high_male,22.123660728395187
mdp.39015063961489,"Winter, John Strange,",The other man's wife,1892,m,,22.11876724737208
mdp.39015000609738,"Spark, Muriel.",Robinson : | a novel / | $c: by Muriel Spark.,1958,f,high_male,22.114458116795937
mdp.39015032971148,"Coyne, Kevin,",Show business / | $c: Kevin Coyne.,1993,m,mixed,22.11068609458951
uc1.b3321970,"Coleman, John,",The rival queens,1887,m,mixed,22.10867642723789
mdp.39015079334457,"Barnard, Robert.",The killings on Jubilee Terrace / | $c: Robert Barnard.,2009,m,mixed,22.104907289418243
nyp.33433074963822,"De La Pasture, Henry,",Cornelius,1903,f,high_female,22.10419284960939
nyp.33433074895081,"Marshall, Emma,","Violet Douglas; or, The problems of life",1868,f,,22.10122360410681
mdp.39015084104879,"Cain, Tom.",Assassin / | $c: Tom Cain.,2009,m,,22.100011050005513
mdp.39015014753852,"Weldon, Fay.",The cloning of Joanna May / | $c: Fay Weldon.,1989,f,high_female,22.099872205086815
mdp.39015004972470,"Maugham, W. Somerset (William Somerset),",Complete short stories.,1951,m,,22.093451423477195
uc1.$b252113,"Aickman, Robert.",Powers of darkness / | $c: Robert Aickman.,1966,m,mixed,22.08534759883193
mdp.39015015510384,"Leonard, Hugh.",Out after dark / | $c: Hugh Leonard.,1989,m,,22.080660653366746
mdp.39015048403920,"Campbell, Patrick,",The Campbell companion : | the best of Patrick Campbell / | $c: edited and introduced by Ulick O'Connor.,1987,m,mixed,22.07749199690915
mdp.39015018520398,"Moggach, Deborah.",Stolen.,1990,f,mixed,22.050213658966825
mdp.39015056468906,"Hong, Ying,",K : | the art of love / | $c: Hong Ying ; translated by Nicky Harman & Henry Zhao.,2002,u,high_male,22.04642718194787
mdp.39015029208397,"Hill, Susan,",The mist in the mirror / | $c: Susan Hill.,1992,f,,22.04099625303063
mdp.39015011559807,"Inchbald,",Nature and art,1893,f,,22.040248885272025
uc2.ark:/13960/t87h1h26q,"Sutherland, Joan,",The edge of empire,1916,f,,22.033338135471137
uc2.ark:/13960/t4hm55105,"Burgin, G. B.",More memoirs,1922,u,,22.03295826653801
mdp.39015045695718,"Chamberlain, Lesley.",In a place like that / | $c: Lesley Chamberlain.,1998,u,,22.03018134844737
mdp.39015032316997,"Hudson, Mark.",Coming back brockens : | a year in a mining village / | $c: Mark Hudson.,1994,m,,22.023105383705417
njp.32101063607202,"Lawrence, Charles Edward,",Mr. Ambrose,1922,m,mixed,22.021866417949113
uc2.ark:/13960/t3rv0mk5j,"Hobbes, John Oliver,",The tales of John Oliver Hobbes [i.e. P. Craigie],1894,f,high_female,22.021096210169336
mdp.39015063793528,,"Selected English short stories, XIX century (first series) | $c: with an introd. by Hugh Walker.",1956,u,,22.015117047038977
mdp.39015028485996,,Femmes de Sic̀le : | stories from the '90s : women writing at the end of two centuries / | $c: edited and introduced by Joan Smith.,1992,u,high_female,22.012693986865763
uc1.32106015856419,"Lloyd, Josie",The boy next door / | $c: Josie Lloyd & Emlyn Rees,2001,f,mixed,22.00834624207488
hvd.32044086803400,"Deacon, William Frederick,",The inn-keeper's album,1823,m,mixed,21.989999330739153
mdp.39015000543895,"Peake, Mervyn Laurence,","Letters from a lost uncle, | from polar regions. | $c: Written and illustrated by Mervyn Peake.",1948,m,high_male,21.987686895338612
njp.32101068602075,"Reade, Charles,",The autobiography of a thief,1890,m,high_male,21.98768689533861
mdp.39015084102626,"Thornton, Rosy.",Crossed wires / | $c: Rosy Thornton.,2009,f,high_female,21.983543747252064
mdp.39015013294858,"Sergeant, Harriet.",Between the lines : | conversations in South Africa.,1984,f,,21.983083493844735
njp.32101066457647,"Combe, William,",Letters between Amelia in London and her mother in the country,1824,m,high_female,21.978021978021975
uc1.$b242900,"Frankau, Pamela,",The winged horse / | $c: by Pamela Frankau.,1953,f,mixed,21.96985060501588
nyp.33433067352884,"Watson, E. H. Lacon",A conversational tour in America,1914,u,,21.961932650073205
mdp.39015004734599,"Defoe, Daniel,",Moll Flanders / | $c: Daniel Defoe.,1942,m,,21.95389681668496
njp.32101067643948,"Fendall, Percy.",Spiders and flies,1886,m,high_female,21.953361303541808
nyp.33433074928908,"Bennett, Arnold,",Anna of the five towns,1902,m,high_female,21.95293291183702
mdp.49015001218206,"Wyndham, John,",Trouble with lichen | $c: [by] John Wyndham.,1965,m,high_female,21.951754920851727
njp.32101066597434,"Baring-Gould, S.",Arminell,1890,m,,21.948045840061457
mdp.39015059551708,"Matthews, Beryl.",A change of fortune / | $c: Beryl Matthews.,2004,f,high_female,21.9469907017916
inu.39000001640825,"Doyle, Arthur Conan, Sir,",Tales of adventure and medical life / | $c: A. Conan Doyle.,1920,m,,21.945331740264812
mdp.39015047518207,"Jenkins, Janette.",Columbus Day / | $c: Janette Jenkins.,1999,f,high_female,21.94451502621792
mdp.39015080846713,,Tell-tales 4 : | [the global village] / | $c: edited by Courttia Newland and Monique Roffey.,2009,u,,21.928488761649508
mdp.39015079259639,"Butters, Roger.","All wind and Pistol : | first volume of the memoirs of Ancient Pistol, secret agent / | $c: Roger Butters.",2008,m,mixed,21.92715312461932
mdp.39015030701125,"Kersh, Gerald,",Sad road to the sea; | a collection of stories.,1947,m,,21.914606084955626
uiuo.ark:/13960/t4vh6632w,,"Substance and shadow; or, The fisherman's daughters of brighten",1812,u,high_female,21.906815325546805
mdp.39015011039826,"Khan, Ismith.",The obeah man.,1964,u,high_male,21.902136102450463
hvd.hwaduj,"Scott, Walter,",The Waverley novels,1829,m,high_male,21.901007446342533
uiuo.ark:/13960/t4zg7838k,"Robinson, F. W.",Woodleigh,1859,m,,21.89749054758325
uiuo.ark:/13960/t83j40d0b,"Martin, Herbert,",Britomart,1893,f,high_female,21.896611499370472
uiuo.ark:/13960/t9d51962g,"Tabor, Eliza.",A double wedding,1888,f,,21.895776105736697
uiuo.ark:/13960/t5gb2cd8h,"Chandler, W. A.",Thrice,1876,u,mixed,21.894081300021895
mdp.39015030746484,"Cunninghame Graham, R. B.",Scottish stories,1914,m,,21.887933779051256
inu.30000007706124,,They made their name.,1968,u,high_male,21.884574501344332
uiuo.ark:/13960/t9183zd5v,,Tales of my landlord,1820,m,high_male,21.88331145002188
mdp.39015059168834,"Murray, John,",Murphy's favourite channels / | $c: John Murray.,2004,m,mixed,21.877787314249176
uiuo.ark:/13960/t4cn7cf97,"Baldwin, Alfred,",Richard Dare,1894,f,,21.87602543869244
uc2.ark:/13960/t53f4p91w,"Macdonald, Robert M.",The moon god's secret,1910,m,high_male,21.875815932650713
mdp.39015030715430,"Vansittart, Peter.",Landlord: | a novel.,1970,m,,21.874316427611635
uiuo.ark:/13960/t6640d648,"Merriman, Henry Seton,",With edged tools,1894,m,,21.866526720895653
mdp.39015060665109,"Mosley, Nicholas,",Look at the dark / | $c: Nicholas Mosley.,2005,m,high_female,21.863598475014005
inu.30000054117191,"Sewell, Elizabeth Missing,",Ivors,1856,f,high_female,21.863473189034412
njp.32101068163664,,"Frascati's, or, Scenes in Paris",1830,m,mixed,21.85271271629219
uc1.$b243502,"Meyerstein, Edward Harry William,",Phoebe Thirsk.,1953,m,mixed,21.849008783301528
inu.30000107641973,"Baker, Carleen.",Hate loves games / | $c: Carleen Baker.,2006,f,high_female,21.847649060551092
uc1.32106017817120,,The Heinemann book of contemporary African short stories / | $c: edited by Chinua Achebe and C.L. Innes.,1992,u,,21.84108883575501
inu.32000001881533,"Powys, Theodore Francis,",Make thyself many / | $c: T.F. Powys.,1935,m,mixed,21.838829438742085
mdp.39015034316854,"Dilke, Caroline,",The sly servant / | $c: [by] Caroline Dilke.,1975,f,high_female,21.836445026749647
mdp.39015029226167,,The Heinemann book of contemporary African short stories / | $c: edited by Chinua Achebe and C.L. Innes.,1992,u,,21.835315750158017
uc2.ark:/13960/t3319vb1m,"Bradby, G. F.",The Lanchester tradition,1913,u,high_male,21.83310772455351
uiuo.ark:/13960/t22b9kw0h,"Alexander,",Found wanting,1893,f,mixed,21.83128058653374
nyp.33433008143889,"Hall, S. C.,",Boons and blessings,1875,f,high_female,21.82790515775209
uiuo.ark:/13960/t3029dx0s,"Warden, Florence,",St. Cuthbert's Tower,1889,f,,21.825996440683657
uiuo.ark:/13960/t2988m284,"Ellis, Sarah Stickney,",Northern roses,1868,f,,21.82175265043371
uc2.ark:/13960/t9n30638w,"Nevinson, Henry Woodd,",Neighbors of ours;,1895,m,high_female,21.819504212376508
uc2.ark:/13960/t92808z2g,"O'Brien, Georgina.",A twentieth-century hero,1913,f,high_female,21.817388458601503
mdp.39015051280942,"Hornby, Nick.",How to be good / | $c: Nick Hornby.,2001,m,,21.815215638664156
uiuo.ark:/13960/t5q82059s,"Eliot, George,",Scenes of clerical life,1899,f,high_female,21.81500872600349
mdp.39015021828648,,"Lean tales : | James Kelman, Agnes Owens, Alasdair Gray.",1985,u,mixed,21.81334322204892
mdp.39015049980827,"Thorpe, Adam,",Shifts / | $c: Adam Thorpe.,2000,m,,21.812629512487725
uiuo.ark:/13960/t4fn1t76t,"Speight, T. W.",A secret of the sea,1876,m,mixed,21.808055560215394
njp.32101068971637,"King, Katherine Douglas.",The child who will never grow old,1898,f,mixed,21.804966686856453
uiuo.ark:/13960/t1rf63v03,"Field, Julian Osgood,",Little hand and muckle gold,1889,m,high_female,21.80133533178907
