htid,author,title,year,authgender,period,diff
mdp.39015030746641,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,1851-1900,-0.49505181677464255
mdp.39015005604429,"Collins, Wilkie,",Poor Miss Finch,1872,m,1851-1900,-0.49481789864598796
nyp.33433082521190,"Charlesworth, Maria Louisa,",Ministering children,1855,f,1851-1900,-0.49296031350666897
uc2.ark:/13960/t1pg1k841,"Oliphant,",Harry Muir,1853,f,1851-1900,-0.4912043872555716
uiuo.ark:/13960/t09w0rn24,,Clara Harrington,1852,u,1851-1900,-0.48560737233019835
nyp.33433074952213,"Curling, Henry,",The Hall of Chavenlay;,1852,m,1851-1900,-0.48560737233019824
uiuo.ark:/13960/t85h8377h,"Norris, W. E.",A bachelor's blunder,1886,f,1851-1900,-0.48203594375876985
uiuo.ark:/13960/t7dr3bj5w,"Cooper, Katherine,",The High Mills,1875,f,1851-1900,-0.4815751142656822
dul1.ark:/13960/t3ws9fc67,"Wood, Henry,",A life's secret,1867,f,1851-1900,-0.48017258972150284
nyp.33433074876735,"Kettle, Rosa Mackenzie,",Lewell pastures,1854,f,1851-1900,-0.47789132294748216
uiuo.ark:/13960/t83j40d0b,"Martin, Herbert,",Britomart,1893,f,1851-1900,-0.47727403899686505
njp.32101063882656,"Norris, W. E.",Adrian Vidal,1885,f,1851-1900,-0.47658675377349696
uc2.ark:/13960/t2n58f90d,,Dorothy,1880,u,1851-1900,-0.46775022947305556
uiuo.ark:/13960/t0ht3636k,"Mills, John,",Too fast to last,1881,m,1851-1900,-0.46775022947305545
uiuo.ark:/13960/t6f197g9r,"Cameron, H. Lovett,",Pure gold,1884,f,1851-1900,-0.46209252084504976
uiuo.ark:/13960/t4nk4176m,"MacDonald, George,",Wilfrid Cumbermede,1872,m,1851-1900,-0.46135364098691484
njp.32101066455054,"Blinkhoolie,",Blair Athol,1881,u,1851-1900,-0.4594445816325239
uiuo.ark:/13960/t7gq7hd6f,"Phillpotts, Mary Charlotte.",Janet's choice,1872,f,1851-1900,-0.45909222081504675
dul1.ark:/13960/t74t7bp9b,"Besant, Walter,",The revolt of man,1896,m,1851-1900,-0.4585605887044676
uc1.b3322306,"Banks, G. Linnaeus",In his own hand,1885,f,1851-1900,-0.45745421917704515
uiuo.ark:/13960/t6qz2rm4g,"Marsh-Caldwell, Anne,","Time, the avenger",1851,f,1851-1900,-0.45676121848404455
njp.32101063882664,"Norris, W. E.",Adrian Vidal,1885,f,1851-1900,-0.45645717470173974
uiuo.ark:/13960/t00z7qb46,"Braddon, M. E.",A strange world,1875,f,1851-1900,-0.45516695782242644
uc2.ark:/13960/t53f4rq4j,"Gilbert, William,","The landlord of 'The Sun,'",1871,m,1851-1900,-0.453980866306102
uc1.b3322521,"Gladstone, Alfred.",The man of the hour,1863,m,1851-1900,-0.45187721360003963
uiuo.ark:/13960/t6g16g55v,"Clifford, W. K.,",Aunt Anne,1892,f,1851-1900,-0.45118708247512584
uiuo.ark:/13960/t3rv17w9b,"Collins, Wilkie,",Man and wife,1870,m,1851-1900,-0.4508440587207311
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,1851-1900,-0.44946556754198463
uiuo.ark:/13960/t3tt5933r,"Austin, Alfred,",Jessie's expiation,1867,m,1851-1900,-0.4493170497495532
uc1.b3321919,"Besant, Walter,",The chaplain of the fleet,1881,m,1851-1900,-0.44800574631393825
uiuo.ark:/13960/t39z9tm0g,"Yates, Edmund Hodgson,",The yellow flag,1872,m,1851-1900,-0.44781667465577984
uc2.ark:/13960/t7tm78v6f,"Ainsworth, William Harrison,",The miser's daughter,1872,m,1851-1900,-0.44710927347088264
uiuo.ark:/13960/t9k36dp56,"Robinson, F. W.",Woodleigh,1859,m,1851-1900,-0.4469710086938349
uc1.b3321920,"Besant, Walter,",The chaplain of the fleet,1881,m,1851-1900,-0.44555882864087815
uiuo.ark:/13960/t8gf1c956,"Norris, W. E.",A bachelor's blunder,1886,f,1851-1900,-0.44546975765129926
uc2.ark:/13960/t6pz56n1p,"Mayo, Isabella Fyvie,",The occupations of a retired lfe,1869,f,1851-1900,-0.44206804648750175
uva.x030592837,"Ross, Miriam.",Against tide,1871,f,1851-1900,-0.44177620349902946
mdp.39015063930971,"Hodgetts, J. Frederick.","Richard IV, Plantagenet",1888,m,1851-1900,-0.44012391177040194
nyp.33433034410393,"Linskill, Mary,",Between the heather and the northern sea,1890,f,1851-1900,-0.4390745256148699
uiuo.ark:/13960/t6vx0x60c,"Monro, Theodore Russell.","Love lost, but honour won;",1878,m,1851-1900,-0.4385643615775102
nyp.33433008143475,"Stretton, Hesba,",Nelly's dark days,1870,m,1851-1900,-0.43819357922675006
uiuo.ark:/13960/t0gt63p4t,"Jeaffreson, John Cordy,",Miriam Copley,1859,m,1851-1900,-0.43819357922674995
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,1851-1900,-0.4378800996029256
uc2.ark:/13960/t6sx65p3n,"Marsh, John B.,",The life and adventures of Robin Hood,1865,m,1851-1900,-0.43732217377424176
uiuo.ark:/13960/t5cc1cg2j,"Erroll, Henry.",The academician,1888,m,1851-1900,-0.43713798457509634
uiuo.ark:/13960/t5h99sh0k,"Walford, Lucy Bethia,",Troublesome daughters,1880,f,1851-1900,-0.43669432885193754
mdp.39015063946381,"Phillpotts, Eden,",Lying prophets,1892,m,1851-1900,-0.4366943288519375
mdp.39015030746633,"Goldsmith, Oliver,",The vicar of Wakefield,1885,m,1851-1900,-0.43520873907279534
uiuo.ark:/13960/t3st8845k,"Wood, Henry,","Lady Grace, and other stories",1887,f,1851-1900,-0.43472797534527363
nyp.33433034410674,"Parr, Louisa,",Adam and Eve,1881,f,1851-1900,-0.43444156922139004
uc2.ark:/13960/t0ht2hz9k,,Episodes in an obscure life,1871,u,1851-1900,-0.433524038996865
uiuo.ark:/13960/t1vd7gc5r,"Speight, T. W.",A secret of the sea,1876,m,1851-1900,-0.43318801749148855
uc1.b3321304,"Crake, A. D.",The last abbot of Glastonbury,1886,u,1851-1900,-0.43282959455242065
nyp.33433075959621,"Robinson, F. W.","Memoirs of Jane Cameron, female convict",1864,m,1851-1900,-0.4328295945524204
uiuo.ark:/13960/t5t732x5h,"Yates, Edmund Hodgson,",The forlorn hope,1867,m,1851-1900,-0.43259690112600996
uiuo.ark:/13960/t44q86m8t,"Christie, Mary Elizabeth,",Lady Laura,1880,f,1851-1900,-0.43112019284301895
uc2.ark:/13960/t5q81cb58,"Gissing, George,",Human odds and ends,1898,m,1851-1900,-0.4295728895715777
uc2.ark:/13960/t04x5ms7c,"Norway, Arthur H.",The government official,1887,f,1851-1900,-0.42926022207113096
uiuo.ark:/13960/t87h28b78,"Pemberton, T. Edgar",A very old question,1877,m,1851-1900,-0.42878919051201686
uiuo.ark:/13960/t1gh9rg2b,"Alford, Elizabeth M.",Netherton-on-Sea,1869,f,1851-1900,-0.42878919051201664
uiuo.ark:/13960/t1hh6x83c,"Grey, Elizabeth Caroline.",Mary Seaham. A novel,1852,f,1851-1900,-0.4287891905120166
uiuo.ark:/13960/t1fj2sc4r,"Crommelin, May.",Bay Ronald,1893,f,1851-1900,-0.4287891905120166
uiuo.ark:/13960/t2j684v7n,"Dickens, Charles,",Great expectations,1861,m,1851-1900,-0.42878919051201636
uiuo.ark:/13960/t9280wk8w,"Neville, Mary.","Arthur, or, A knight of our own day",1876,f,1851-1900,-0.42768054306190584
uiuo.ark:/13960/t8gf1c96p,"Murray, David Christie,",A rising star,1894,m,1851-1900,-0.4269339029424435
inu.30000054077429,"Wood, Henry,",Edina: a novel,1876,f,1851-1900,-0.425824763634546
uc1.b3322305,"Banks, G. Linnaeus",In his own hand,1885,f,1851-1900,-0.42521411390323194
uc2.ark:/13960/t6qz24h2q,"Macquoid, Katharine S.",Doris Barugh,1878,f,1851-1900,-0.42489308661591263
uva.x004061217,"Marshall, Emma,",The white king's daughter;,1895,f,1851-1900,-0.42489308661591263
uiuo.ark:/13960/t79s28n4z,,Lynton Abbott's children,1879,u,1851-1900,-0.4201311818540079
uiuo.ark:/13960/t0ft9464s,"Mexborough, Elizabeth (Stephenson),",Drifted together,1879,f,1851-1900,-0.41976767767370976
uc2.ark:/13960/t9862t682,"Pease, Howard,",Tales of Northumbria,1899,m,1851-1900,-0.41935054172910574
uc1.$b372446,"Jefferies, Richard,","After London, or, Wild England",1886,m,1851-1900,-0.4193322045449638
uiuo.ark:/13960/t3st7vh4p,"Blake, Louise Pilkington,",Mrs. Grey's reminiscences,1878,f,1851-1900,-0.41882655041239014
nyp.33433088074723,"Hall, S. C.,",The prince of the Fair family,1867,f,1851-1900,-0.41829968002250606
uiuo.ark:/13960/t8v98p59r,"St. Aubyn, Alan.",In the face of the world,1894,f,1851-1900,-0.41657752158392986
uiuo.ark:/13960/t2z32j87d,"Collins, Wilkie,",The moonstone,1868,m,1851-1900,-0.41616292788575393
nyp.33433074855069,"Gallichan, Walter M.",Like stars that fall,1895,m,1851-1900,-0.41569211809290996
uiuo.ark:/13960/t24b3pz7c,"Robinson, F. W.",The man she cared for,1884,m,1851-1900,-0.41495519841715506
inu.30000054077437,"Wood, Henry,",Edina: a novel,1876,f,1851-1900,-0.4141788009016272
nyp.33433074868278,"Hocking, Joseph,",Fields of fair renown,1896,m,1851-1900,-0.41395465266492654
uc1.b3322035,"Erroll, Henry.",By woman's favour,1890,m,1851-1900,-0.41342427373864926
mdp.39015070494359,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,1851-1900,-0.4131551430308352
uiuo.ark:/13960/t8df71192,"Lyall, Edna,",To right the wrong,1894,f,1851-1900,-0.4114372478488706
uiuo.ark:/13960/t3417br2t,"Gibbon, Charles,",In honour bound,1874,m,1851-1900,-0.41060737233019856
uiuo.ark:/13960/t6j10p387,"Norway, Arthur H.",The government official,1887,f,1851-1900,-0.41060737233019845
uiuo.ark:/13960/t1dj5z849,"Macquoid, Katharine S.",Appledore farm,1894,f,1851-1900,-0.41060737233019845
uc2.ark:/13960/t3xs5xp5c,"Pearse, Mark Guy,",Gold and incense,1895,m,1851-1900,-0.41060737233019845
uiuo.ark:/13960/t6f19ht3n,"Norris, W. E.",The dancer in yellow,1896,f,1851-1900,-0.41060737233019834
uiuo.ark:/13960/t41r7g420,"Tucker, Marwood,",Michael Tresidder,1872,m,1851-1900,-0.41060737233019795
inu.30000005072487,"Rice, James,","The Cambridge freshman, or, Memoirs of Mr. Golightly",1878,m,1851-1900,-0.40984979657262244
uiuo.ark:/13960/t5x63zk3d,"Hatton, Joseph,",Three recruits and the girls they left behind them,1880,m,1851-1900,-0.40905698473329916
mdp.39015068379133,"Forfar, William Bentinck,",Kynance cover,1865,m,1851-1900,-0.40885298636528616
uiuo.ark:/13960/t67371w1v,"Beaton, Patrick.",Marion Leslie,1863,m,1851-1900,-0.40836018131896235
nyp.33433074859913,"Gull, Cyril Arthur Edward Ranger,",The hypocrite,1898,m,1851-1900,-0.40781016953299554
uiuo.ark:/13960/t8rb7pw6r,"Strange, Calthorpe.",Two worlds of fashion,1872,u,1851-1900,-0.407217541821724
uiuo.ark:/13960/t3514n62j,"Oliphant,",The second son,1888,f,1851-1900,-0.40721754182172376
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,1851-1900,-0.40709860040037393
njp.32101076045705,"Collins, Wilkie,",The woman in white,1860,m,1851-1900,-0.4070145579589409
nyp.33433074936299,"Barnard, Frederick,",Behind a brass knocker;,1883,m,1851-1900,-0.40606191778474365
nyp.33433074873336,"Knowles, James Sheridan,",George Lovell,1852,m,1851-1900,-0.4054791672019933
uiuo.ark:/13960/t08w42j74,"Price, Eleanor C.",Gerald,1885,f,1851-1900,-0.4051279202754038
uc2.ark:/13960/t7sn0686c,"Gorrie, Daniel.","Geordie Purdie in London, or, The adventures of a Fifeshireman in the metropolis",1875,m,1851-1900,-0.40445352617635216
uiuo.ark:/13960/t0cv54b6r,"Riddell, J. H.,",The head of the firm,1892,f,1851-1900,-0.4043573723301984
uiuo.ark:/13960/t9v12jj5b,"Stuart, Esmè,",A mine of wealth,1896,u,1851-1900,-0.4032902991594667
uiuo.ark:/13960/t4hm5r63w,"Marryat, Florence,",The Hampstead mystery,1894,f,1851-1900,-0.40281516453799054
uiuo.ark:/13960/t6g16n64w,"Tottenham, G. L.","Harry Egerton, or, The younger son of the day",1869,u,1851-1900,-0.40255368105503053
uiuo.ark:/13960/t23b6k457,"Macquoid, Katharine S.",Appledore farm,1894,f,1851-1900,-0.4022740389968651
uc2.ark:/13960/t2b85575q,"Oliphant,",Harry Muir,1853,f,1851-1900,-0.40165214844960145
mdp.39015016922042,"Stoker, Bram,",Miss Betty,1898,m,1851-1900,-0.40151646323928913
uc2.ark:/13960/t2h70c474,"Friswell, J. Hain",Diamonds and spades;,1858,m,1851-1900,-0.4011479128707388
uc2.ark:/13960/t53f4r152,"Craik, Dinah Maria Mulock,",The head of the family,1852,f,1851-1900,-0.40060737233019844
uiuo.ark:/13960/t5m90sg4k,"Oliphant,",Harry Muir,1853,f,1851-1900,-0.39933976669639554
njp.32101068166188,"Chetwynd, Henry Wayland,",Criss-cross lovers,1890,f,1851-1900,-0.39906891079173684
uiuo.ark:/13960/t5x645x9n,"Ainsworth, William Harrison,",The leaguer of Lathom,1876,m,1851-1900,-0.3989671606899866
uiuo.ark:/13960/t2w38d85f,"Sturgis, Julian,",Comedy of a country house,1889,m,1851-1900,-0.39848616020898636
uiuo.ark:/13960/t7vm4wr4r,,"Tendring cottage, or, The rainbow at night",1853,u,1851-1900,-0.39848616020898625
inu.32000001359217,"Blackmore, R. D.",Christowell,1882,m,1851-1900,-0.39821799179922496
uiuo.ark:/13960/t7hq4m576,"Walford, Lucy Bethia,",Troublesome daughters,1880,f,1851-1900,-0.3981073723301982
uc2.ark:/13960/t4xg9tm3z,"Rutherford, Mark,",Clara Hopgood,1896,m,1851-1900,-0.3979376890722799
uiuo.ark:/13960/t8ff45v3r,"Hardinge, William M.",The willow-garth,1886,m,1851-1900,-0.39737207821255155
uiuo.ark:/13960/t49p3q355,"Sergeant, Adeline,",Seventy times seven,1888,f,1851-1900,-0.397274038996865
uiuo.ark:/13960/t7sn0fs60,"Banks, G. Linnaeus","Wooers and winners, or, Under the scars",1880,f,1851-1900,-0.39632165804448416
uiuo.ark:/13960/t4th95x1k,"Wood, Kate,",Sir Cyrus of Stonycleft,1867,f,1851-1900,-0.39632165804448405
nyp.33433082167689,"Dickens, Charles,",The life and adventures of Nicholas Nickleby,1866,m,1851-1900,-0.3960324735447732
nyp.33433074946918,"Cobb, Thomas,",Carpet courtship;,1898,m,1851-1900,-0.39522275694558273
uc1.b3321907,"Bengough, M. A.",So near akin,1891,f,1851-1900,-0.3943911561139821
uiuo.ark:/13960/t2z32fd9x,"Riddell, J. H.,",Austin Friars ;,1870,f,1851-1900,-0.3939407056635317
uiuo.ark:/13960/t8v98sn3c,"Tinsley, Lily.",In the ring,1886,f,1851-1900,-0.3939407056635317
dul1.ark:/13960/t3611qf54,"Farningham, Marianne,",Nineteen hundred?,1892,f,1851-1900,-0.3935985746762395
uiuo.ark:/13960/t3223jg3d,"Smart, Hawley,",Bound to win,1877,m,1851-1900,-0.3935531087643068
uc1.b3327451,"Whyte-Melville, G. J.",Kate Coventry,1856,m,1851-1900,-0.39321606798237235
uiuo.ark:/13960/t2p56366c,"McDonnel, Emily Fanny Dorothy Osborn,",Peccavi,1888,f,1851-1900,-0.39321606798237235
uc2.ark:/13960/t5r788w3v,"Corelli, Marie,",Jane,1897,f,1851-1900,-0.39321606798237224
mdp.39015078569764,"Ross, Joseph Carne-","Quintura, its singular people and remarkable customs;",1886,m,1851-1900,-0.39242555414838026
uiuo.ark:/13960/t79s28b7c,"Tytler, Sarah,",Saint Mung's city,1884,f,1851-1900,-0.39221656773249736
nyp.33433082246368,"Dickens, Charles,",Barnaby Rudge,1866,m,1851-1900,-0.39221656773249725
uiuo.ark:/13960/t04x5t50d,"MacDonald, George,",The vicar's daughter,1872,m,1851-1900,-0.39109517720824716
uiuo.ark:/13960/t21c2ns49,"Farjeon, B. L.",Aaron the Jew,1894,m,1851-1900,-0.3900191370360807
uiuo.ark:/13960/t0ms49j16,"Oliphant,",A poor gentleman,1889,f,1851-1900,-0.38838515010797625
uiuo.ark:/13960/t9x06nx3b,"Norris, W. E.",Marcia,1890,f,1851-1900,-0.38838515010797625
uiuo.ark:/13960/t58d0ds3h,"Knight, Legh.",Tonic bitters,1868,u,1851-1900,-0.38838515010797614
dul1.ark:/13960/t3805sd6s,"Morris, William,",A dream of John Ball and A king's lesson,1888,m,1851-1900,-0.38838515010797603
uiuo.ark:/13960/t70v90t6d,"Martin, Herbert,",Britomart,1893,f,1851-1900,-0.38838515010797603
uiuo.ark:/13960/t2891sd44,Rita.,The laird o' Cockpen,1891,u,1851-1900,-0.38838515010797603
uiuo.ark:/13960/t0dv25c97,"Riddell, J. H.,",Austin Friars ;,1870,f,1851-1900,-0.38730640145641204
uiuo.ark:/13960/t5h99ss05,"Dutton, Ralph,",Woman's temptation,1860,f,1851-1900,-0.38672677531527305
uiuo.ark:/13960/t71v60g1p,"Conway, Hugh,",Bound together,1884,m,1851-1900,-0.38672677531527294
uiuo.ark:/13960/t7rn3hh5k,"Black, Clementina.",Orlando,1880,f,1851-1900,-0.38588827120660285
uc2.ark:/13960/t95719w6w,,Episodes in an obscure life,1871,u,1851-1900,-0.38588827120660285
njp.32101066455062,"Blinkhoolie,",Blair Athol,1881,u,1851-1900,-0.38560737233019854
mdp.39015063761186,"Black, William,",Macleod of Dare,1878,m,1851-1900,-0.38560737233019815
uiuo.ark:/13960/t60586r2h,"Reade, Charles,",A terrible temptation,1871,m,1851-1900,-0.3852552596541421
uiuo.ark:/13960/t3nw02p9m,"Ponsonby, Emily,",The young Lord,1856,f,1851-1900,-0.384192277990576
uiuo.ark:/13960/t1bk1n75t,"Besant, Walter,",The chaplain of the fleet,1881,m,1851-1900,-0.3840880353136238
uiuo.ark:/13960/t40s0229w,"Caine, Hall,",A son of Hagar,1887,m,1851-1900,-0.3839407056635319
njp.32101067644656,"Fletcher, J. S.",When Charles the First was king,1892,m,1851-1900,-0.38388672455691886
nyp.33433075909915,"Borrow, George Henry,",Wild Wales,1862,m,1851-1900,-0.38376427214116254
uc1.b3324226,"Ouida,",An altruist,1897,f,1851-1900,-0.3833346450574713
uiuo.ark:/13960/t1vd7gd2r,"Tabor, Eliza.",Hope Meredith,1874,f,1851-1900,-0.38288460005297065
uiuo.ark:/13960/t9d50z50j,"Christie, Mary Elizabeth,",Lady Laura,1880,f,1851-1900,-0.38275927106437574
uiuo.ark:/13960/t8hd8h940,"Wills, W. G.",Notice to quit,1861,m,1851-1900,-0.38253719689160176
njp.32101075688984,"Defoe, Daniel,",Romances and narratives,1899,m,1851-1900,-0.38239160469534345
nyp.33433074902929,"Maitland, Agnes C.",Elsie,1875,f,1851-1900,-0.3820359437587698
uiuo.ark:/13960/t76t11v96,"Fothergill, Caroline.",Put to the proof,1883,f,1851-1900,-0.3820359437587698
nyp.33433074944657,"Corkran, Alice,",Bessie Lang,1876,f,1851-1900,-0.38203594375876976
mdp.39015067207459,"Snowden, Keighley,",Tales of the Yorkshire wolds,1893,u,1851-1900,-0.38144070566353194
uiuo.ark:/13960/t9d515817,"Macquoid, Katharine S.",Appledore farm,1894,f,1851-1900,-0.38072231485893393
uiuo.ark:/13960/t0qr5gb7f,"Tabor, Eliza.",Rachel's secret,1866,f,1851-1900,-0.37983814156096773
uiuo.ark:/13960/t17m0sf8n,"Marryat, Florence,",The Hampstead mystery,1894,f,1851-1900,-0.3798381415609675
nyp.33433074936968,"Barrie, J. M.",Better dead,1888,m,1851-1900,-0.3798381415609675
uiuo.ark:/13960/t7hq4g15s,"McCarthy, Justin H.",A London legend,1895,m,1851-1900,-0.37942457663127366
uiuo.ark:/13960/t1fj33j7j,"Oliphant,",Kirsteen,1890,f,1851-1900,-0.37931485532339576
uiuo.ark:/13960/t0qr5b57j,"Leys, John K.",The Lindsays,1888,m,1851-1900,-0.37926408874810885
uiuo.ark:/13960/t1cj9370s,"Blackmore, R. D.",Clara Vaughan,1864,m,1851-1900,-0.3782130061330151
mdp.39015047747947,"Trollope, Anthony,",An old man's love,1884,m,1851-1900,-0.3780492327953149
nyp.33433074856646,"Gilbert, William,"," Them boots,",1877,m,1851-1900,-0.37727403899686496
uiuo.ark:/13960/t7rn3k14n,"Hardy, Duffus,",Madge,1878,m,1851-1900,-0.37656481913870915
uiuo.ark:/13960/t1pg29s78,"Panton, J. E.",Having and holding,1890,f,1851-1900,-0.3757588874817137
njp.32101068175320,"Caine, Hall,",The Christian;,1897,m,1851-1900,-0.37558433085554405
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,1851-1900,-0.37558433085554405
uiuo.ark:/13960/t9g45bv5n,"Reade, Charles,",A terrible temptation,1871,m,1851-1900,-0.37531325468313964
uiuo.ark:/13960/t52f8dw6t,"Colmore, G.",A daughter of music,1894,u,1851-1900,-0.3753132546831396
uiuo.ark:/13960/t9r21mm8j,"Yates, Edmund Hodgson,",The forlorn hope,1867,m,1851-1900,-0.3753132546831396
uiuo.ark:/13960/t2q53671t,"Payn, James,",Halves,1876,m,1851-1900,-0.374243735966562
uiuo.ark:/13960/t3zs3358q,"Curtois, Margaret Anne.",Tracked,1888,f,1851-1900,-0.37376526706704055
uiuo.ark:/13960/t9w09r522,"Austin, Alfred,",Jessie's expiation,1867,m,1851-1900,-0.37310737233019825
uiuo.ark:/13960/t5k93v851,"Viles, Edward.",Black Bess;,1866,m,1851-1900,-0.3729262129099087
uc1.b3579136,"Broughton, Rhoda,",Doctor Cupid,1889,f,1851-1900,-0.3725121342349602
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,1851-1900,-0.37222353394636004
uiuo.ark:/13960/t5m90w577,"Viles, Edward.",Blueskin,1866,m,1851-1900,-0.3720452808269301
dul1.ark:/13960/t3xs69d09,"Macquoid, Katharine S.",In the sweet spring-time,1880,f,1851-1900,-0.37147693754758965
uiuo.ark:/13960/t4fn1pb13,"Tytler, Sarah,",Lady Bell,1873,f,1851-1900,-0.3706073723301986
uiuo.ark:/13960/t81j9st2g,"Greville, Violet,",Creatures of clay,1885,f,1851-1900,-0.37060737233019836
uiuo.ark:/13960/t5gb2c36h,"Banks, G. Linnaeus",Forbidden to marry,1883,f,1851-1900,-0.37060737233019814
nyp.33433081593695,"Pain, Barry,",Wilmay and other stories of women,1898,m,1851-1900,-0.37022275694558293
uiuo.ark:/13960/t6d22k211,"Norris, W. E.",Miss Wentworth's idea,1891,f,1851-1900,-0.36922806198537084
uc1.b3339452,"Hogg, James,","The tales of James Hogg, the Ettrick shepherd",1886,m,1851-1900,-0.3692280619853707
uiuo.ark:/13960/t0tq6k46g,"Walford, Lucy Bethia,",Troublesome daughters,1880,f,1851-1900,-0.3681831299059559
nyp.33433034410799,"Riddell, J. H.,",George Geith of Fen Court,1886,f,1851-1900,-0.3681831299059559
mdp.39015065711627,"Smith, Logan Pearsall,","The youth of Parnassus, and other stories",1895,m,1851-1900,-0.36722112894395526
uc2.ark:/13960/t5s75cj3s,"Smart, Hawley,","Cecile; or, Modern idolaters",1871,m,1851-1900,-0.3667049333058081
uiuo.ark:/13960/t0ft8w186,"Chetwynd, Henry Wayland,",Mrs. Dorriman,1886,f,1851-1900,-0.36670493330580806
uiuo.ark:/13960/t2b85p07r,"Hardinge, William Money,",Eugenia,1883,m,1851-1900,-0.36616292788575394
uiuo.ark:/13960/t0tq6f34d,"Madden, Daniel Owen,","Wynville, or, Clubs and coteries",1852,m,1851-1900,-0.36581570566353144
uiuo.ark:/13960/t4fn1n48c,"Hatton, Joseph,",Bitter sweets,1865,m,1851-1900,-0.36570941314652494
njp.32101035234135,"Marryat, Florence,",The root of all evil,1880,f,1851-1900,-0.3653243534622739
uiuo.ark:/13960/t5v69z01g,"Laffan, De Courcy,",Bonnie Kate,1891,f,1851-1900,-0.3649933372424792
uiuo.ark:/13960/t6c25g27h,"Norris, W. E.",Saint Ann's,1894,f,1851-1900,-0.3647057329859361
uc2.ark:/13960/t73t9gj85,"Ellwood, Thomas,",The History of Thomas Ellwood,1886,m,1851-1900,-0.36428384291843363
uiuo.ark:/13960/t9b576b8k,"Riddell, J. H.,",Far above rubies,1867,f,1851-1900,-0.3629883247111507
nyp.33433074871405,"Keary, Annie,",Janet's home,1882,f,1851-1900,-0.36260737233019835
uiuo.ark:/13960/t4wh2v25j,"Belgrave, Dalrymple J.",Jack Warleigh,1891,m,1851-1900,-0.3621997290180964
njp.32101075688950,"Defoe, Daniel,",Romances and narratives,1899,m,1851-1900,-0.361902709117763
uiuo.ark:/13960/t72v36d1f,"Tregenna, Charles,",Lascare,1876,m,1851-1900,-0.36060737233019846
