htid,author,title,year,authgender,female_category,intensity
mdp.39015028359852,"Przerwa-Tetmajer, Kazimierz,","Tales of the Tatras, | $c: by Kazimierz Przerwa-Tetmajer.",1941,u,high_male,179.9287628979547
mdp.39015024903794,"Frayn, Michael.",A landing on the sun / | $c: Michael Frayn.,1991,m,,179.9230050157307
mdp.39015014855376,"Willis, Granville Pratt.","Escape at dawn, | $c: by G.P. Willis and Michael P. O'Connor.",1961,m,mixed,179.92215612836895
hvd.32044020392411,"Hatton, Ann Julia,","Guilty or not guilty, or, A lesson for husbands",1822,f,high_female,179.9011325949565
uiuo.ark:/13960/t16m3mq7h,"Gascoigne, Caroline Leigh Smith,",Evelyn Harcourt,1847,f,high_female,179.8992564164068
mdp.39015058823223,"Shacklady, Helen,",The Patterned Flute / | $c: Helen Shacklady.,2001,f,high_female,179.8971292472192
mdp.39015055119468,"Endō, Shūsaku,",Volcano / | $c: Shusaku Endo ; translated from the Japanese and with an introduction by Richard A. Schuchert.,1980,m,,179.86717500922396
uc1.$b119540,"Alexander, Joan.",Where have all the flowers gone?,1969,f,high_female,179.86368226186468
mdp.39015010821596,,Victorian tales of terror / | $c: edited by Hugh Lamb.,1974,u,,179.84687323364673
njp.32101023079229,"Hofland,",Farewell tales,1840,f,,179.8332455359576
uiuo.ark:/13960/t7mp5p551,"Norris, W. E.",The Countess Radna,1893,f,mixed,179.7993817424768
uiuo.ark:/13960/t4fn1n48c,"Hatton, Joseph,",Bitter sweets,1865,m,,179.78682419416978
uiuo.ark:/13960/t72v2tc6g,"Carey, Rosa Nouchette,",The search for Basil Lyndhurst,1889,f,,179.7835682428461
uiuo.ark:/13960/t5j96qq51,"Oliphant,",Merkland,1851,f,high_female,179.76581858227928
mdp.39015066060719,"Coetzee, J. M.,",Disgrace / | $c: J.M. Coetzee.,1999,m,high_female,179.70542880386606
mdp.39015060008623,"Freud, Esther",The sea house / | $c: Esther Freud,2003,f,,179.70174873940562
inu.32000004490712,"Martineau, Harriet,",Illustrations of political economy,1834,f,mixed,179.68703516391983
uc2.ark:/13960/t4mk67c3w,"Starkey, E. A. Henry.","Australian shooting sketches, and other stories",1907,m,,179.60892109702007
uc1.b3327071,"Massie, W.",Sydenham;,1830,u,,179.59928749135128
inu.32000001616095,"Moravia, Alberto,",The fancy dress party / | $c: Alberto Moravia ; translated by Angus Davidson.,1947,m,high_male,179.59232542129368
nyp.33433074873443,"Latto, William Duncan.",Tammas Bodkin,1864,m,,179.58374851519707
pst.000016376755,"Pym, Barbara.",Quartet in autumn / | $c: Barbara Pym.,1977,f,,179.57020900794814
mdp.39015061459601,"James, Siân.",Love & war / | $c: Siân James.,2004,u,,179.55251642314187
uc1.32106011680334,"Clewlow, Carol",One for the money / | $c: Carol Clewlow,1994,f,,179.5487485668549
mdp.39015034413834,"Ranga Rao,",The drunk tantra / | $c: Ranga Rao.,1994,u,mixed,179.5394523467544
inu.30000100579089,"Hennigan, Brian.",The scheme of things / | $c: Brian Hennigan.,2005,m,mixed,179.49886104783604
uc2.ark:/13960/t92808h53,"Fittis, Robert S.",Gilderoy,1866,m,mixed,179.49293246578415
mdp.39015047730844,"Dunmore, Helen,",With your crooked heart / | $c: Helen Dunmore.,1999,f,mixed,179.4734772482078
mdp.39015042024961,"De Silva, Colin.",The founts of Sinhala.,1984,m,mixed,179.46273344175876
uiuo.ark:/13960/t3dz0v47h,"Phillpotts, Eden,",Some every-day folks,1894,m,,179.45194406272736
uc1.$b276925,"Wood, Walter.",The Fleeters; | $c: illus. by A.E. Bestall.,1934,m,high_male,179.44843218738188
uc1.b3872919,"Hamilton, Patrick,",Twenty thousand streets under the sky : | a London trilogy / | $c: by Patrick Hamilton ; with an introduction by J.B. Priestley.,1935,m,high_female,179.43545892165474
mdp.39015009044911,"Baudiš, Josef,",Czech folk tales,1917,u,high_male,179.41725276302572
nc01.ark:/13960/t8z89qp4f,"McLeod, Isabella.",Westfield,1866,f,high_female,179.41500831234674
uc1.b4103668,"Moir, D. M.",The life of Mansie Wauch,1911,u,high_male,179.38682322243966
mdp.39015009167241,"Tert͡s, Abram,",The Makepeace experiment / | $c: Translated by Manya Harari.,1965,m,high_male,179.38123551345356
mdp.39015030039088,"Moorsom, Sasha.",A lavender trip / | $c: Sasha Moorsom.,1976,u,,179.36063209969168
nyp.33433075747158,,Sephora;,1826,u,mixed,179.35958079094058
inu.30000064961950,"Thomas, Ruth,","Sea monster tattoo, | and other stories / | $c: Ruth Thomas.",1997,f,high_female,179.32219225147304
mdp.39015015453767,,Love.,1989,u,high_female,179.2716012692813
coo.31924013628957,"Huxley, Aldous,","Limbo, | $c: by Aldous Huxley.",1923,m,,179.26501344487602
uc1.32106009467207,"Troyat, Henri,",Sylvie-happiness / | $c: Henri Troyat ; translated by Anthea Bell.,1989,m,high_female,179.25796636554475
uc2.ark:/13960/t1mg7hq6n,"Cronin, Bernard.",Bluff stakes,1922,m,,179.25652264206627
uiuo.ark:/13960/t6sx6jz1t,"Banks, G. Linnaeus",Forbidden to marry,1883,f,high_female,179.239812325373
mdp.39015005299253,"Vieira, José Luandino,",The real life of Domingos Xavier / | $c: [by] Luandino Vieria ; translated [from the Portuguese] by Michael Wolfers.,1978,u,,179.2315447518763
inu.30000110627290,"McMahon, Katharine.",The crimson rooms / | $c: Katharine McMahon.,2009,f,,179.21797992274256
uc1.$b243678,"Mortimer, John,",Rumming Park : | a comedy / | $c: John Mortimer,1948,m,,179.2139592392437
uc2.ark:/13960/t7sn03d3g,"Scott, P. E. S.",Sons of Iscariot,1916,f,,179.1937516992511
mdp.39076006778547,"Buzzati, Dino,",Restless nights : | selected stories of Dino Buzzati / | $c: chosen and translated by Lawrence Venuti.,1984,u,,179.18729889597503
uc1.b4102318,"Lawrence, D. H. (David Herbert),","Pornography and so on, | $c: by D. H. Lawrence.",1936,m,high_male,179.18330137373871
uiuo.ark:/13960/t4dn4t070,"Warner,",Herbert-Lodge,1808,f,high_female,179.15541020901463
mdp.39015028687088,"(Herbert George), Wells, H. G.",The stolen bacillus and other incidents ...,1926,m,high_male,179.15278072084917
uc1.$b300221,"Farnol, Lynn.","One heavenly night, | from the screen story by Louis Bromfield; | $c: novelized by Lynn Farnol.",1931,m,high_male,179.14999047074517
uiuo.ark:/13960/t7fr0666d,"Clarke, Cecil.",Love's loyalty,1890,m,high_female,179.1472590469366
mdp.39015080851309,"Knox, Malcolm,",Jamaica / | $c: Malcolm Knox.,2008,m,high_male,179.14257596260302
uc1.$b252101,"Manning, Arthur.",Tainted money.,1963,m,mixed,179.10755473088767
uc2.ark:/13960/t3rv0mk5j,"Hobbes, John Oliver,",The tales of John Oliver Hobbes [i.e. P. Craigie],1894,f,high_female,179.10491584271065
uiuo.ark:/13960/t3029bx3d,"Tytler, Sarah,",The Huguenot family,1867,f,,179.07087795893307
mdp.39015008794425,"Brecht, Bertolt,",Threepenny novel. | $c: Translated by Desmond I. Vesey. Verses translated by Christopher Isherwood.,1972,u,,179.04924186956694
uc2.ark:/13960/t6d224v2f,"Ackworth, John.",Clog shop chronicles,1896,m,,179.04019936368144
mdp.39015030034899,"Redgrove, Peter.",The glass cottage : | a nautical romance / | $c: by Peter Redgrove with Penelope Shuttle.,1976,m,,179.03423816668948
mdp.39015048881489,"St. Omer, Garth.",The lights on the hill / | $c: Garth St. Omer.,1986,m,,179.0179586269607
uiuo.ark:/13960/t0ms4c84w,"Steward, Isabella Travers,",The interdict,1840,f,high_female,179.01505187783138
mdp.39015007043337,"Dick, Philip K.","Flow my tears, the policeman said / | $c: Philip K. Dick.",1976,m,mixed,178.95530619365442
mdp.39015078782029,"Verity, Jo.",Sweets from Morocco / | $c: by Jo Verity.,2008,f,high_female,178.93248877198633
mdp.39015053121862,"Gibson, Richard,",A mirror for magistrates : | a novel / | $c: by Richard Gibson.,1958,m,high_male,178.92421813844263
mdp.39015054507366,"Sullivan, J. W. N.",An attempt at life,1917,u,,178.9151237496273
njp.32101038084735,"Maturin, Charles Robert,",The wild Irish boy,1808,m,,178.912213740458
uiuo.ark:/13960/t7mp5q55f,"Wood, Henry,",Johnny Ludlow,1874,f,,178.89290202783027
njp.32101036109179,"Bage, Robert,",Man as he is not,1820,m,mixed,178.80258899676377
mdp.39015014138302,"Lytton, David.",The freedom of the cage.,1966,m,mixed,178.77033512562053
uc1.b3322306,"Banks, G. Linnaeus",In his own hand,1885,f,,178.76699091670426
inu.30000110565490,"Defoe, Gideon.",The pirates! in an adventure with Napoleon / | $c: Gideon Defoe.,2008,m,mixed,178.76695492838147
uiuo.ark:/13960/t3rv17w9b,"Collins, Wilkie,",Man and wife,1870,m,,178.75464074548086
uc1.32106010982954,Bảo Ninh.,"The sorrow of war : | a novel / | $c: Bao Ninh ; English version by Frank Palmos ; based on the translation from the Vietnamese by Vo Bang Thanh and Phan Thanh Hao, with Katerina Pierce.",1993,u,high_female,178.7480486671354
uiuo.ark:/13960/t2988n83t,"Hardy, Iza Duffus.",Love in idleness;,1887,f,mixed,178.742154050796
mdp.39015017709083,,The Oxford book of marriage / | $c: edited by Helge Rubinstein.,1990,u,,178.74088421490504
mdp.39015002753617,"Sahgal, Nayantara,",A situation in New Delhi / | $c: Nayantara Sahgal.,1977,u,mixed,178.71872422326095
uc2.ark:/13960/t7cr5r04n,"Fønhus, Mikkjel,",The trail of the elk,1922,u,high_male,178.69481308522555
uc1.b3324288,"Duros, Edward.",Otterbourne;,1832,m,high_male,178.6721835621591
inu.39000005931964,"Yeats, W. B.",Fairy and folk tales of the Irish peasantry,1888,m,high_male,178.65118356409113
njp.32101064710583,"Picken, Andrew,",The sectarian; or The church and the meeting-house,1829,m,mixed,178.64378061807065
uc1.$b25250,"Chadwick, William Sydney,","Hunters and the hunted; | some glimpses of man and beast in the African bush, | $c: by W. S. Chadwick; with sketches by W. Woodhouse.",1931,m,high_male,178.62877328195256
uiuo.ark:/13960/t2f76q341,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,178.62330926581518
uc1.b3314282,"Kingsley, Henry,",Leighton court,1866,m,,178.61303098547802
uiuo.ark:/13960/t19k4q55k,,"Eva Desmond, or, Mutation",1858,u,high_female,178.5963090096138
inu.30000011322801,"McGarry, Mary.",Great folk tales of Old Ireland; | $c: compiled and introduced by Mary McGarry; illustrations by Richard Hook.,1972,f,mixed,178.57618806471385
uc2.ark:/13960/t5s75888c,Thormanby.,Romances of the road,1901,u,,178.52755712062896
uc2.ark:/13960/t5gb29x4g,"Merriman, Henry Seton,",Suspense,1890,m,,178.52209210889848
uiuo.ark:/13960/t7zk5vs95,"St. Aubyn, Alan.",The junior dean,1891,f,mixed,178.4997994384276
uc1.b4376767,,The legend of the thousand bulls / | $c: [by] Yashar Kemal ; translated from the Turkish by Thilda Kemal.,1976,u,high_male,178.47811231257788
uiuo.ark:/13960/t3mw3286m,"Robinson, F. W.","In bad hands, and other tales",1887,m,mixed,178.4697755281013
uiuo.ark:/13960/t2p56777z,"Spender, John Kent",A strange temptation,1893,f,high_female,178.4694460308395
njp.32101067632198,"Ouida,",Othmar,1885,f,high_female,178.44544964103414
inu.30000006633014,"Shaw, Bernard,",The works of Bernard Shaw,1930,m,,178.43992522517422
nyp.33433074864244,"Kaye, John William,",Jerningham: a story,1854,m,,178.43343870741128
uc1.32106012097702,"Willocks, Tim",Bloodstained kings / | $c: Tim Willocks,1995,m,mixed,178.43179071585982
uiuo.ark:/13960/t9086wq6c,"Scargill, William Pitt,","Penelope, or, Love's labour lost",1828,m,,178.41361946209128
nyp.33433074867395,"Sherwood,","Jamie Gordon, or, The orphan",1851,f,,178.4038646447562
uiuo.ark:/13960/t57d3gt1n,"Praed, Campbell,",Nadine,1882,f,,178.4037558685446
mdp.39015010764994,"De Hartog, Jan,",The lost sea.,1957,m,,178.39159833117537
inu.39000003457905,"Bloch, Robert,",The opener of the way / | $c: Robert Bloch.,1976,m,high_male,178.36089361830767
mdp.39015084104531,"Morrison, Ewan.",Ménage / | $c: Ewan Morrison.,2009,u,,178.36058984600697
uiuo.ark:/13960/t0ns19n45,"Molloy, J. Fitzgerald",It is no wonder,1882,m,mixed,178.34681885595208
wu.89098526122,"Steele, Richard,",Toasts rakes and cits,1920,m,high_male,178.3467889616077
uc1.$b787413,"Laverty, Maura,",Never no more : | the story of a lost village / | $c: by Maura Laverty.,1942,f,high_female,178.34475089434648
nyp.33433074853130,"Hope, Anthony,",The king's mirror;,1899,m,high_female,178.34412723279854
uc2.ark:/13960/t9h41p10d,"Knowles, Joseph,",Alone in the wilderness,1914,m,high_male,178.33890052652438
nyp.33433074931837,"Cruikshank, Robert,",Cruikshank at home,1845,m,mixed,178.33768196153883
uc1.b3579200,"Lever, Charles James,",Luttrell of Arran,1865,m,mixed,178.33653282829215
inu.30000101080020,"Evans, David,",A touch of the sun / | $c: David Evans.,2005,m,,178.33181837856554
inu.39000005527663,"Macfarlane, Iris.",Tales and legends from India. | $c: Illustrated by Eric Thomas.,1965,f,high_male,178.31131649002967
mdp.39015056678256,"Mitchell, Sharon.",Near perfect / | $c: Sharon Mitchell.,2002,f,high_female,178.3104747348805
njp.32101068175049,"Tindal, Henrietta Euphemia,",The heirs of Blackridge Manor,1856,f,mixed,178.30609212481428
mdp.39015063953114,"Von Arnim, Elizabeth,","Love, | $c: by the author of ""Elizabeth and her German garden.""",1925,f,high_female,178.2981328435874
inu.32000009098031,"Kennedy, Margaret,",The oracles.,1955,f,mixed,178.2778178056125
mdp.39015021995264,,Passions & reflections : | a collection of 20th-century women's fiction / | $c: edited by Judy Cooke ; with an introduction by Deborah Moggach.,1991,u,high_female,178.26722151020817
uiuo.ark:/13960/t6tx3xk23,"Marryat, Frederick,",Peter Simple,1837,m,,178.26463255525556
nnc1.1002318547,"Jephson, R. Mounteney",Tom Bullkley of Lissington,1881,m,,178.21791954028663
uiuo.ark:/13960/t36119k7x,"Carne, John,",Stratton hill,1829,m,,178.211321108662
pst.000063137798,,"The forest of thieves and the magic garden : | an anthology of medieval Jain stories / | $c: selected, translated and with an introduction by Phyllis Granoff.",2006,u,mixed,178.15673633496243
inu.30000110609959,"Rhea, Nicholas,",Murder under the midnight sun / | $c: Nicolas Rhea.,2008,m,high_male,178.15336112898865
uiuo.ark:/13960/t8ff4942h,"Maberly,",Display,1855,f,high_female,178.13077086499652
mdp.39015064952248,"Kneale, Matthew,",When we were Romans / | $c: Matthew Kneale.,2007,m,high_female,178.11762570339445
nyp.33433074858162,"Henry, Alexander.",Rolando: a romance,1821,m,,178.1012854266687
uc2.ark:/13960/t7kp7xr0k,"Fyleman, Rose,",The rainbow cat,1922,f,high_male,178.0943900267142
uiuo.ark:/13960/t5q81xt36,"Robertson, Anne J.",Society in a garrison town,1869,f,high_female,178.09439002671417
njp.32101072887225,"Bernhardt, Sarah,",The idol of Paris,1921,f,mixed,178.0652663711025
wu.89092547124,"Henderson, B. L. K.",Wonder tales of ancient Wales,1921,u,mixed,178.05361957572367
mdp.39015047069128,"Collins, Jude.","Only human, and other stories / | $c: Jude Collins.",1998,u,mixed,178.00746482917023
uc2.ark:/13960/t53f4nm20,"Swan, Annie S.,",Thankful rest,1899,f,high_female,177.99832789449553
uiuo.ark:/13960/t6h13hw9s,"Tytler, Sarah,","Oliver Constable, miller and baker",1880,f,mixed,177.9844172826501
mdp.39015046801612,"Huxley, Aldous,",Crome yellow,1921,m,mixed,177.973346039042
mdp.39015030932829,,Voices on the green / | $c: edited by A.R.J. Wise and Reginald A. Smith ...,1945,u,,177.94775772545577
uc2.ark:/13960/t7xk86x50,"Beresford, J. D.","Revolution, a novel",1921,m,high_male,177.92604948568248
mdp.39015047755536,"Chapman, Robin,",The Duchess's diary / | $c: Robin Chapman.,1980,u,,177.92561935521303
uiuo.ark:/13960/t7wm1vr9x,,"Husband hunting, or, The mother and daughters",1825,u,high_female,177.92463620766347
nyp.33433034642888,"Ballantyne, R. M.",Ungava,1858,m,mixed,177.92131093618002
inu.30000036909830,"Rosenthal, Hope.",Happy for the child / | $c: Hope Rosenthal.,1990,f,high_female,177.87628750768312
uiuo.ark:/13960/t6g16bg6q,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,177.86383285302594
mdp.39015016454624,"Bonnar, Robert.",Stewartie.,1964,m,,177.8571646667277
mdp.39015069360355,"Thomson, Rupert.",Death of a murderer / | $c: Rupert Thomson.,2007,m,high_male,177.8479223593706
mdp.39015060814913,"McCormack, Mike,",Notes from a coma / | $c: Mick McCormack,2005,m,high_male,177.83228575808673
uc1.b3327283,"Whyte-Melville, G. J.",Black but comely,1879,m,,177.8100335661798
njp.32101038032569,"Massinger, Philip.",Mart and mansion,1876,m,mixed,177.80372591688342
mdp.39015025279178,"Bowen, John,",The precious gift / | $c: John Bowen.,1992,m,high_female,177.79693434982892
njp.32101066122787,"Birmingham, George A.,",The great-grandmother,1922,m,,177.78279457621386
uc2.ark:/13960/t9v11x28p,"Irvine, Leigh Hadley,",An affair in the South seas; a story of romantic adventure,1901,u,high_male,177.78100282998332
ucm.5320307018,,"Tales, anecdotes, and letters",1800,m,high_male,177.76543295604472
dul1.ark:/13960/t9q24kn9w,"Collins, Mortimer,",Transmigration,1874,m,,177.75573055538334
uiuo.ark:/13960/t8kd28g17,"Fetherstonhaugh,",Kingsdene,1878,f,high_female,177.71360342098686
uiuo.ark:/13960/t9w09kn28,,"Macalpine, or, On Scottish ground",1872,u,mixed,177.66392595959175
mdp.39015063320173,"Kirkwood, Gwen.",Home to the glen / | $c: Gwen Kirkwood.,2006,f,,177.65896247165918
mdp.39015011877555,"Kuznet͡sov, Ėduard.",Russian novel / | $c: Edward Kuznetsov ; translated by Jennifer Bradshaw.,1986,u,mixed,177.65795041646953
mdp.39015056903191,"Thorpe, Adam,",No telling / | $c: Adam Thorpe.,2003,m,mixed,177.64794125774742
inu.32000000355802,"Young, Francis Brett,",Portrait of Clare. | $c: By Francis Brett Young.,1927,m,high_female,177.6102196980929
mdp.39015010535022,"Huxley, Elspeth Joscelin Grant,",The merry hippo; | a novel.,1963,m,mixed,177.60882435422053
mdp.39015051324997,"Benson, E. F. (Edward Frederic),","Rex, | $c: by E. F. Benson.",1925,m,,177.60764230165708
mdp.39015015340154,"Barstow, Stan,",Give us this day / | $c: Stan Barstow.,1989,m,high_female,177.6040069508331
hvd.hwkd36,"Hook, Theodore Edward,",Precepts and practice,1840,m,,177.59048837384304
mdp.39015046013465,"English, Lucy.",Selfish people / | $c: Lucy English.,1998,f,,177.5575513574894
mdp.39015063869799,"Gleig, G. R.",The Chelsea pensioners,1829,m,,177.55419101871715
uc2.ark:/13960/t8nc5wj5x,"Lever, Charles James,",[Charles Lever's novels,1872,m,mixed,177.54054797031063
inu.30000001395387,"Lessing, Doris May,","Shikasta : | re, colonised planet 5 : personal, psychological, historical documents relating to visit by Johor (George Sherban) emissary (grade 9) 87th of the period of the last days / | $c: by Doris Lessing.",1979,f,,177.51701428180692
uiuo.ark:/13960/t8nc69q9f,"Davus,","The black squire; or, A lady's four wishes",1879,u,,177.49582025971645
uc1.b3834609,"Cusack, Dymphna.",Black lightining.,1964,u,,177.4933863929273
mdp.39015048475779,"Booth, Mary Warburton,","""These things I have seen"", | $c: by Mary Warburton Booth ...",1939,f,high_male,177.4604793472718
mdp.39015063891330,"Kingston, William Henry Giles,",Peter the whaler;,1906,m,,177.4399793106421
inu.39000004256447,"Gilroy, Beryl.",Frangipani House / | $c: Beryl Gilroy.,1986,u,high_female,177.43979721166033
mdp.39015062111607,"Haining, Peter.",The gentlewomen of evil: | an anthology of rare supernatural stories from the pens of Victorian ladies.,1967,m,,177.41949375156105
nyp.33433074857768,"Hawkins, Laetitia Matilda,","The countess and Gertrude; or, Modes of discipline",1812,f,high_female,177.41788736238743
uiuo.ark:/13960/t3kw62633,"Pottinger, Henry,","Blue and green, or, The gift of God",1879,m,,177.35595820151474
nc01.ark:/13960/t3st8cq20,"Horsley, Reginald",The blue balloon,1896,m,high_male,177.35222356631743
uc1.b4105357,"Gaskell, Elizabeth Cleghorn,",A dark night's work,1863,f,,177.34733664549398
uiuo.ark:/13960/t41r7gc7j,"Wood, Henry,",Anne Hereford,1868,f,,177.34331069682946
uc1.b4095433,"Kennedy, Margaret,",Women at work.,1966,f,high_female,177.30496453900716
mdp.39015016735337,,The Library of romance;,1837,u,mixed,177.28952312228623
uc2.ark:/13960/t6348qg55,"Currie, Jessie Monteath.",The Hill of goodbye; the story of a solitary white woman's life in Central Africa,1920,f,high_male,177.2530653397079
uva.x000592874,,Fairy and folk tales of the Irish peasantry,1888,m,high_male,177.2421127259837
uiuo.ark:/13960/t3bz6fw2n,"Bell, Emily Ernst.",A first appearance,1872,f,high_female,177.22317982083464
uc1.b3326053,"Smedley, Frank E.",Harry Coverdale's courtship,1855,m,,177.22259502056122
mdp.39015019489411,"Mills, Joseph,",Towards the end.,1989,m,high_male,177.20997321244593
uc2.ark:/13960/t1cj89j1d,"Talbot, L. A.",Lance-in-rest,1904,u,high_female,177.1706186486005
uiuo.ark:/13960/t1dj5z40k,"Lyle, Max.","Fair oaks, or, The experiences of Arnold Osborne, M.D",1856,m,mixed,177.16731362595803
inu.30000101130379,"Eyre, Richard,",The club / | $c: Richard Eyre.,2005,m,mixed,177.15332926084295
inu.39000002315450,"Gibbons, Stella,","Nightingale wood, | $c: by Stella Gibbons.",1938,f,high_female,177.14739020738773
uc1.$b247959,"Townsend, Peter,",Cambridge anthology. | $c: Introd. by E. M. Forster.,1952,m,mixed,177.13415581590482
mdp.39015074275531,"Stasiuk, Andrzej,",Nine / | $c: Andrzej Stasiuk ; translated from the Polish by Bill Johnston.,2007,m,,177.1314035333054
uc1.b4706895,"Chotzner, Jospeh,",Hebrew satire,1911,u,,177.1290916820178
mdp.39015002272493,,Russian writing today / | $c: edited by Robin Milner-Gulland and Martin Dewhirst.,1977,u,,177.10267975590347
uiuo.ark:/13960/t8pc3nw52,"Yates, Edmund Hodgson,",Land at last,1866,m,mixed,177.0910059709445
uc2.ark:/13960/t0ht2mh8h,"Craik, Dinah Maria Mulock,",A brave lady,1870,f,high_female,177.07348549648108
mdp.39015049522785,"Harris, Joanne,",Blackberry wine / | $c: Joanne Harris.,2000,f,high_male,177.06533454228185
uc1.$b123034,"Faz̤lī, Faz̤l Aḥmad Karīm.",The Jamadar / | $c: by Karim Fazli ; translated from the Urdu by Rafiq Khawar.,1961,u,high_male,177.05344667598155
njp.32101063690521,"Fielding, Henry,",The works of Henry Fielding,1893,m,mixed,177.01293046326273
nyp.33433074869730,Rita.,Fragoletta;,1881,u,high_female,177.01266438246896
mdp.39015028913195,"Connaughton, Shane.",The Run of the country / | $c: Shane Connaughton.,1991,u,,177.01045284475092
uiuo.ark:/13960/t9t15n146,"Roy, Gordon.",His cousin Adair,1891,f,,176.97921758330665
mdp.39015002271586,"Johnston, Jennifer,",The gates.,1973,f,,176.96014016644767
mdp.39015059423296,"Street, George Slythe,",The autobiography of a boy;,1894,m,high_male,176.94882831181252
mdp.39015074228662,"Black, Benjamin,",The silver swan / | $c: Benjamin Black.,2007,m,,176.9379428816835
uc2.ark:/13960/t04x58s0v,"Collis, E. T.",Murder by warrant,1898,f,high_male,176.91221288931845
njp.32101068158953,"Somerville, E. Œ.",The real Charlotte,1919,f,,176.90859343447266
uiuo.ark:/13960/t98634x54,"Sedley, Charles,",The barouche driver and his wife,1807,m,,176.90309027585832
mdp.39015049549911,"Barnes, Julian.","Love, etc / | $c: Julian Barnes.",2000,m,,176.89288296663568
uc1.$b389808,"Elliott, Summer Locke.",Edens lost.,1970,m,,176.86822853967962
uiuo.ark:/13960/t9k36bp0z,,"Modern times, or, Anecdotes of the English family",1809,u,,176.86329214826625
uc1.b3326052,"Smedley, Francis Edward,",Harry Coverdale's courtship and all that came of it,1913,m,mixed,176.85568748864927
mdp.39015051364852,"Brown, Christy,",Wild grow the lilies : | an antic novel / | $c: Christy Brown.,1976,u,mixed,176.84247756311066
mdp.39015028352501,"Voynich, E. L.",The humour of Russia;,1914,f,,176.83124584948496
uc2.ark:/13960/t18k76s2t,"Compton-Rickett, Arthur,",Lost chords,1895,m,,176.79123901193338
uc2.ark:/13960/t36110241,"Tozzi, Federigo,",Three crosses,1921,u,high_male,176.7654166293744
uc1.b3039412,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,176.74338158193436
mdp.39015080851747,"Patterson, James,",8th confession / | $c: James Patterson with Maxine Paetro.,2009,m,mixed,176.73265503994895
uc1.b3261857,"Delafield, E. M.,","The time and tide album, | $c: edited by E.M. Delafield [pseud.] with a foreword by John Galsworthy.",1932,f,high_female,176.72957274850654
uc2.ark:/13960/t4kk94n8g,"Rives, Amélie,",Barbara Dering,1892,u,high_female,176.70246024194637
mdp.39015014538378,"Steel, Flora Annie Webster,",Tales of the Punjab told by the people,1894,f,high_male,176.7015706806283
uc2.ark:/13960/t6833r171,"Lever, Charles James,",[Charles Lever's novels,1872,m,high_male,176.69968266179438
uiuo.ark:/13960/t5m90wk7m,"Pemberton, T. Edgar",A very old question,1877,m,mixed,176.68147589069764
mdp.39015053541218,"Walker-Smith, Derek,",Out of step / | $c: by Derek Walker Smith.,1930,u,high_male,176.6657422528991
uiuo.ark:/13960/t43r17n3n,"Gaskell, Elizabeth Cleghorn,",Sylvia's lovers,1863,f,,176.65981121130625
uiuo.ark:/13960/t06w9wj8t,"Maughan, Janet.",The co-heiress,1866,f,high_female,176.63163472577938
mdp.39015046359942,"(Herbert George), Wells, H. G.",The short stories of H. G. Wells.,1927,m,,176.6314037798645
uc2.ark:/13960/t3gx4jc7q,"Merriman, Henry Seton,",Prisoners and captives,1891,m,mixed,176.6291717021474
uc1.$b244778,"Stuart, Francis,",The pillar of cloud / | $c: by Francis Stuart.,1948,m,mixed,176.627887471261
mdp.39015033205397,"Delteil, Joseph,",The porcelain junk / | $c: by Joseph Delteil.,1928,m,high_male,176.6264350897851
uc2.ark:/13960/t2z31tf1p,"Smedley, Menella Bute,",Linnet's trial,1871,f,high_female,176.61461887368034
mdp.39015033270508,"Muggeridge, Malcolm,",Affairs of the heart.,1949,m,,176.57607945923576
uiuo.ark:/13960/t2697sn9b,"Robertson, Anne I.",Yaxley and its neighbourhood,1865,f,high_female,176.5360555704801
mdp.39015060083527,"Nobbs, David.",Sex and other changes / | $c: David Nobbs.,2004,m,,176.46702414493015
uc2.ark:/13960/t9d50n23x,"Lever, Charles James,",The Martins of Cro' Martin,1872,m,,176.43799980730324
uc2.ark:/13960/t9p26sg64,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,high_male,176.424464192368
mdp.39015069157546,,The wizards' den : | spellbinding stories of magic and magicians / | $c: edited by Peter Haining.,2001,u,mixed,176.40371623828875
uiuo.ark:/13960/t0cv53g26,"Lee, Holme,",Annis Warleigh's fortunes,1863,f,high_female,176.4031778324299
mdp.39015063931524,"De Morgan, William,",When ghost meets ghost,1914,m,high_female,176.38149109022123
osu.32435063997621,"Weyman, Stanley John,","Laid up in lavender, | $c: by Stanley J. Weyman.",1927,m,mixed,176.37490176009362
mdp.39015032207311,"Gunesekera, Romesh.",Reef / | $c: Romesh Gunesekera.,1994,u,,176.3487253240194
uc1.$b485482,"Lauesen, Marcus,",Waiting for a ship / | $c: by Marcus Lauesen ; translated from the Danish by Arthur G. Chater.,1933,m,high_female,176.34462778687495
uiuo.ark:/13960/t9n30df3f,"Barrett, Eaton Stannard,",The metropolis,1819,m,,176.32844983346754
mdp.39015024956214,,"Letters from home : | stories / | $c: by Pat Cadigan, Karen Joy Fowler, Pat Murphy.",1991,u,high_female,176.30021407883132
