htid,author,title,year,authgender,female_category,intl_subcity_intensity
uc1.b3346278,"Dunning, Philip,",Broadway : | a novel / | $c: by Philip Dunning and George Abbott.,1928,m,mixed,93.15196098576696
uc1.b3123811,"Hood, Tom,",A golden heart,1867,m,high_female,93.12692742206345
uc1.$b614939,"Edschmid, Kasimir,","Lord Byron, the story of a passion, | $c: by Kasimir Edschmid; translated by Eveline Bennett.",1930,u,mixed,93.10331338262334
nyp.33433076079023,"Scott, Walter,",The handy volume  Waverly,1877,m,high_male,93.0844756438837
uiuo.ark:/13960/t5x644h10,"Senior, Henry.",Charles Vernon;,1849,m,,93.0830143164298
mdp.39015012884584,"Edgell, Zee.",Beka Lamb / | $c: Zee Edgell.,1982,f,,93.0749641273576
nyp.33433040405437,"Balzac, Honoré de,",Parisians in the country (Les Parisiens en province),1898,m,mixed,93.0734328231922
nyp.33433074926571,"Bennett, Arnold,",Teresa of Watling street,1904,m,,93.05769577137823
mdp.39015030742483,"Dornfeld, Iris.",Boy Gravely.,1965,f,high_male,93.0366853274731
mdp.39015053247840,"Dutton, Geoffrey,",Modern Australian writing.,1966,m,high_female,93.0081744799222
uc1.$b119761,"Kirkbride, Ronald de Levington,","Yuki, | $c: [by] Ronald Kirkbride.",1967,m,,93.0059523809524
mdp.39015022048485,"Leland, Mary.",Approaching priests.,1991,f,high_female,93.0033497666686
njp.32101066477678,"Balfour, Frederic Henry.","Giraldi, or, The curse of love",1889,m,mixed,92.96994396332144
mdp.39015016442520,"Kimenye, Barbara.",Kalasandra revisted.,1966,f,high_female,92.96248837968898
mdp.39015024945795,"Tinniswood, Peter.",Winston / | $c: Peter Tinniswood.,1991,m,,92.96229693072024
uiuo.ark:/13960/t1hh75z43,"Veley, Margaret,",Mitchelhurst Place,1884,f,,92.94580097980364
uc2.ark:/13960/t1vd6ts1z,"Pyne, W. H.",The twenty-ninth of May,1825,m,high_male,92.91166335399345
uc1.32106006682584,"Farhi, Moris.",The last of days / | $c: Moris Farhi.,1983,u,high_male,92.87722124504792
mdp.39015001669533,"De Leeuw, Adèle,",Indonesian legends & folk tales | $c: told by Adèle de Leeuw. Illustrated by Ronni Solbert.,1961,u,mixed,92.86254184213368
uc2.ark:/13960/t6f18tz48,"Cresswell, Philip.",A loss gained,1862,m,,92.84681601740216
mdp.39015046834134,"McAughtry, Sam.",Touch & go / | $c: Sam McAughtry.,1993,m,,92.80865507000424
coo.31924013520287,"McGonagall, William.","Poetic gems, | $c: selected from the works of William McGonagall,  with biographical sketch and reminiscences by the author.",1954,m,,92.76437847866424
inu.30000039146844,"Whitaker, Terence W.",Scotland's ghosts and apparitions / | $c: Terence Whitaker.,1991,m,mixed,92.73455660517337
mdp.39015013318210,"Cunninghame Graham, R. B.",Charity,1912,m,,92.69812324291468
mdp.39015073390778,"Mannin, Ethel,",Red Rose : | a novel based on the life of Emma Goldman ('Red Emma') / | $c: Ethel Mannin.,1941,f,,92.68896773360278
wu.89087898367,"Lockhart, John Gilbert,","Peril of the sea, | a book of shipwrecks and escapes, | $c: by J.G. Lockhart.",1924,m,high_male,92.65883953600206
uc1.$b393269,"De Lisser, Herbert George,",The white witch of Rosehall / | $c: by Herbert G. de Lisser.,1954,m,,92.65175718849842
inu.32000001390089,"Vidal, Gore,","Washington, D.C.",1967,m,mixed,92.65018400456124
njp.32101066164839,"Blackwood, Algernon,",Karma,1918,m,mixed,92.62242268041236
uc1.b4359234,"Paso, Fernando del,",Palinuro of Mexico / | $c: Fernando del Paso ; translated by Elisabeth Plaister.,1989,m,mixed,92.60863402264818
mdp.39015030760287,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,92.592066620844
nyp.33433074897038,"Merrick, Leonard,",The man who was good,1892,m,high_female,92.56308705482466
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,92.5373497790062
inu.30000132128434,"Werner, Bruno E. (Bruno Erich),",The slave ship.,1953,m,,92.53588559524712
uc1.32106014707779,"Jergović, Miljenko,",Sarajevo Marlboro / | $c: Miljenko Jergović ; translated from the Bosnian by Stela Tomašević,1997,u,high_male,92.52976374066988
mdp.39015005248748,"Thompson, Grace E","The Cyprian; | the life of a Covent garden lady, | $c: by Grace E. Thompson ... With coloured frontispiece and sixteen other illustrations.",1932,f,,92.50693802035153
uc2.ark:/13960/t3rv0mk5j,"Hobbes, John Oliver,",The tales of John Oliver Hobbes [i.e. P. Craigie],1894,f,high_female,92.48860408271123
mdp.39015066188932,"Thackeray, William Makepeace,",Works,1883,m,high_male,92.47035777511452
mdp.39015029497743,"Moore, Thomas,",The Epicurean,1827,m,high_female,92.46206781562152
mdp.39015055608288,"Marsden, Philip,",The main cages / | $c: Philip Marsden.,2002,m,,92.45730983471827
mdp.39015048454642,"Sinclair, May.",The three sisters,1914,f,high_female,92.44474325573576
mdp.39015003941435,"Gilliatt, Penelope.",A state of change.,1967,f,high_male,92.41601877658792
uiuo.ark:/13960/t9j391j9m,"Boddington,",The gossip's week,1836,f,high_female,92.41133976569256
mdp.39015014859014,"Thacker, Eric.",Musrum | $c: [by] Eric Thacker & Anthony Earnshaw.,1968,m,,92.35936188077248
uc1.$b120401,"Gordon, Richard,",The facemaker | $c: [by] Richard Gordon.,1967,m,,92.35115167318556
uiuo.ark:/13960/t5fb5nt9h,"Picken, Andrew,",The black watch,1834,m,high_male,92.33161628924094
inu.30000011424490,"Joyce, James,",Ulysses / | $c: James Joyce.,1960,m,,92.3171283050006
wu.89072033210,,The story of Burnt Njal / | $c: translated by Sir George Webbe Dasent ; introduction by E. O. G. Turville-Petre.,1967,u,,92.30918719331488
uiuo.ark:/13960/t41r7gc7j,"Wood, Henry,",Anne Hereford,1868,f,,92.27619418371614
njp.32101063870081,"Marshall, Emma,","Under Salisbury spire, in the days of George Herbert;",1894,f,mixed,92.2751158295533
uc1.$b298821,"Graham, Stephen,",St. Vitus day | $c: [by] Stephen Graham.,1930,m,high_male,92.271138741191
nnc1.0315302652,"Scott, Honoria.","Amatory tales of Spain, France, Switzerland, and the Mediterranean",1810,f,,92.26545446362266
mdp.39015053110972,"Woodward, Gerard,",August / | $c: Gerard Woodward.,2001,m,high_female,92.25633842979713
uc1.$b111246,"Black, Edward Loring,","Starting work; | a prose anthology, | $c: chosen and edited by E.L. Black and J.P. Parry.",1957,m,,92.22363361116427
nyp.33433074911029,"Murray, Charles Augustus,",The prairie-bird,1844,m,,92.21934895041068
inu.30000001742802,"Shell, Ray.",Iced / | $c: Ray Shell.,1993,m,,92.20992756521356
inu.32000006175014,"Eaton, Charlotte A.",Continental adventures,1826,f,,92.19849198630916
uc2.ark:/13960/t1sf2p739,"Moore, T. Sturge",The powers of the air,1920,u,mixed,92.1871398939848
uc1.b3578458,"Gore,","Cecil, a peer",1841,f,,92.18387136804412
mdp.39015009212187,"Murasaki Shikibu,","Blue trousers : | being the fourth part of ""The tale of Genji"" / | $c: by Lady Murasaki ; translated from the Japanese by Arthur Waley.",1928,f,mixed,92.10037324888108
mdp.39015038164656,"Simonov, Konstantin Mikhaĭlovich,","Days and nights, | a novel / | $c: Translated by J. Fineberg.",1940,u,high_female,92.08978022700862
uc2.ark:/13960/t1bk1p43x,"Whibley, Charles,",A book of scoundrels,1911,m,high_male,92.08678008428282
inu.30000025826607,"Ricci, N. P. (Nino Pio),",Lives of the saints / | $c: Nino Ricci.,1991,m,,92.07880006784754
mdp.39015002710401,"Prichard, Katharine Susannah,","The roaring nineties; | a story of the goldfields of Western Australia, | $c: by Katharine Susannah Prichard.",1946,f,,92.06484325844777
uc1.b4559309,,Hoops of fire : | fifty years of fiction by Pakistani women / | $c: edited by Aamer Hussein ; [translated by Yasmin Hameed ... et al.],1999,u,,92.04582465978449
pst.000050354788,"Glover, Fi.",Travels with my radio / | $c: Fi Glover.,2002,u,,92.03799443457751
inu.30000115655668,"Ghata, Yasmine,",The calligraphers' night / | $c: Yasmine Ghata ; translated by Andrew Brown.,2007,f,high_male,92.0361647988739
uc2.ark:/13960/t0js9k52b,"Jackson, Murray Cosby.","A soldier's diary, South Africa 1899-1901",1913,m,high_male,92.0350259012859
hvd.32044014611149,"Loudon,",The mummy!,1828,f,mixed,91.99918915968875
mdp.39015066678700,"Lartéguy, Jean,",Sauveterre; | $c: translated by Xan Fielding from the French.,1968,f,,91.98545110846688
uc2.ark:/13960/t06w98k6v,"Filkin, Roland.",Agar Halfi the mystic,1915,m,,91.98267165153402
mdp.39015001090334,,Stories from the Raj : | from Kipling to Independence / | $c: selected and introduced by Saros Cowasjee ; with a preface by Paul Theroux.,1982,u,,91.97400470987762
uiuo.ark:/13960/t7hq4gp4t,"Braddon, M. E.",Asphodel,1881,f,high_female,91.95274186357555
uc2.ark:/13960/t92807t9n,"Gunter, Archibald Clavering,",The sword in the air,1904,m,high_female,91.938217517828
uc1.$b236245,"Brent of Bin Bin, pseud.","Up the country; | a tale of the early Australian squattocracy, | $c: by Brent of Bin Bin. 2d. impression.",1928,u,,91.937660334831
uc2.ark:/13960/t9z03g39k,"Oliphant,",Neighbours on the green,1889,f,high_female,91.92894982860706
njp.32101065863837,"Marriott, Charles,",The grave impertinence,1921,m,,91.89928673621772
mdp.39015080824025,"Hughes, Declan,",All the dead voices / | $c: Declan Hughes.,2009,m,high_male,91.8970039792295
inu.30000025896477,"Chambers, Aidan.",Great ghosts / | $c: Aidan Chambers.,1991,m,high_female,91.86653105416843
mdp.39015011371542,"Peillard, Léonce.",Sink the Tirpitz! | $c: translated from the French by Oliver Coburn.,1968,u,high_male,91.83294506904348
inu.32000009470826,"De Polnay, Peter,",Death and to-morrow.,1942,m,,91.82052809211834
mdp.39015038110816,"Ivanov, Vsevolod Vi͡acheslavovich,",I live a queer life : | an extraordinary autobiography / | $c: b Vsevolod Ivanov.,1936,u,mixed,91.81461987679756
njp.32101068574175,"Wood, Henry,",Johnny Ludlow,1899,f,,91.8072733668816
mdp.39015063044153,"Wast, Hugo,",The strength of lovers / | $c: by Hugo Wast [pseud.] translated from the Spanish by Louis Imbert and Jacques Le Clerq.,1930,u,high_male,91.79494421691852
nyp.33433075763502,"Thackeray, William Makepeace,",The history of Pendennis;,1906,m,mixed,91.78235790495783
inu.32000004496032,"Gore,","Mrs. Armytage, or Female domination",1836,f,high_female,91.7810105089257
mdp.39015063560497,"Howitt, William,",The man of the people,1860,m,,91.76196671916732
mdp.39015053238294,,Vogue's gallery.,1962,u,,91.73259947253756
uc1.b3165572,"Yixuan,",The record of Rinzai / | $c: translated from the Chinese by Irmgard Schloegl.,1975,u,high_male,91.7061002897913
njp.32101067173250,"Scott, Walter,",Tales and romances,1833,m,,91.69971980641172
mdp.39015034289002,"Ballard, J. G.,",Rushing to paradise / | $c: J.G. Ballard.,1994,m,,91.65402786718894
uc1.b5076434,"Simenon, Georges,",The patient. | $c: Translated from the French by Jean Stewart.,1963,m,,91.64658361902175
mdp.49015000534751,"James, Henry,",A London life,1889,m,high_female,91.64254269514724
njp.32101073360305,,"Perfidy detected! or, The children in the wood restored",1820,m,high_male,91.61704076958314
mdp.39015011249813,"Williamson, Henry,",Love and the loveless; | a soldier's tale.,1958,m,high_male,91.6160171612442
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,91.59322705218338
uc1.b3331857,"Thorn, Ismay.","Only five; or, Pussie's frolics in farm and field",1880,f,high_female,91.58271584380984
mdp.39015021836377,"Chernilo, Capel.",Queer stories from Russia,1892,u,,91.547146780592
hvd.hwadc3,"Scott, Walter,",The Waverley novels,1829,m,,91.52001673508876
mdp.39015021852382,,The film addict's archive / | $c: edited by Philip Oakes.,1977,u,mixed,91.51398448075346
mdp.39015073478862,"Henty, G. A.",By sheer pluck,1884,m,high_male,91.49417017915653
mdp.39015019638587,"Perec, Georges,",Things : | a story of the Sixties / | $c: translated from the French by David Bellos ; A man asleep / translated from the French by Andrew Leak.,1990,m,,91.48993610702824
mdp.39015058014138,"Fleming, Ian,","A James Bond omnibus: | containing Live and let die, Diamonds are forever [and] Dr No.",1973,m,high_male,91.48740691350176
uc1.$b120413,"Goldsmith, John,","Mrs. Mount, ascendant: | a novel.",1968,m,high_female,91.46341463414636
uc1.$b322906,"Aiken, Conrad,",A heart for the gods of Mexico.,1939,m,high_female,91.43225945248211
inu.39000003366189,"Roberts, Cecil,",Indiana Jane / | $c: by Cecil Roberts.,1929,m,,91.4300431395274
uc1.b3327483,"Walshe, Elizabeth H.",Cedar Creek,1863,f,,91.41512422500792
uc2.ark:/13960/t9n29v933,"Mitford, Mary Russell,",Belford Regis;,1835,f,,91.38968561948148
inu.30000000209332,"Prichard, Katharine Susannah,",The black opal,1921,f,,91.38516063921934
uiuo.ark:/13960/t4hm5hr35,"Caine, Hall,",The scapegoat,1891,m,high_female,91.37669304800224
wu.89074007592,"Bjørneboe, Jens,",The silence : | an anti-novel and absolutely the very last protocol / | $c: Jens Bjørneboe ; translated from the Norwegian by Esther Greenleaf Mürer.,2000,m,high_male,91.3722103313182
uc1.32106018921038,"Westlake, Donald E.",Point blank / | $c: Richard Stark.,1984,m,high_male,91.34151385633533
mdp.39015003928028,"Gaskin, Catherine.",Sara Dane.,1954,f,,91.3369635201166
uc2.ark:/13960/t8sb40745,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,high_male,91.32162157073188
mdp.39015024687801,"Barham, Marie.",Onak and the talking box / | $c: Marie Barham.,1957,f,high_female,91.28040101491428
mdp.39015059423734,"Sala, George Augustus,",Lady Chesterfield's letters to her daughter,1860,m,mixed,91.27752017233196
uiuo.ark:/13960/t6pz5tn4k,"Riddell, J. H.,",Susan Drummond,1884,f,mixed,91.2696437164999
uiuo.ark:/13960/t9j394d6m,,"Eva Desmond, or, Mutation",1858,u,high_female,91.25155010646014
mdp.39015017973424,"Raven, Simon,",In the image of God : | a novel / | $c: by Simon Raven.,1990,m,,91.21671325584816
mdp.39015008424890,"MacDonald, James Middleton.",The baba log;,1896,m,high_male,91.21639748886622
uc1.b4500379,"Armour, Margaret.",The eerie book;,1898,f,,91.20053062126908
nyp.33433074920913,"Baird, Frank.","Roger Davis, Loyalist",1907,m,high_male,91.19808223461358
uiuo.ark:/13960/t5s75zw2t,"Marryat, Frederick,",Peter Simple,1837,m,,91.17478080583516
uiuo.ark:/13960/t2q530s7d,"Hamilton, Rowan.",Betwixt two lovers,1891,m,mixed,91.1715544750038
uc1.b4225610,"Scammell, Michael,",Russia's other writers; | $c: selected & introduced by Michael Scammell; foreword by Max Hayward.,1970,m,,91.16099392560903
inu.30000111060913,"Joyce, James,",Ulysses / | $c: James Joyce.,1937,m,,91.15853658536584
nyp.33433074919451,"Ainsworth, William Harrison,",John Law,1864,m,mixed,91.1560069948283
inu.39000005519793,"King, Rosa E. (Rosa Eleanor),",Tempest over Mexico : | a personal chronicle / | $c: by Rosa E. King ; illustrated by Carroll Bill.,1936,f,mixed,91.1397393896101
uc1.32106007652305,"Škvorecký, Josef.",Dvorak in love : | a light-hearted dream / | $c: Josef Skvorecky ; translated from the Czech by Paul Wilson.,1986,m,mixed,91.12078566366309
hvd.hnp661,"Smallwood, Edward.","Manuella, the executioner's daughter",1837,m,mixed,91.108626330393
uc1.$b119560,"Barwin, Victor.",Millionaires and tatterdemalions; | stories of Jewish life in South Africa.,1952,m,,91.10098877902456
mdp.39015056164703,"Sinha, Indra.",The death of Mr Love / | $c: Indra Sinha.,2002,f,high_female,91.0967117689746
uiuo.ark:/13960/t2s47218n,"Gore,","Fascination, and other tales",1842,f,,91.0847977251016
uc1.32106008232248,"Deighton, Len,","Winter : | a Berlin Family, 1899-1945 / | $c: Len Deighton.",1987,m,high_male,91.08162285348436
mdp.39015064759601,"Boyd, William,",Restless / | $c: William Boyd.,2006,m,,91.0528585805339
mdp.39015020000231,"Lees, Michael,",Special operations executed in Serbia and Italy / | $c: Michael Lees.,1986,m,high_male,91.04776813168382
wu.89006381032,"Muddock, Joyce Emmerson Preston,",In the face of night,1908,m,,91.02971580214152
mdp.39015047519601,"Petley, Dexter,",Joyride.,1999,m,,90.99421065819146
nyp.33433076051048,"Payne, Will,",Jerry the dreamer,1896,m,high_male,90.9763376497496
uc1.b4954597,,Love's gravity / | $c: ,1977,u,,90.97466355619964
uc1.32106015901462,"Carey, Edward,",Alva & Irva / | $c: Edward Carey,2003,m,mixed,90.95893141945774
mdp.39015046342658,"Brooke-Rose, Christine,",Next / | $c: Christine Brooke-Rose.,1998,f,mixed,90.92913038686208
njp.32101067173078,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,,90.91121005151632
uc1.$b119613,"Greig, Desmond.","The angel upstairs, | and other stories.",1969,m,,90.90702484034456
uc1.$b808696,"Cleugh, James.","Captain Thomas Johnstone, 1772-1839: | smuggler's reach.",1955,m,high_male,90.90076775180822
inu.39000002330780,"Braddon, M. E.",Vixen,1879,f,high_female,90.88877300156447
inu.39000005842724,"Brooksbank, Frank Henry.","Legends of ancient Egypt; | stories of Egyptian gods and heroes, by F.H. Brooksbank, B.A. Illustrated by Evelyn Paul.",1923,m,high_female,90.88548428979486
uc1.$b56651,"Herring, Robert.","Adam and Evelyn at Kew, or, Revolt in the gardens / | $c: by Robert Herring ; illustrated by Edward Bawden.",1930,m,,90.87529431203272
inu.30000043724412,"Figgis, Diana.",Sydney nocturne / | $c: Diana Figgis.,1995,f,mixed,90.79622732410547
mdp.39015080831624,"Barclay, Alex.",Blood runs cold / | $c: Alex Barclay.,2008,m,high_male,90.78566404396967
uc1.32106001631875,"Mphahlele, Es'kia,",African writing today.,1967,u,,90.74254798226238
inu.30000093068512,"Mukherjee, Bharati.",Wife / | $c: Bharati Mukherjee.,1975,f,high_female,90.72836195279451
mdp.39015037489419,"Delaney, Frank,",A stranger in their midst / | $c: Frank Delaney.,1995,m,,90.707668515517
uiuo.ark:/13960/t74t7760g,"Wethered, Charles,",Richer than wealth,1884,f,high_female,90.67764098629377
uc1.32106014860800,,Hoops of fire : | fifty years of fiction by Pakistani women / | $c: edited by Aamer Hussein ; [translated by Yasmin Hameed ... et al.],1999,u,,90.66568445508508
uc1.$b807432,"Morgan, Robert,",The winds blow red / | $c: by Robert Morgan.,1962,m,high_male,90.6577891388996
mdp.39015019957086,"Read, Piers Paul,",The free Frenchman : | a novel / | $c: by Piers Paul Read.,1986,m,,90.62616898116904
mdp.39015063938347,"Duchess,",Nora Creina,1893,f,high_female,90.58378357542546
mdp.39015000576945,"Heym, Stefan,","Shadows and lights, | eight short stories.",1963,m,mixed,90.5769753328704
uiuo.ark:/13960/t2r49wr31,"Baring-Gould, S.",Red spider,1887,m,,90.56309611151872
uc2.ark:/13960/t4bp00s25,"De Fonblanque, Albany,",Pious frauds,1880,m,high_male,90.56125336774662
mdp.39015008532585,"Cocteau, Jean,",The miscreant. | $c: [Translated by Dorothy Williams from the French],1958,f,high_male,90.55447199777096
mdp.39015059247117,"Falla, Jonathan.",Poor mercy : | a novel / | $c: Jonathan Falla.,2005,m,mixed,90.54149085794651
uiuo.ark:/13960/t4dn4s42z,Sejanus.,Littledale,1878,u,,90.53199894653672
mdp.39015010409038,"Padfield, Peter.",The Titanic and the Californian.,1965,m,high_male,90.51991097741086
mdp.39015004712926,"O'Donnell, Elliott,",Werwolves,1912,m,mixed,90.51914788565786
mdp.39015062194017,"(Francis Downes), Ommanney, F. D.","Below the roaring forties; | an Antarctic journal, | $c: by F. D. Ommanney; with 16 illustrations.",1938,u,high_male,90.51486500942178
mdp.39015028896069,"Rendell, Ruth,",Asta's book / | $c: Barbara Vine.,1993,f,,90.50378415151184
uc1.$b728512,"Haliburton, Thomas Chandler,",The old judge;,1849,m,,90.48761641384358
wu.89092530526,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,90.48513955592676
uc1.b3435566,"Shaw, Robert,",The man in the glass booth.,1967,m,high_male,90.48199060379328
nyp.33433043830078,"Stevenson, Rennie.",Through Rhodesia with the sharpshooters,1901,f,high_male,90.4666833042176
uc1.b2828899,"Treece, Henry,",Hounds of the king / | $c: by Henry Treece ; with two radio plays by the author ; illustrated by Stuart Tresilian.,1965,m,high_male,90.43034203947016
njp.32101069165981,"Grant, James,",The Ross-Shire buffs,1877,m,mixed,90.402450438186
uc2.ark:/13960/t1rf5pg8p,"Smith, Charlotte,",The old manor house,1820,f,mixed,90.3725267518674
mdp.39015005769644,"Ayrton, Michael,",The maze maker.,1967,m,,90.35141946835324
uc1.$b299927,"Darbyshire, Shirley,","Henrietta Condon, M.D., | $c: by Shirley Darbyshire.",1936,u,high_female,90.33509566011182
inu.32000005498060,"Spinrad, Norman.",No direction home : | an anthology of science fiction stories / | $c: Norman Spinrad.,1976,m,high_male,90.33423667570008
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,90.31880095689108
wu.89100009596,"Wynyard, Noel,","Winning hazard, | $c: by Noel Wynyard.",1947,m,high_male,90.3171296633502
mdp.39015030744695,"Hayes, Douglas.",A player's hide.,1972,m,,90.30669090482613
mdp.39015065597026,"Trollope, Anthony,",The chronicles of Barsetshire,1891,m,,90.2762356258026
uc1.b3472748,"Levine, Norman,","I don't want to know anyone too well, and other stories.",1971,m,,90.27544507893852
umn.31951001843869e,,The Oxford illustrated Old Testament; | with drawings by contemporary artists.,1968,u,high_male,90.26900162484203
mdp.39015027323727,"Moore, William Geoffrey.","Early bird, | $c: by W. Geoffrey Moore.",1963,m,high_male,90.24487600006948
inu.32000013013463,"Trollope, Anthony,",The last chronicle of Barset,1879,m,,90.22867792799455
uc1.b2803013,"Ward, Henry.",The green suns / | $c: Henry Ward; translated by Alan Neame.,1961,m,,90.17132551848512
uc2.ark:/13960/t3222t20h,"Howitt, William,",Madam Dorrington of the Dene,1851,m,,90.16056535978042
uiuo.ark:/13960/t7vm4w671,"Savile, Charles Stuart,","Karah Kaplan; or, The Koordish chief",1842,m,high_male,90.15003541608534
uiuo.ark:/13960/t4mk6zh8s,"Shand, Alexander Innes,",Fortune's wheel,1886,m,,90.14903671392216
uc1.$b236238,"Frankau, Gilbert,","The woman of the horizon; | a romance of nineteen-thirteen, | $c: by Gilbert Frankau.",1927,m,,90.10632546404756
uiuo.ark:/13960/t5p84n50r,"Dixie, Florence,",Redeemed in blood,1889,f,,90.0704186909766
mdp.39015049980843,"Everett, Peter,",Bellocq's women / | $c: Peter Everett.,2000,m,mixed,90.03568487510296
uc1.$b803188,"Butler, William,",Man in a net,1971,m,high_male,90.01598559744231
inu.32000014228151,"Copping, Arthur E.",A journalist in the Holy Land;,1911,m,high_male,89.9947897753288
dul1.ark:/13960/t7fr0mh5x,"Edwards, Amelia Ann Blanford,",In the days of my youth,1873,f,mixed,89.9947061937533
nyp.33433074877204,"Kingsley, Henry,",Mademoiselle Mathilde,1868,m,mixed,89.98441341410508
inu.30000053369009,"Palmer, Martin.",Essential Chinese mythology / | $c: Martin Palmer and Zhao Xiaomin ; with Joanne O'Brien and James Palmer.,1997,m,high_male,89.97379024371163
mdp.39015005386712,"Akutagawa, Ryūnosuke,",Kappa: | a novel; | $c: translated from the Japanese by Geoffrey Bownas; with an introduction by G. H. Healey.,1970,u,high_male,89.95422917162739
uc2.ark:/13960/t87h1gf5r,"Jesse, William,",Beaux & belles of England,1844,m,high_male,89.95287695877502
dul1.ark:/13960/t4hm5x20q,"Fox, S. M.",Our own Pompeii,1887,u,mixed,89.9486007995431
uc1.$b244329,"Williamson, Henry,",A test to destruction / | $c: Henry Williamson.,1960,m,,89.91548875823446
mdp.39015078788174,,"Poe : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe / | $c: edited by Ellen Datlow.",2009,u,mixed,89.91345105227744
uiuo.ark:/13960/t03x8z50w,"Ainsworth, William Harrison,",Old Saint Paul's,1841,m,mixed,89.91289688114638
mdp.39015050480774,"Vickers, Salley.",Miss Garnet's angel / | $c: Salley Vickers.,2000,f,high_female,89.88718653106159
nyp.33433076078918,"Scott, Walter,",The handy volume  Waverly,1877,m,,89.88494726749762
wu.89012609285,"Abbott, J. H. M.",Plain and veldt,1903,u,high_male,89.88225424693651
uiuo.ark:/13960/t43r1875n,"Griffiths, Arthur,",The wrong road,1888,m,,89.87686868989485
mdp.39015056287579,"McCann, Colum.",Dancer / | $c: Colum McCann.,2003,m,mixed,89.86239820275206
mdp.39015019619140,"Deighton, Len,",Spy sinker / | $c: Len Deighton.,1990,m,mixed,89.84255092949604
mdp.39015036753906,"Roscoe, Thomas,",The Italian novelists,1836,m,high_male,89.83621439648975
uc1.$b56342,"Caine, William Ralph Hall,","Annals of the Magic Isle, | $c: by W. Ralph Hall Caine.",1926,m,mixed,89.79164257484335
mdp.39015047110336,"Goulbourne, Jean.",Excavation / | $c: Jean Goulbourne.,1997,f,,89.77960554895884
dul1.ark:/13960/t9j398q69,"Bury, Charlotte Campbell,",The manœuvring mother,1842,f,high_female,89.72933881530489
inu.30000002177503,"Roberts, Morley,",The adventures of a ship's doctor,1897,m,high_male,89.71828458639871
uiuo.ark:/13960/t3bz6ss4d,"Reeve, Sophia.",The mysterious wanderer,1807,f,mixed,89.69388345581852
uiuo.ark:/13960/t7gq76w1k,"Collins, Mortimer,",Miranda,1873,m,mixed,89.68096473820789
wu.89053532776,"Faldbakken, Knut.",Sweetwater / | $c: Knut Faldbakken ; translated from the Norwegian by Joan Tate.,1994,m,,89.66297927664392
uc2.ark:/13960/t4zg6jp9m,"Goldring, Douglas,",The fortune;,1917,m,,89.6607050162805
nyp.33433074817622,"Irving, Washington,","The sketch book of Geoffrey Crayon, gent",1821,m,high_male,89.6333061311857
mdp.39015059246895,"Dasgupta, Rana,",Tokyo cancelled / | $c: Rana Dasgupta.,2005,f,,89.62445332452813
mdp.39015053493824,"Stead, C. K. (Christian Karlson),",The secret history of modernism / | $c: C.K. Stead.,2001,m,mixed,89.61591376677143
uiuo.ark:/13960/t2q536h3c,"Macquoid, Katharine S.",Beside the river,1881,f,high_female,89.59212804081754
coo.31924001193220,"Brandon-Cox, Hugh.",Summer of a million wings; | arctic quest for the sea eagle. | $c: Illustrated with photographs and sketches by the author.,1974,m,high_male,89.55284635580975
njp.32101037974845,"Fullerton, Georgiana,",A will and a way,1881,f,high_female,89.53553441522104
mdp.39015022430865,"Nünlist, Hugo.",Spitzbergen; | the story of the 1962 Swiss-Spitzbergen Expedition; | $c: translated from the German by Oliver Coburn.,1966,m,,89.46891253519111
mdp.39015021576452,"Denny, John Howard.",Chindit indescretion.,1956,m,high_male,89.46873690528773
nyp.33433082533963,"Edgeworth, Maria,","The parent's assistant, or, Stories for children",1822,f,,89.46144211844695
uc1.32106007166918,"Allbeury, Ted.",Pay any price / | $c: Ted Allbeury.,1983,m,high_male,89.43161241884908
uc1.b3327503,"Wood, Henry,",The story of Charles Strange,1888,f,,89.42430991428765
mdp.39015000512742,"Simenon, Georges,",Maigret and the ghost / | $c: [by] Georges Simenon ; translated from the French by Eileen Ellenbogen.,1976,m,,89.41635506421721
mdp.39015063946571,"Phillpotts, Eden,",The human boy,1899,m,high_male,89.35385990059383
mdp.39015063972460,"[Webb, Henry Bertram Law]","The anger of the North, | $c: by John Clayton [pseud.]",1936,m,,89.31545005903902
uc2.ark:/13960/t2t43sd25,"Sinclair, Francis.",From the four winds,1909,m,high_male,89.28067966092138
inu.30000007194081,"Rabelais, François,","Five books of the lives, heroic deeds and sayings of Gargantua and his son Pantagruel; | $c: translated into English by Sir Thomas Urquhart of Cromarty and Peter Antony Motteux.",1970,u,high_male,89.27011973839973
pst.000049849950,,The Time Out book of Paris short stories / | $c: edited by Nicholas Royle.,1999,u,,89.25535532131927
hvd.hwadan,"Scott, Walter,",The Waverley novels,1829,m,high_male,89.25331267102798
