htid,author,title,year,authgender,female_category,gb_greater_london_intensity
uc1.b4961679,"Kemp, Will,","Kemps nine daies wonder : | performed in a daunce from London to Norwich : containing the pleasure, paines and kinde entertainment of William Kemp between London and that Citty in his late Morrice : wherein is somewhat set downe worth note; to reproove the slaunders spred of him; many things merry, nothing hurtfull / | $c: map and drawings by Robert Yaxley.",1985,m,high_male,308.0082135523614
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,high_male,308.00685049719215
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,high_male,306.96108525596594
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,high_male,300.24898696480005
mdp.39015030854338,"Baring, Maurice,",Passing by,1921,m,high_female,294.3955804317802
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,high_male,294.040377503385
uiuo.ark:/13960/t2x35cg1z,"Parker, Hastings,",Bentley Priory,1859,f,high_female,293.9868092760575
uiuo.ark:/13960/t1mg86494,"Warden, Florence,",Scheherazade,1887,f,mixed,290.6869779593038
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,289.1217925551138
uc2.ark:/13960/t47p8wg3g,"Abbott, J. H. M.",Letters from Queer Street ;,1908,u,,288.7330241590331
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,288.2340288234028
mdp.39015033516314,"Abernethy, Cecil.",Mr. Pepys of Seething Lane.,1974,m,,282.82452076956207
mdp.39015034434293,"Ackroyd, Peter,",Dan Leno and the Limehouse Golem / | $c: Peter Ackroyd.,1994,m,mixed,282.47663296578656
inu.32000009368038,"Trollope, Anthony,",Marion Fay,1883,m,mixed,277.8469108401095
mdp.39015002758822,"Salkey, Andrew.",The adventures of Catullus Kelly.,1969,m,,277.5527350196538
uc2.ark:/13960/t3rv0kp5g,"Tearle, Christian",The pilgrim from Chicago,1913,m,high_male,277.4781423867379
mdp.39015024775663,"Rendell, Ruth,",King Solomon's carpet.,1991,f,mixed,275.49237729763627
mdp.39015060667410,"Gavron, Jeremy,",An acre of barren ground / | $c: Jeremy Gavron / with artwork by Temple Clark.,2005,m,,275.29995772953407
mdp.39015032438247,"Penn, Margaret.",The foolish virgin / | $c: by Margaret Penn.,1980,f,high_female,271.74824705606073
mdp.39015059978638,"Ballard, J. G.,",Millennium people / | $c: J.G. Ballard.,2003,m,,270.7645056021985
uc2.ark:/13960/t06w97g82,"Ballantyne, R. M.",Fighting the flames,1876,m,,270.0548964051709
uiuo.ark:/13960/t1ng5561x,"Yorke, Curtis.",A romance of modern London,1892,f,,266.16412806963007
uc1.b3548775,"Thackeray, William Makepeace,",Works,1883,m,mixed,261.3388448731198
njp.32101075688976,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,257.7297665121422
inu.32000006712584,"Ganier-Raymond, Philippe.",The tangled web; | $c: translated from the French by Len Ortzen.,1968,m,high_male,252.0425184770301
uc1.$b102154,"Greene, Graham,",The bear fell free | $c: [by] Graham Greene.,1935,m,,251.4668901927913
uc2.ark:/13960/t9s18647f,"Thackeray, William Makepeace,",The Newcomes,1869,m,mixed,251.226549913072
mdp.39015050923211,"Tennant, Emma.",The time of the crack. -,1973,f,,250.0829356674407
wu.89097347694,"Shute, Nerina,","We mixed our drinks; | the story of a generation, | $c: by Nerina Shute.",1945,u,high_female,249.70678370095723
uiuo.ark:/13960/t8ff4947x,"McCarthy, Justin H.",A London legend,1895,m,,249.49593118554083
mdp.39015064690533,"Self, Will.",The book of Dave : | a revelation of the recent past and the distant future / | $c: Will Self.,2006,m,high_male,247.11992494116805
uc2.ark:/13960/t5z60fh7d,"Wedmore, Frederick,",English episodes,1894,m,,246.40078848252313
uc1.b3872923,"Harben, Henry Devenish,","Love letters to a dead woman, | $c: by H. D. Harben.",1923,m,mixed,244.51186864179903
uc1.32106005747230,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,241.2105403396581
uc2.ark:/13960/t1mg7jr51,"Morley, Charles Robert,",Travels in London,1916,m,high_male,241.1417322834645
mdp.39015031219481,,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914 / | $c: edited and introduced by Michael Moorcock.,1975,u,high_male,240.1516747419423
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,239.00237596479633
uc1.32106008123272,"Spicer, Jack.",Lament for the maker / | $c: Jack Spicer.,1971,m,,238.0952380952381
uiuo.ark:/13960/t0bv8241n,"Warden, Florence,",Scheherazade,1887,f,mixed,237.57856929063155
uiuo.ark:/13960/t1sf3bm7d,"Warden, Florence,",Scheherazade,1887,f,mixed,237.4371626259066
uc1.$b244994,"Mackenzie, Compton, Sir,","Figure of eight, | $c: by Compton Mackenzie.",1936,m,high_female,230.9468822170901
uiuo.ark:/13960/t1hh6wn89,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,230.21582733812951
mdp.39015059975998,"Ackroyd, Peter,",The Clerkenwell tales / | $c: by Peter Ackroyd.,2003,m,mixed,225.38888820464817
mdp.39015042816945,,Does the sun rise over Dagenham? : | and other stories : new writing from London : [with stories / | $c: by Nicola Barker ... et al.] ; foreword by Mark Lawson,1998,u,high_female,222.66876663227063
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,221.87493970789689
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,,220.3376803053983
uc1.b3548418,"Birrell, Francis,",A letter from a black sheep | $c: [by] Francis Birrell.,1932,m,,218.54937850020488
mdp.39015046410471,"Selvon, Samuel.",Moses ascending / | $c: [by] Sam Selvon.,1975,m,mixed,218.35693881518927
uiuo.ark:/13960/t8mc9d00r,"Harwood, John Berwick.",Plain John Orpington,1866,m,,217.834722854823
njp.32101068144953,"Alexander, Louis C.",The autobiography of Shakespeare,1911,m,high_male,217.80351560498133
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,217.02950701691256
mdp.39015074267256,"Ewing, Barbara.","The mesmerist : | or the Misses Preston, of Bloomsbury / | $c: Barbara Ewing.",2007,f,high_female,216.6900420757363
mdp.39015073484324,"Henty, G. A.",A march on London,1898,m,high_male,216.4635608255756
mdp.39015047764249,"Elms, Robert,",In search of the crack / | $c: Robert Elms.,1988,m,high_male,216.45811292303577
uc2.ark:/13960/t01z4824d,"Braddon, M. E.",Rough justice,1898,f,,216.21163303374595
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,mixed,214.62499266991145
dul1.ark:/13960/t7mp5q31m,"Dickberry, F.",The storm of London,1904,m,mixed,214.06691660851772
uc1.b4101372,"Willis, Nathaniel Parker,",Loiterings of travel,1840,m,mixed,212.87465940054497
inu.30000045098336,,The Time Out book of London short stories / | $c: edited by Maria Lexton.,1993,u,high_female,210.0532881087456
uc1.b2808912,"Gwynn, Gordon.",Did Adelaide Bartlett---? : | a medical opinion / | $c: by Gordon Gwynn.,1950,m,,209.88710926356111
nyp.33433075772529,"Willoughby, George,","The adventures, and other stories",1913,m,,209.75256622055576
inu.32000005557592,"Burke, Thomas,","Dark nights, | $c: by Thomas Burke.",1944,m,high_male,209.6400327242978
mdp.39015001032708,"Waterhouse, Keith.","Maggie Muggins, or, Spring in Earl's court / | $c: Keith Waterhouse.",1981,m,high_female,207.6962416373561
mdp.39015053238880,,London tales / | $c: edited by Julian Evans.,1983,u,high_female,206.3881315400667
mdp.39015057606397,"Ferris, Paul,",Cora Crane / | $c: Paul Ferris.,2003,m,,205.96434421910777
uc2.ark:/13960/t7br8pf30,"Russell, George William Erskine,","""For better? For worse?""",1902,m,,205.89468867960505
uc1.b3811083,"Bennett, Arnold,",The regent : | a five towns story of adventure in London.,1929,m,high_male,205.7138462721575
uc1.b3445494,"Thackeray, William Makepeace,",The Newcomes;,1854,m,mixed,205.52695859536476
uc1.b3553822,"Corry, John,",The history of Henry Thomson,1803,m,high_male,205.25451559934316
uc1.b3322533,"Gore,",Peers and parvenus,1846,f,,204.85584218512895
mdp.39015030747276,"Henrey, Robert, Mrs.,",An exile in Soho.,1952,f,high_female,204.26672331663792
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,,203.8559878377445
uc2.ark:/13960/t4xg9tm3z,"Rutherford, Mark,",Clara Hopgood,1896,m,,203.6903906062785
njp.32101042589984,"Reynolds, George W. M.",Robert Macaire in England,1845,m,mixed,203.60915310994895
uiuo.ark:/13960/t0ft9464s,"Mexborough, Elizabeth (Stephenson),",Drifted together,1879,f,high_female,202.65198899174385
wu.89013740311,"Sims, George R.,",Behind the veil,1913,m,,202.64900662251657
mdp.39015000550809,"Houghton, Claude,","Three fantastic tales, | $c: by Claude Houghton [pseud.] With a frontispiece by John Farleigh, and a preface by Clemence Dane.",1934,m,high_male,202.4291497975709
mdp.39015034864994,"Norquay, Glenda,",Voices and votes : | a literary anthology of writings of the women's suffrage campaign / | $c: Glenda Norquay.,1995,f,high_female,202.10520946897972
mdp.39015068802886,"Walsh, John,",Sunday at the cross bones : | a novel / | $c: John Walsh.,2007,m,,201.56503621871744
mdp.39015050697781,"Bracewell, Michael,",Perfect tense / | $c: Michael Bracewell.,2001,m,,201.34779750164367
nyp.33433074936968,"Barrie, J. M.",Better dead,1888,m,high_male,200.9212976575517
mdp.39015027339442,"Garby-Czerniawski, Roman.",The big network.,1961,m,,200.3243346370314
mdp.39015030747268,"Henrey, Robert, Mrs.,",Julia: | reminiscences of a year in Madeleine's life as a London shop-girl.,1971,f,high_female,199.6272363454024
inu.30000007046091,"Wilson, Colin,","Adrift in Soho, | a novel.",1961,m,,199.00623637377683
uiuo.ark:/13960/t9086vr6d,"McCarthy, Justin.",Red diamonds,1893,m,,198.53579848616457
uc1.b4089222,"Milne, A. A.",Lovers in London,1905,m,high_female,198.22239273610845
mdp.39015002748807,"Hunt, Violet,","The wife of Rossetti; | her life and death, | $c: by Violet Hunt; with thirty illustrations ...",1932,u,mixed,198.1265828920422
mdp.39015063588324,"Horn, Holloway.",The folly of innocence,1917,u,mixed,197.2067761541446
uc1.$b56651,"Herring, Robert.","Adam and Evelyn at Kew, or, Revolt in the gardens / | $c: by Robert Herring ; illustrated by Edward Bawden.",1930,m,,196.20802181007065
uc2.ark:/13960/t0pr7p89f,"Williams, Bransby.",My sketches from Dickens,1913,u,,194.7230065232207
uc2.ark:/13960/t56d5w74w,"Matheson, Annie,",A plain friend,1920,f,high_female,192.87091935138224
mdp.39015051353905,"Bracewell, Michael,",The Crypto-Amnesia Club / | $c: Michael Bracewell.,1988,m,high_female,192.7756533830547
mdp.39015008792726,"(Alan Patrick), Herbert, A. P.","Mr. Gay's London, | with extracts from the Proceedings at the Sessions of the Peace, and Oyer and Terminer for the city of London and county of Middlesex in the years 1732 and 1733.",1948,m,high_male,192.35097914833537
uc1.b3810859,"Burke, Thomas,","The wind and the rain; | a book of confessions, | $c: by Thomas Burke",1924,m,,192.2872622968236
mdp.39015073480447,"Henty, G. A.",When London burned,1895,m,high_male,191.8225339262061
mdp.39015077682931,"Esler, Gavin.",A scandalous man / | $c: Gavin Esler.,2008,m,,191.75389990582903
uc2.ark:/13960/t90868h5r,"Richardson, Dorothy M.",Interim,1919,f,high_female,190.0011875074219
mdp.39015016454343,"Arlen, Michael,",The London venture; | $c: with an introduction by Noel Coward.,1968,m,high_male,189.873417721519
uc2.ark:/13960/t88g8mj8t,"Bennett, Arnold,",The regent;,1913,m,high_male,188.88541991882607
inu.39000001687552,"Manifold, J. S. (John Streeter),",The death of Ned Kelly : | and other ballads / | $c: by John Manifold.,1941,m,high_male,188.67924528301887
mdp.39015000609530,"Spark, Muriel.",The ballad of Peckham Rye.,1960,f,,188.5893516496606
uiuo.ark:/13960/t2x35587p,"Fitzgerald, G. Beresford",Clare Strong,1889,u,,188.49295395386412
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,187.99071104721884
yale.39002037389138,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,187.95520400971105
mdp.39015002752197,"Ruskin, John,",Praeterita;,1899,m,,187.3054070481412
mdp.39015062883080,"Cleave, Chris.",Incendiary / | $c: Chris Cleave.,2005,m,mixed,187.22674309143775
nnc1.1002331306,"Neele, Henry,",The romance of history,1833,m,,186.4519228569468
uc2.ark:/13960/t6sx6503p,"Escott, T. H. S.",A trip to Paradoxia and other humours of the hour,1899,m,,186.05507967210093
uc1.$b684914,"Ash, Bernard.",Silence for his worship.,1953,m,,185.15500211885129
uc1.b3548995,"Topolski, Feliks,",Portrait of G.B.S. / | $c: with an introduction by Hesketh Pearson.,1946,u,high_male,185.0994909763998
uc2.ark:/13960/t77s7m05b,"Cardigan and Lancastre, Adeline Louis Maria de Horsey,",My recollections,1909,f,mixed,184.81182795698925
mdp.39015008579966,"Thackeray, William Makepeace,",Works,1883,m,,184.33736058616495
nyp.33433074892526,"Mathew, Frank James,",A child in the temple,1897,m,mixed,184.18261985823523
mdp.39015062281574,"Baring, Maurice,",A triangle : | passages from three notebooks / | $c: by Maurice Baring.,1923,m,,183.66677599212852
nyp.33433082397815,"Sherard, Robert Harborough,","Oscar Wilde, the story of an unhappy friendship",1902,m,high_male,183.490064430034
inu.32000005765484,"Ireland, Annie Elizabeth Nicholson,",Life of Jane Welsh Carlyle,1891,f,high_female,183.16590824532784
uc2.ark:/13960/t5w66b96n,,Red Riding Hood,1871,m,high_male,183.15018315018315
mdp.39015073677190,"Hoban, Russell.",My tango with Barbara Strozzi / | $c: Russell Hoban.,2007,m,,182.4742690777873
uc2.ark:/13960/t9765ch2n,"Hone, William,","The report at large of the coroner's inquest on Jane Watson, shot at Mr. Robinson's address, &c",1815,m,high_male,181.9886394970496
mdp.39015048892155,"Levi, Peter.",To the goat / | $c: Peter Levi ; with illustrations by André Yaniw.,1988,m,,181.70194151889365
uiuo.ark:/13960/t6pz5tn4k,"Riddell, J. H.,",Susan Drummond,1884,f,mixed,180.87983936542707
uc2.ark:/13960/t2g738v8m,"Gould, Nat.",The sweep winner,1920,m,high_male,180.77042156461297
mdp.39015078575910,"Purves, William Laidlaw,",The authorship of 'Robinson Crusoe.',1903,m,high_male,180.16742195367573
uc2.ark:/13960/t9862hm6r,"Sinclair, Catherine,","London homes, including The murder hole; The drowning dragoon; The priest and the curate; Lady Mary Pierrepoint; and Frank Vansittart",1853,f,mixed,179.90023714122168
mdp.39015040341086,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,179.75478228208084
mdp.39015016415252,"Henrey, Robert, Mrs.,",Paloma.,1957,f,high_female,179.23081906324904
mdp.39015076147670,"Kāniṭakara, Hemanta,",Taking a chance / | $c: V.P. (Hemant) Kanitkar.,2008,u,high_female,179.1273936964217
uc2.ark:/13960/t21c1ws0w,"Wedmore, Frederick,",Orgeas and Miradou,1896,m,high_female,178.94422904861318
mdp.39015078805382,"Taylor, D. J. (David John),",Ask Alice : | a novel / | $c: D.J. Taylor.,2009,m,high_female,178.89827005963278
mdp.39076002870140,"Arlen, Michael,",The London venture,1919,m,high_male,178.43289371605897
mdp.39015055799897,"Abse, Dannie.",The strange case of Dr Simmonds & Dr Glas / | $c: Dannie Abse.,2002,m,mixed,177.85560860821147
uc2.ark:/13960/t8mc8tj6d,"Horn, Holloway.",Half-caste,1920,u,mixed,177.72378574160308
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,177.5271512113617
nyp.33433074859913,"Gull, Cyril Arthur Edward Ranger,",The hypocrite,1898,m,,177.1816897301904
uc1.$b245001,"McKenna, Stephen,","To-morrow and to-morrow; | a novel, | $c: by Stephen McKenna.",1924,m,,177.12057198570037
uc1.$b299542,"Agate, James,","Gemel in London, | $c: by James Agate.",1928,m,,176.36684303350972
mdp.39015031332862,"Beresford, J. D.",Goslings,1913,m,high_female,176.2724668702194
mdp.39015063170917,"Black, William,",Shandon bells,1883,m,,175.5110468717737
inu.30000120843341,"Sisson, Rosemary Anne.",The Stratford story / | $c: Rosemary Anne Sisson.,1975,f,,175.40537577611894
mdp.39015005919868,"Searle, Chris.",Classrooms of resistance / | $c: compiled by Chris Searle.,1975,m,,175.27971721538958
nyp.33433075727168,"Fawcett, E. Douglas",Hartmann the anarchist,1893,f,mixed,174.71372919371973
mdp.39015068801581,"Tennant, Emma.",Confessions of a sugar mummy / | $c: Emma Tennant.,2007,f,mixed,173.68943426869978
uiuo.ark:/13960/t84j13q2r,"Prickett,",Warwick Castle,1815,f,mixed,173.53077279037484
njp.32101067632578,"Ouida,",Syrlin,1890,f,,173.45940658624065
uc2.ark:/13960/t8cf9mk7r,"Wingate, Ashmore Kyle Patterson,",That mighty city: a study in contemporary manners,1911,u,,173.29748994200963
uc2.ark:/13960/t5q81cb58,"Gissing, George,",Human odds and ends,1898,m,mixed,173.1004345668252
mdp.39015066896757,"Kops, Bernard,",Bernard Kops' East End : | by the waters of Whitechapel / | $c: Bernard Kops.,2006,m,mixed,173.07821031393138
mdp.39015078776922,"Bragg, Melvyn,",Remember me / | $c: Melvyn Bragg.,2009,m,,172.39042407197198
uc1.$b372446,"Jefferies, Richard,","After London, or, Wild England",1886,m,mixed,172.1041604310087
uiuo.ark:/13960/t69316638,"Ouida,",Syrlin,1890,f,,171.5243577582286
mdp.39015037443770,"Bracewell, Michael,",Saint Rachel / | $c: Michael Bracewell,1995,m,mixed,171.26602826634104
uc1.32106007376988,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,171.1070897461165
mdp.39015063541489,"Boddingon, Harry.","Outline of an address delivered to the ""Link Association of Spirit Circles"" Wortley Hall, Finsbury Park, | preliminary to the public demonstration o[f] kilnascrene, November 28th, 1936. The development of clairvoyance and the scientific formation of circles.",1937,m,high_female,170.94017094017096
uc1.b3827538,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1927,m,high_male,170.8927580838538
mdp.39015042471758,"Bester, Alfred.",Tiger! Tiger!,1955,m,high_male,170.77714691270404
mdp.39015018984065,"Dixon, Ella Hepworth.",The story of a modern woman / | $c: by Ella Hepworth Dixon ; introduction by Kate Flint.,1990,f,high_female,169.9847693646649
mdp.39015066411953,"Miller, Miranda,",Loving Mephistopheles / | $c: Miranda Miller.,2007,f,high_female,169.63305346071155
uiuo.ark:/13960/t9280q47h,"Gambier, James W.",Swifter than a weaver's shuttle,1887,m,,169.43798282645528
mdp.39015038896026,"Barne, Kitty,",Elizabeth Fry; | $c: illustrated by Ruth Gervis.,1953,f,high_female,169.39742914489884
uva.x030581129,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,169.23421517632713
uc2.ark:/13960/t78s4zk39,"Wylde, Henry,",Severed ties,1889,f,,168.55116230072338
mdp.39015077126889,"Peacock, Caro.",Death of a dancer / | $c: Caro Peacock.,2008,f,,167.8564182022762
uc1.$b120401,"Gordon, Richard,",The facemaker | $c: [by] Richard Gordon.,1967,m,,167.3185571490656
mdp.39015029404871,,Beyond the gaslight : | science in popular fiction 1895-1905 / | $c: Hilary and Dik Evans ; with ill. from the Mary Evans Picture Library.,1976,u,high_male,167.3124339556182
mdp.49015000534751,"James, Henry,",A London life,1889,m,high_female,167.01211051919356
mdp.39015056426698,"Hawes, James.","White powder, green light / | $c: James Hawes.",2002,m,high_female,166.93336494201785
uiuo.ark:/13960/t4xh06r8n,"Prickett,",Warwick Castle,1815,f,mixed,166.8089068197688
uiuo.ark:/13960/t2t449x5x,"Russell, William.",Autobiography of an English detective,1863,m,,166.4977558998118
mdp.39015029187476,"Bracewell, Michael,",The conclave / | $c: Michael Bracewell.,1992,m,mixed,166.2332908853829
inu.30000114433927,"Waller, Leslie,",Steal big / | $c: Patrick Mann [i.e. L. Waller ].,1979,m,,166.10383548856493
uiuo.ark:/13960/t8ff45v3r,"Hardinge, William M.",The willow-garth,1886,m,high_female,165.95685121868314
uiuo.ark:/13960/t8v98m68w,"Harwood, John Berwick.",Plain John Orpington,1866,m,,165.7179912097413
mdp.39015049548400,"Stevenson, Jane,",London bridges / | $c: Jane Stevenson.,2000,f,,165.60411178706573
njp.32101068175320,"Caine, Hall,",The Christian;,1897,m,,165.4580160373209
inu.39000002347248,"Gore,",The banker's wife,1843,f,mixed,165.2648664600856
mdp.39015078576058,"Purves, William Laidlaw,","The ""O"" edition of 'Robeson Cruso'",1903,m,high_male,164.96735021193726
uc1.b3578457,"Gore,","Cecil, a peer",1841,f,,164.46466750726387
uva.x030794682,"Trask, Katrina,",In my lady's garden;,1907,u,high_female,163.9757820383451
uc1.b4948680,"Allbeury, Ted.",The girl from Addis / | $c: Ted Allbeury.,1984,m,high_male,163.95583349051813
mdp.39015063276797,,Underwords : | the hidden city / | $c: edited by Maggie Hamand.,2005,u,mixed,163.90426652840728
uiuo.ark:/13960/t2p567g2p,"Westall, William,",Her two millions,1887,m,mixed,163.72426362695575
mdp.39015038101666,"Naher, Gaby,",The underwharf / | $c: Gaby Naher.,1996,u,,163.6903385708076
mdp.49015001132548,"Burmeister, Jon.",The Weatherman Guy / | $c: Jon Burmeister.,1975,m,,163.19164458779707
uc1.b3872914,"Earl of, Halsbury, Hardinge Goulburn Giffard,",Nineteen forty-four / | $c: by the Earl of Halsbury.,1926,u,mixed,163.18903768296485
mdp.39015080837696,"Airth, Rennie,",The dead of winter / | $c: Rennie Airth.,2009,u,,163.0114655963617
uc1.b4104688,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,162.59924413324347
nyp.33433075727499,"Fitz-Maurice, Gabrielle.",Mrs. Fitz-Maurice on leave,1908,u,high_female,162.5810647253283
uiuo.ark:/13960/t0tq6jr5n,"Strauss, G. L. M.",The old ledger,1865,u,,162.53207869974335
wu.89015991284,"Arlen, Michael.","""Piracy""; | a romantic chronicle of these days.",1924,m,,162.49336155169271
mdp.39015070772671,"McKay, Malcolm.",Forgotten voices / | $c: Malcolm McKay ; adapted from Forgotten voices of the Great War by Max Arthur.,2007,m,high_male,162.25448334756618
uc1.31822038206421,"Sadleir, Michael,",The anchor,1918,m,mixed,162.09150326797382
inu.32000001014457,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,161.34236850596966
mdp.39015003659755,"Richardson, Mary R",Laugh a defiance.,1953,f,high_female,161.06893750525228
uc2.ark:/13960/t6j09zs35,"Goldring, Douglas,",It's an ill wind,1915,m,,160.61411278417478
mdp.39015021991388,"Lively, Penelope,",City of the mind / | $c: Penelope Lively.,1991,f,mixed,160.5312123754971
uc1.$b20576,"Townsend, Walter,","Black cap, murder will out, | $c: by W. & L. Townsend.",1930,m,mixed,160.41610966628588
mdp.39015039402428,"Johnson, Samuel,","Rasselas, prince of Abyssinia",1884,m,high_female,160.41288882689358
mdp.39015026262207,"Stevens, C.L. McCluer",Queens of frailty,1912,u,high_female,160.34651506632514
njp.32101066459684,"Gore,",The dowager,1840,f,,160.28679271298324
mdp.39015020062736,"Colman, George,",Random records;,1830,m,high_male,159.7986788298207
uiuo.ark:/13960/t8df78b8h,"Smith, Caroline Mary.",Magdalen Havering: being chapters in the history of a family,1861,f,high_female,159.6402087338643
uiuo.ark:/13960/t59c7dv4h,"Dowson, Ernest Christopher,",A comedy of masks,1893,m,high_female,159.53734170904377
mdp.39015084104259,"Evans, Diana,",The wonder / | $c: Diana Evans.,2009,f,,159.30689728236555
uc1.32106006743667,"Kitchen, Paddy.",The golden veil : | a novel based on the life of Elizabeth Siddall / | $c: by Paddy Kitchen.,1981,f,,158.80078556523875
mdp.39015030853009,"Burke, Thomas,",The flower of life.,1929,m,high_female,158.67788389569176
uc2.ark:/13960/t6xw4dn8n,"Ainsworth, William Harrison,",Beatrice Tyldesley,1878,m,,158.49854080708465
mdp.39076000963459,"Hamilton, Ian Robertson,",No stone unturned; | the story of the Stone of Destiny. | $c: With a foreword by Sir Compton Mackenzie.,1952,m,high_male,158.44551439520484
