htid,author,title,year,authgender,period,diff
mdp.39015059417710,"James, G. P. R.",The Step-mother,1846,m,1800-1850,-0.4338657423623014
uiuo.ark:/13960/t9w09qv6j,"Wallace, Ellen.",The clandestine marriage,1840,f,1800-1850,-0.4310339021810634
uiuo.ark:/13960/t7np2pn3h,"Roberts,",Duty,1814,f,1800-1850,-0.4304234015705629
uiuo.ark:/13960/t9n30df6w,"Mills, John,",Our county,1850,m,1800-1850,-0.4304234015705629
njp.32101032332254,"Richardson, Samuel,",The history of Sir Charles Grandison,1810,m,1800-1850,-0.4276548522903858
uiuo.ark:/13960/t6qz2n71v,,"Harden Hall, or, The three proposals",1847,m,1800-1850,-0.42731781150845105
uiuo.ark:/13960/t6zw1tg53,"Finch, Emily.",The last days of Mary Stuart,1841,f,1800-1850,-0.4259591158562771
mdp.39015009227243,"Martineau, Harriet,",The billow and the rock,1846,f,1800-1850,-0.4249288960760573
nyp.33433074909916,"Defoe, Daniel,",Memoirs of a cavalier,1809,m,1800-1850,-0.424182070086513
hvd.hnp4pz,"Jones, Hannah Maria,","The strangers of the glen; or, The travellers benighted",1827,f,1800-1850,-0.4240518388609721
nyp.33433074868237,"Hogg, James,",The brownie of Bodsbeck;,1818,m,1800-1850,-0.4224868936340551
mdp.39015059376155,,The New British novelist;,1830,u,1800-1850,-0.422486893634055
nyp.33433067294763,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,1800-1850,-0.4212454287054394
uiuo.ark:/13960/t2q538d7s,"Whitehead, Charles,",Richard Savage,1844,m,1800-1850,-0.42070911585627735
uiuo.ark:/13960/t3dz0mv33,"Gillies, R. P.",The confessions of Sir Henry Longueville,1814,m,1800-1850,-0.418902664243374
nyp.33433074901764,"Miller, Thomas,","Godfrey Malvern, or, The life of an author",1844,m,1800-1850,-0.4171229089597255
nyp.33433067303838,"Colman, George,",The history of Elsmere and Rosa;,1817,m,1800-1850,-0.4169863435790496
uiuo.ark:/13960/t58d0d94q,,Eustace Fitz-Richard,1826,u,1800-1850,-0.41670911585627735
inu.32000000655573,"Smythies, Gordon,",The matchmaker;,1842,f,1800-1850,-0.4161376872848486
uc1.b3326166,"Moreland, Olivia.","The charms of dandyism, or, Living in style",1819,f,1800-1850,-0.41520091913496593
uiuo.ark:/13960/t9q24dz10,"Lauder, Thomas Dick,",The wolfe of Badenoch,1827,m,1800-1850,-0.4144932885181476
uiuo.ark:/13960/t4mk6zg0g,"Sherer, Moyle,",The broken font,1836,m,1800-1850,-0.4131301684878561
hvd.32044004468302,"Croker, Marianne Nicholson,",The adventures of Barney Mahoney,1832,f,1800-1850,-0.41256625871342
njp.32101064787961,"Berkeley, Grantley F.","Sandron hall, or, The days of Queen Anne",1840,u,1800-1850,-0.4116264090893597
uiuo.ark:/13960/t51g1cb2p,,"The writer's clerk, or, The humours of the Scottish metropolis",1825,u,1800-1850,-0.40941499820921845
mdp.39015065739081,"Smith, Horace,","Adam Brown, the merchant",1843,m,1800-1850,-0.4088600592525036
njp.32101063581167,"Hewlett, J.",Dunster Castle,1846,m,1800-1850,-0.4087540596765019
wu.89099223273,"Trollope, Frances Milton,",The blue belles of England,1842,f,1800-1850,-0.4060727522199135
mdp.39015059372006,"Lockhart, J. G.",Reginald Dalton,1823,m,1800-1850,-0.4055786810736686
nyp.33433074937503,"Beale, Anne.",Traits and stories of the Welsh peasantry,1849,f,1800-1850,-0.4055786810736686
uiuo.ark:/13960/t2t446x08,,"Malcolm Douglas, or, The Sibylline prophecy",1812,u,1800-1850,-0.4047091158562775
uiuo.ark:/13960/t23b6pk6s,"Smythies, Gordon,",The breach of promise;,1845,f,1800-1850,-0.4042027867423532
hvd.hwadam,"Scott, Walter,",The Waverley novels,1829,m,1800-1850,-0.4037452604345905
uiuo.ark:/13960/t03x8vb0w,,The ordeal;,1813,u,1800-1850,-0.400806676831887
uiuo.ark:/13960/t3417mv2g,"Scott, Walter",Rob Roy,1818,m,1800-1850,-0.4004343066959717
njp.32101067173052,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,1800-1850,-0.40032008842485545
njp.32101066459676,"Gore,",The dowager,1840,f,1800-1850,-0.399983377459653
uiuo.ark:/13960/t3pv6zv7w,"Cobbold, Richard,","Freston Tower, or, The early days of Cardinal Wolsey",1850,m,1800-1850,-0.3998111566726038
uiuo.ark:/13960/t42r4hr6k,"Burdon, Hannah D.",The ward of the crown,1845,f,1800-1850,-0.3996110766405908
uiuo.ark:/13960/t5v705989,"Hook, Theodore Edward,",The man of sorrow;,1808,m,1800-1850,-0.3988074765120151
uiuo.ark:/13960/t00z7vg6m,"Burdon, Hannah D.",The ward of the crown,1845,f,1800-1850,-0.3985552697024308
nyp.33433075744486,"Scott, Walter,","Woodstock ; or, The cavalier",1826,m,1800-1850,-0.3980130806139866
uc1.b3326165,"Moreland, Olivia.","The charms of dandyism, or, Living in style",1819,f,1800-1850,-0.3979558691030305
njp.32101063883274,"Norton, Caroline Sheridan,","The wife, and Woman's reward",1835,f,1800-1850,-0.3971843633810297
uiuo.ark:/13960/t40s04d2t,"Downes, Joseph.",The mountain Decameron,1836,m,1800-1850,-0.3970900682372295
njp.32101007059775,"James, G. P. R.",Forest days;,1843,m,1800-1850,-0.39700269383792886
mdp.39015063994241,"Galt, John,",Stanley Buxton;,1832,m,1800-1850,-0.3967752315587566
njp.32101064789595,"Pickering, Ellen,","The prince and the pedlar, or, The siege of Bristol",1839,f,1800-1850,-0.39638696820527075
njp.32101067647816,"James, G. P. R.",The woodman,1849,m,1800-1850,-0.39550783790100585
hvd.hnmy63,"Crombie, Alexander,","The strike, or, A dialogue between Andrew Plowman and John Treadle",1834,m,1800-1850,-0.3947091158562772
uiuo.ark:/13960/t09w13v7r,,Wedded life in the upper ranks,1831,u,1800-1850,-0.3947091158562772
uiuo.ark:/13960/t9z03hc07,"Gaskell, Elizabeth Cleghorn,",Mary Barton,1848,f,1800-1850,-0.3947091158562772
uiuo.ark:/13960/t5w66vw4h,,"Harden Hall, or, The three proposals",1847,m,1800-1850,-0.3947091158562772
uiuo.ark:/13960/t5m90gs99,"Battersby, John.",Tell-tale Sophas,1826,m,1800-1850,-0.394709115856277
uiuo.ark:/13960/t2v41dm1c,"Ainsworth, William Harrison,","Guy Fawkes, or, The gunpowder treason",1841,m,1800-1850,-0.39092123706839854
hvd.hxk4kj,,Maurice Powell: an historical Welsh tale of England's troubles,1821,u,1800-1850,-0.39027124603379204
nyp.33433075770598,"Woodland,","A tale of warning; or, The victims of indolence",1814,f,1800-1850,-0.3882988594460207
uiuo.ark:/13960/t1jh3wp5g,"Curling, Henry,",John of England,1846,m,1800-1850,-0.38721352502735323
uc2.ark:/13960/t6f18zx6f,"Marryat, Frederick,",Joseph Rushbrook,1841,m,1800-1850,-0.38608842620110473
uiuo.ark:/13960/t09w14g77,"Austen, Jane,",Northanger Abbey,1818,f,1800-1850,-0.3849688561160174
uiuo.ark:/13960/t33207z8j,"Cockton, Henry,",Stanley Thorn,1841,m,1800-1850,-0.3847091158562773
mdp.39015059376064,,The New British novelist;,1830,u,1800-1850,-0.3834025831929606
uiuo.ark:/13960/t3611fb6z,,"Harden Hall, or, The three proposals",1847,m,1800-1850,-0.3831706543178157
uc1.b3546643,"Loudon,",First love,1830,f,1800-1850,-0.3831706543178155
mdp.39015063938784,"Lockhart, J. G.",The history of Matthew Wald,1824,m,1800-1850,-0.3831706543178155
uiuo.ark:/13960/t5db8mb3r,"Jerrold, Douglas William,",Men of character,1846,m,1800-1850,-0.38220911585627704
njp.32101064787946,"Berkeley, Grantley F.","Sandron hall, or, The days of Queen Anne",1840,u,1800-1850,-0.3811956023427636
mdp.39015006945060,"Hogg, James,",Winter evening tales,1821,m,1800-1850,-0.380558172460051
mdp.39015063553161,"Gresley, W.",The siege of Lichfield,1840,u,1800-1850,-0.3802714258866723
njp.32101067173011,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,1800-1850,-0.38015885130601274
wu.89092530534,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,1800-1850,-0.3800780725992796
uiuo.ark:/13960/t8v98sx8c,,Tales of my landlord,1820,m,1800-1850,-0.3792770170908451
mdp.39015064001533,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,1800-1850,-0.37892838495926734
uiuo.ark:/13960/t9086nz4n,"Grey,",An old country house,1850,f,1800-1850,-0.3780424491896106
mdp.39015065250717,"James, G. P. R.",Charles Tyrrell;,1839,m,1800-1850,-0.3780424491896105
uiuo.ark:/13960/t82j71x1s,"Ponsonby, Emily,",Pride and irresolution,1850,f,1800-1850,-0.3780424491896105
nyp.33433074917034,"Martineau, Harriet,",Forest and game-law tales,1845,f,1800-1850,-0.3776283705146623
uiuo.ark:/13960/t3mw31t1z,"Ponsonby, Emily,",Pride and irresolution,1850,f,1800-1850,-0.3771034820534601
uc1.b3322564,"Griffin, Gerald,",The Duke of Monmouth,1836,m,1800-1850,-0.37657031459444773
uiuo.ark:/13960/t76t19t16,,"The times, a novel",1811,u,1800-1850,-0.37641643292944804
njp.32101064790122,"Porter, Anna Maria,",The barony,1830,f,1800-1850,-0.3763108474580089
njp.32101067647790,"James, G. P. R.",The woodman,1849,m,1800-1850,-0.37412088056215953
uc2.ark:/13960/t9d50n06g,"James, G. P. R.",The smuggler,1845,m,1800-1850,-0.3740324241269536
nyp.33433067303820,"Colman, George,",The history of Elsmere and Rosa;,1817,m,1800-1850,-0.3738757825229439
inu.30000001664782,"Gore,",Castles in the air,1847,f,1800-1850,-0.37274258865962434
uiuo.ark:/13960/t16m3sv2z,"Mills, John,",Our county,1850,m,1800-1850,-0.3719818431290046
uc1.b3321467,"Butler, Alfred,",Elphinstone,1844,m,1800-1850,-0.3719818431290045
uc1.b4107900,"Holcroft, Thomas,",Memoirs of Bryan Perdue,1805,m,1800-1850,-0.3719818431290045
uiuo.ark:/13960/t62528p76,"Smith, Horace,","Jane Lomax; or, A mother's crime",1838,m,1800-1850,-0.3719818431290044
uiuo.ark:/13960/t51g11k92,"Crowe, Catherine,",The story of Lilly Dawson,1847,f,1800-1850,-0.3719818431290044
uc2.ark:/13960/t39024b28,"Hook, Theodore Edward,",Jack Brag,1837,m,1800-1850,-0.3714850721404303
njp.32101064790460,"Scargill, William Pitt,",Rank and talent,1829,m,1800-1850,-0.3714171903904388
uiuo.ark:/13960/t1ng50q3j,"De Merle, William Henry,","Melton de Mowbray, or, The banker's son",1838,m,1800-1850,-0.3699838411310023
njp.32101068971348,"Kennedy, Grace,","Dunallan, or, Know what you judge",1825,f,1800-1850,-0.3681133711754263
uiuo.ark:/13960/t4wh3727f,"Pigott, Harriet,","The pride of ancestry: or, Who is she?",1804,f,1800-1850,-0.36748139308400013
uiuo.ark:/13960/t9377vt5s,"Kelty, Mary Ann,",The story of Isabel;,1826,f,1800-1850,-0.3669313380784994
uiuo.ark:/13960/t1hh7637r,"Watson, William Davy,",Trevethlan,1848,m,1800-1850,-0.3669313380784994
njp.32101068163565,"Duros, Edward.",Derwentwater,1830,m,1800-1850,-0.3669313380784991
uiuo.ark:/13960/t2d80156c,"Chamier, Frederick,",Passion and principle,1842,m,1800-1850,-0.365139223383159
uiuo.ark:/13960/t9d514v0z,"Kelly, Isabella,","Jane de Dunstanville, or, Characters as they are",1813,f,1800-1850,-0.3647091158562773
njp.32101064790452,"Scargill, William Pitt,",Rank and talent,1829,m,1800-1850,-0.3642213109782284
mdp.39015063552759,"Galt, John,","The Ayrshire legatees, or, The Pringle family",1821,m,1800-1850,-0.36395201806447913
njp.32101063581175,"Hewlett, J.",Dunster Castle,1846,m,1800-1850,-0.36393988508704633
uiuo.ark:/13960/t9r21j57d,,The ordeal;,1813,u,1800-1850,-0.3634591158562772
uc1.b3322561,"Grey, Elizabeth Caroline.",The trials of life,1829,f,1800-1850,-0.3626578338049952
uiuo.ark:/13960/t2c82zh12,"Whitehead, Charles,",Richard Savage,1844,m,1800-1850,-0.3626578338049951
njp.32101037979414,"Gresley, W.","Coniston Hall, or, The Jacobites",1849,u,1800-1850,-0.36172632426927903
uiuo.ark:/13960/t7kp8db9q,"Grey,",An old country house,1850,f,1800-1850,-0.36169024793174903
mdp.39015059376296,,The New British novelist;,1830,u,1800-1850,-0.361203961217102
uiuo.ark:/13960/t4qj8185c,"Pisani, Marianna.",The banker-lord,1840,f,1800-1850,-0.3607584985723265
uc2.ark:/13960/t1rf5qx3h,"James, G. P. R.",The smuggler,1845,m,1800-1850,-0.3606182067653682
mdp.39015063560430,"Howitt, Mary Botham,",Wood Leighton;,1836,f,1800-1850,-0.3606182067653682
uc1.b3327075,"Massie, W.",Fitzwiggins,1840,u,1800-1850,-0.3602263572355875
nyp.33433074955018,"Lathom, Francis,",Men and manners,1800,m,1800-1850,-0.3589948301419915
hvd.hn5cy1,"Budden, Maria Elizabeth,",Always happy,1837,f,1800-1850,-0.3589948301419914
hvd.hwadap,"Scott, Walter,",The Waverley novels,1829,m,1800-1850,-0.3579166630260886
njp.32101063581209,"Hook, Theodore Edward,",Peregrine Bunce;,1842,m,1800-1850,-0.3578874104299206
inu.32000009190564,"Knowles, James Sheridan,",Fortescue,1847,m,1800-1850,-0.3578874104299206
uiuo.ark:/13960/t6c25g95p,"James, G. P. R.",Arabella Stuart,1844,m,1800-1850,-0.35683032797748954
njp.32101038161780,"Lewis, Alethea,",Rhoda,1816,f,1800-1850,-0.35624757739473883
mdp.39015063560422,"Howitt, Mary Botham,",Wood Leighton;,1836,f,1800-1850,-0.3556466158562772
nyp.33433074890181,"Mayhew, Henry,","The greatest plague of life, or, The adventures of a lady in search of a good servant",1847,m,1800-1850,-0.3548540433925092
mdp.39015059376221,,The New British novelist;,1830,u,1800-1850,-0.35478282592998733
uiuo.ark:/13960/t6rx9m49k,"Crowe, Catherine,",The story of Lilly Dawson,1847,f,1800-1850,-0.3543865352111159
nyp.33433074954953,"Cullen, Margaret.",Home,1802,f,1800-1850,-0.3530424491896103
uiuo.ark:/13960/t5bc4nz7c,"Chamier, Frederick,",Passion and principle,1842,m,1800-1850,-0.352574284395603
hvd.hwadvb,"Scott, Walter,",The Waverley novels,1829,m,1800-1850,-0.35202618902700894
nyp.33433067294755,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,1800-1850,-0.3518519729991345
uiuo.ark:/13960/t8bg38q94,"Phillips, Samuel,",Caleb Stukely,1844,m,1800-1850,-0.35123085498671214
uc2.ark:/13960/t5gb23h15,"Scott, Walter,",The fortunes of Nigel,1822,m,1800-1850,-0.3502928722014551
mdp.39015063617594,"Hook, James,",Percy Mallory,1824,m,1800-1850,-0.3496271486431625
njp.32101062933443,"West, Jane,",Alicia de Lacy,1814,f,1800-1850,-0.34930960011777834
uiuo.ark:/13960/t8bg39w1x,"Siddons, Henry,","The maid, wife, and widow",1806,m,1800-1850,-0.3492545704017318
uiuo.ark:/13960/t6b28js3n,"Burney, Fanny,",The wanderer,1814,f,1800-1850,-0.34841281955998094
njp.32101066459684,"Gore,",The dowager,1840,f,1800-1850,-0.34805839815292794
uiuo.ark:/13960/t7vm4td6d,,The Observant pedestrian mounted; or A donkey tour to Brighton,1815,u,1800-1850,-0.3474118185589799
uiuo.ark:/13960/t78s53x1v,"Gordon,",The fortunes of the Falconars,1844,f,1800-1850,-0.3472407614258978
uiuo.ark:/13960/t96694b6n,"Huish, Robert,",Fitzallan,1832,m,1800-1850,-0.3472407614258976
njp.32101066459270,"Gleig, G. R.",The country curate,1830,m,1800-1850,-0.34663219277935414
uiuo.ark:/13960/t6vx0vt4j,"Lauder, Thomas Dick,",The wolfe of Badenoch,1827,m,1800-1850,-0.3465724698935443
uiuo.ark:/13960/t3bz6v35r,"Scott, Walter",Rob Roy,1818,m,1800-1850,-0.34470911585627734
uiuo.ark:/13960/t7xk8tg1p,"Kelty, Mary Ann,",The story of Isabel;,1826,f,1800-1850,-0.3447091158562772
hvd.hwadb8,"Scott, Walter,",The Waverley novels,1829,m,1800-1850,-0.34438962703838594
mdp.39015064002853,"Bray,",The novels and romances of Anna Eliza Bray,1815,f,1800-1850,-0.343768676984804
inu.39000002347248,"Gore,",The banker's wife,1843,f,1800-1850,-0.3428223234034471
uiuo.ark:/13960/t2891wf6s,"English, John,","The grey friar, and the black spirit of the Wye",1810,m,1800-1850,-0.34238353446092834
njp.32101007066028,"Brunton, Mary,",Discipline;,1814,f,1800-1850,-0.34167881282597423
dul1.ark:/13960/t1fj30r51,"Bury, Charlotte Campbell,",The exclusives,1830,f,1800-1850,-0.3414304273316871
uiuo.ark:/13960/t7hq4mz42,"Burdon, Hannah D.",The ward of the crown,1845,f,1800-1850,-0.34126083999420853
njp.32101064790593,"Smith, Horace,",Arthur Arundel,1844,m,1800-1850,-0.3412265287916007
mdp.39015063869757,"Gleig, G. R.",Allan Breck,1834,m,1800-1850,-0.3406550618022233
njp.32101068171204,"Hughes, William,",The three students of Gray's inn;,1846,m,1800-1850,-0.34036128976932073
uiuo.ark:/13960/t9765wb33,"Harding, Anne Raikes,",Realities,1825,f,1800-1850,-0.34036128976932073
uiuo.ark:/13960/t2f76xc7j,"Norton, Caroline Sheridan,","The coquette, and other tales and sketches, in prose and verse",1835,f,1800-1850,-0.3403612897693205
uc2.ark:/13960/t1vd6qn4c,"Robinson, Emma,","The armourer's daughter, or, The border riders",1850,f,1800-1850,-0.33974457684918513
uc1.b3322560,"Grey, Elizabeth Caroline.",The trials of life,1829,f,1800-1850,-0.33962437009356544
mdp.39015068100760,"Sedley, Charles,",Asmodeus;,1808,m,1800-1850,-0.33915356030072163
uiuo.ark:/13960/t4vh6632w,,"Substance and shadow; or, The fisherman's daughters of brighten",1812,u,1800-1850,-0.33840280954997093
uc1.b3327251,"Woodroofe, Anne Cox,","Michael, the married man; or, The Sequel to the history of Michael Kemp",1827,f,1800-1850,-0.3380424491896106
uiuo.ark:/13960/t9183zd5v,,Tales of my landlord,1820,m,1800-1850,-0.3377784227869704
uc1.b3322566,"Griffin, Gerald,",The Duke of Monmouth,1836,m,1800-1850,-0.33769157199662814
inu.32000009190671,"Knowles, James Sheridan,",Fortescue,1847,m,1800-1850,-0.3370168081639696
hvd.hn489f,"Kilner, Mary Ann,",Memoirs of a peg-top,1828,f,1800-1850,-0.3370168081639695
uiuo.ark:/13960/t8sb4kt8r,"Lauder, Thomas Dick,",The wolfe of Badenoch,1827,m,1800-1850,-0.3363757825229439
uc2.ark:/13960/t1kh0kh08,"Grey,",The gambler's wife,1844,f,1800-1850,-0.3356182067653683
mdp.39015059376072,,The New British novelist;,1830,u,1800-1850,-0.3349746025819409
