,htid,author,title,year
17964,mdp.39015030947660,"Brooke-Rose, Christine,",Go when you see the green man walking.,1970
14792,uc1.$b803406,"Kilpatrick, Florence A. (Florence Antoinette),","Six marriages, | $c: by Florence A. Kilpatrick.",1937
8779,uc2.ark:/13960/t41r71522,"Williamson, Henry,",Dandelion days,1922
6805,nyp.33433074911458,"Sidney, Philip,",The Countess of Pembroke's Arcadia,1891
2760,njp.32101067644052,"Ferrier, Susan,",The novels of Susan Edmonstone Ferrier,1894
17337,mdp.39015079207372,"Ogden, John.",On fire : | a novel of the 1950s / | $c: John Ogden.,2007
3711,uc2.ark:/13960/t7cr5q352,"Callwell, J. M.",Old Irish life,1912
11080,inu.30000111192971,"Bennett, Alan,",Four stories / | $c: by Alan Bennett.,2006
1302,uc2.ark:/13960/t39023x3z,"Ouida,",Pascarel,1873
18968,uc1.$b259946,"Hunebelle, Danielle,",Philippine. | $c: Translated from the French of Helen Beauclerk.,1955
5792,njp.32101067645919,"Hofland,",The Godmother's tales,1842
2116,mdp.39015059417702,"James, G. P. R.",The Step-mother,1846
906,nnc1.0037105930,,The orphans of Llangloed,1802
19583,mdp.39015063538998,"Hope, Anthony,","Rupert of Hentzau ... | being the sequel to a story by the same writer entitled ""The prisoner of Zenda"" | $c: [by Anthony Hope, pseud.]",1925
14919,inu.39000003100059,"Stow, Randolph,",A haunted land.,1956
2705,uiuo.ark:/13960/t7np2f47t,"Dunn, George.",Red cap and blue jacket,1894
470,uc1.b4104349,"Rolfe, Frederick,",In his own image,1901
9971,uc2.ark:/13960/t06w9dg08,"Ouida,","Friendship, a story",1879
399,njp.32101068163474,,The eccentric traveller,1826
4875,uc2.ark:/13960/t9z034n1r,"Field, Julian Osgood,",Aut diabolus aut nihil,1895
17864,mdp.39015079151943,"Maclean, Charles.",Home before dark / | $c: Charles Maclean.,2008
8101,mdp.39015062387199,"Dumbarton, Alfred.","Feringhi, and other stories of Indian gipsy life",1902
18104,mdp.39015032449889,"Penn, Margaret.",Young Mrs. Burton / | $c: by Margaret Penn.,1980
19985,mdp.39015060776740,"Angell, Barbara.",The entertainment machine / | $c: by Barbara Angell.,1970
8620,uiuo.ark:/13960/t22b9kw0h,"Alexander,",Found wanting,1893
1836,inu.32000003292085,"Grant, James,",The Cameronians,1881
7636,uc2.ark:/13960/t02z15c5v,"Lever, Charles James,",[Charles Lever's novels,1872
9110,uc2.ark:/13960/t23b60m40,"Boxwallah,",The Leopard's leap,1919
15423,mdp.39015032835194,"Forbes, Bryan,",The twisted playground / | $c: Bryan Forbes.,1993
6354,uiuo.ark:/13960/t0ms47n5n,"M'Donogh, Felix,",The highlanders,1824
4909,nyp.33433074920558,"Bailey, H. C.",Karl of Erbach,1903
16133,pst.000067591329,"Hall, Rich,",Magnificent bastards / | $c: Rich Hall.,2009
6172,uiuo.ark:/13960/t56d67620,"Francis, Sophia L.","Angelo Guicciardini, or, The bandit of the Alps",1809
12178,mdp.39015011535948,"Williamson, Henry,",The gale of the world.,1969
14430,mdp.39015080859716,"Humphreys, Emyr.",The woman at the window / | $c: Emyr Humphreys.,2009
8785,uc2.ark:/13960/t6zw1cg85,"Keable, Robert,",The mother of all living,1921
12987,mdp.39015016732102,"Dick, Kay.","The uncertain element, | an anthology of fantastic conceptions.",1950
16585,mdp.39015059168818,"Waites, Martyn.",The white room / | $c: Martyn Waites.,2004
17464,mdp.39015046831205,"(Charles Percy), Snow, C. P.",Death under sail.,1959
20454,mdp.39015048701257,"Nicholson, Hubert,",Ella. -,1973
20906,uc1.b3547107,"Albert-Birot, Pierre.",The first book of Grabinoulor : | epic / | $c: by Pierre Albert-Birot ; translated by Barbara Wright in consultation with Arlette Albert-Birot ; with a preface by Barbara Wright and a postface by Arlette Albert-Birot.,1986
15149,mdp.39015020125202,"Graham, Stephen,","Under-London, | $c: by Stephen Graham.",1923
13781,mdp.39015060001743,"Mahjoub, Jamal,",Travelling with Djinns / | $c: Jamal Mahjoub.,2003
11174,mdp.39015014211570,,The Literature of modern Arabia : | an anthology / | $c: edited by Salma Khadra Jayyusi.,1988
8655,njp.32101067300960,"Gibbs, Philip,",Helen of Lancaster Gate,1912
6875,uiuo.ark:/13960/t48p6d63n,"Gilliat, Edward,",Asylum Christi,1877
12930,osu.32435070795927,"Weyman, Stanley John,","Chippinge, | $c: by Stanley J. Weyman.",1926
8743,njp.32101067645463,"Griffin, Gerald,",Tales of the Munster festivals,1827
9896,mdp.39015012853274,"Flaubert, Gustave,",Sentimental education;,1898
14385,uc1.b4097966,"Bagnold, Enid.","""National Velvet."" | $c: Drawings by Laurian Jones.",1935
5773,uc2.ark:/13960/t6m040h3q,"Castle, Egerton,", La bella,1892
5881,uiuo.ark:/13960/t9w09bq3r,"Caddell, Cecilia Mary,",Home & the homeless,1858
19042,mdp.39015025144885,,Second Dedalus book of decadence the black feast) / | $c: edited by Brian Stableford.,1992
13175,mdp.39015064948170,"Ellis, Garfield.",For nothing at all / | $c: Garfield Ellis.,2005
1698,mdp.39015065966379,"Paalzow, Henriette (Wach) von,",St. Roche,1847
2642,nyp.33433082345095,"Kuppord, Skelton,",The uncharted island,1899
10278,mdp.39015063560455,"Horne, R. H.",The dreamer and the worker,1851
13593,mdp.39015069360355,"Thomson, Rupert.",Death of a murderer / | $c: Rupert Thomson.,2007
19703,mdp.39015061469048,"Wakefield, Tom.",The discus throwers / | $c: Tom Wakefield.,1985
2724,nyp.33433075929434,"Humphry,",Manners for girls,1901
16234,mdp.39015002715608,"Richards, Grant,",Vain pursuit.,1931
3284,uc1.b3324455,"Jerrold, Blanchard,",Cent per cent,1869
15680,uc1.$b242719,"Kneale, Nigel.","Tomato Cain, | and other stories; | $c: with a foreword by Elizabeth Bowen.",1949
13213,uc1.$b244345,"Fazakerley, George Raymond.","Kongoni, a novel.",1955
18518,mdp.39015005154953,,"Nobody : | or, The disgospel according to Maria Dementnaya = Nikto : a samizdat text / | $c: translated from the Russian, with an introd. by April FitzLyon.",1975
20473,mdp.39015038915255,"Amis, Kingsley.",The Green Man.,1969
17210,inu.30000107317632,"Haskell, John,",I am not Jackson Pollock / | $c: John Haskell.,2006
15433,uc1.$b787413,"Laverty, Maura,",Never no more : | the story of a lost village / | $c: by Maura Laverty.,1942
500,nyp.33433074850722,"Laffan, May.",Ismay's children,1887
17759,mdp.39015063514528,"Hope, Anthony,","The heart of Princess Osra, | $c: by Anthony Hope [pseud.]",1925
5188,uiuo.ark:/13960/t7wm1jp8t,"Bradshaw, John,",Roger North,1885
6233,mdp.39015063558327,"Oliphant,",Zaidee,1856
15165,mdp.39015016445804,"Charles, Gerda.",The crossing point.,1960
9199,uiuo.ark:/13960/t3rv13h5t,"Braddon, M. E.",The story of Barbara,1880
4147,uiuo.ark:/13960/t55d9bk8w,"Martin, Herbert,",A girl's past,1893
3590,njp.32101068169380,"Aulney, Léonie, d',",The notary's daughter,1878
1923,mdp.39015058691356,,Tales from  Blackwood.,1858
10417,mdp.39015053654912,"Edgeworth, Maria,",Tales of fashionable life,1809
2318,hvd.32044090343690,"Gore,","Mary Raymond, and other tales",1838
7105,uiuo.ark:/13960/t0ns19n45,"Molloy, J. Fitzgerald",It is no wonder,1882
1876,uiuo.ark:/13960/t9q24jt5s,,Spoken in anger,1877
11941,mdp.39015061859792,"Raj Rao, R. (Ramachandrapurapu),",The boyfriend / | $c: R. Raj Rao.,2003
9705,uiuo.ark:/13960/t2891sd44,Rita.,The laird o' Cockpen,1891
6729,uiuo.ark:/13960/t2m61wd3z,Author of No appeal.,Gerald Hastings of Barton,1870
13940,mdp.39015013392520,,The State of the art : | the mood of contemporary Australia in short stories.,1983
18556,uc1.b2800124,"Anderson, Patrick.",The character ball : | chapters of autobiography / | $c: by Patrick Anderson.,1963
4111,uiuo.ark:/13960/t51g1929n,"Peacock, Edward,","Ralf Skirlaugh, the Lincolnshire squire",1870
14663,mdp.39015049020368,"Lu, Wenfu.",The gourmet and other stories of modern China/ | $c: Lu Wenfu.,1987
2815,uiuo.ark:/13960/t57d3gt1n,"Praed, Campbell,",Nadine,1882
18620,mdp.39015056167979,"Svit, Brina.",Con Brio / | $c: Brina Svit.,2002
658,uiuo.ark:/13960/t3zs38t6b,"Maturin, Charles Robert,","Fatal revenge; or, The family of Montorio",1807
8122,uiuo.ark:/13960/t3zs39k16,"Noel, Augusta,",From generation to generation,1879
5678,njp.32101068574027,"Thomson, John Cockburn,",Heart or head,1864
16286,mdp.39015047446391,"Francis, Richard,",Fat hen / | $c: Richard Francis.,1999
7135,uc2.ark:/13960/t3vt1rf0z,"Mayhew, Henry,",1851,1851
20981,mdp.39015013512598,"Parkin, Ray.",The sword and the blossom.,1968
18199,mdp.39015007070900,"Waugh, Evelyn,","Work suspended, and other stories : | including Basil Seal rides again / | $c: Evelyn Waugh.",1965
16144,wu.89034885616,"Schoeman, Karel.",Another country / | $c: Karel Schoeman ; translated by David Schalkwyk.,1991
14682,mdp.39015001519902,,"The Most beautiful lies : | a collection of stories by five major contemporary fiction writers, Bail, Carey, Lure, Moorhouse and Wilding / | $c: edited by Brian Kiernan.",1977
840,uc2.ark:/13960/t03x87n2f,"Doudney, Sarah,","Faith Harrowby; or, The smugglers' cave",1871
13407,mdp.39015030738127,"Firbank, Ronald,","Concerning the eccentricities of Cardinal Pirelli, | $c: by Ronald Firbank.",1926
12248,mdp.39015049970992,"Robertson, James,",The fanatic / | $c: James Robertson.,2000
21404,mdp.39015063542578,"Audemars, Pierre.","Hercule and the gods, | $c: by Pierre Audemars.",1944
1344,nyp.33433074935382,"Cameron, Verney Lovett,",Among the Turks,1890
16575,uc1.$b243907,"Mais, Roger.",Brother man. | With drawings by the author.,1954
21513,mdp.39015032980438,"Spence, Vanessa,",The roads are down / | $c: Vanessa Spence.,1993
10964,njp.32101037077599,"Fenn, George Manville,",The white virgin,1894
20161,inu.30000007177755,"Plaidy, Jean,",The bastard king / | $c: Jean Plaidy [i.e. E. Hibbert].,1974
1263,uc2.ark:/13960/t6930px2m,"Harte, Bret,","The hoodlum band, and other stories",1878
5673,njp.32101072858184,,Society novelettes,1883
10273,uc1.b4102789,"Gissing, George,",Thyrza;,1892
19100,mdp.39015059247117,"Falla, Jonathan.",Poor mercy : | a novel / | $c: Jonathan Falla.,2005
3351,uc1.b4395819,"Andreyev, Leonid,",He who gets slapped;,1922
138,uiuo.ark:/13960/t2g741g5q,"Tabor, Eliza.",Janita's cross,1864
6936,uiuo.ark:/13960/t15m6vd95,"Oliphant,",Agnes,1866
1610,uc1.b3322604,"Harte, Bret,",The complete works of Bret Harte,1880
20920,mdp.39015049860557,"Kavanagh, P. J. (Patrick Joseph),",Only by mistake / | $c: P.J. Kavanagh.,1986
3114,mdp.39015030760311,"Lytton, Edward Bulwer Lytton,",[Novels],1890
20773,uc1.$b105486,"Sinclair, May.",Fame | $c: by May Sinclair being number thirteen of the Woburn Books.,1929
6675,mdp.39015063554334,"Sullivan, Arabella Jane,",Recollections of a chaperon,1883
14304,mdp.39015076550535,"Richards, Cecil John,",Wind over Fowlmere : | and other stories.,1953
13736,uc1.b3477144,"Blackwood, Caroline.",The stepdaughter / | $c: Caroline Blackwood.,1976
10855,mdp.39015058599609,"Jókai, Mór,",Timar's two worlds,1888
6060,uiuo.ark:/13960/t7jq1mj0x,"Tabor, Eliza.",Hagar,1870
16126,mdp.39015020725753,"Amis, Martin.",Success / | $c: Martin Amis.,1978
8252,nyp.33433067303671,"Grattan, Thomas Colley,","High-ways and by-ways, or, Tales of the roadside",1825
11408,uc1.b4948968,"Nonweiler, Barry",That other realm of freedom / | $c: Barry Nonweiler,1983
19854,uc1.$b716973,"Rosso, Renzo,",The hard thorn; | $c: translated from the Italian by William Weaver.,1966
15738,mdp.39015025250260,"Barillé, Elisabeth.","Anaïs Nin, naked under the mask / | $c: Elisabeth Barillé ; translated by Elfreda Powell.",1992
5665,uiuo.ark:/13960/t1fj2t155,,The Curate of Sadbrooke,1865
15846,uc1.b3752240,"Simenon, Georges,",The door; | $c: translated from the French by Daphne Woodward.,1964
16426,mdp.39015054151553,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924
19297,uc1.b4315954,"Baynes, Dorothy Julia",Fountains of youth;,1936
787,mdp.39015063536125,"Collins, Mortimer,",[Works,1883
2134,uiuo.ark:/13960/t6qz2n61d,"Hardy, Duffus,",In sight of land;,1885
4830,uiuo.ark:/13960/t25b0fr50,"Cunningham, H. S.",Chronicles of Dustypore;,1875
18227,mdp.39015080896528,"Jones, Nick.","No. 1, Chesterfield Square / | $c: Nick Jones.",2009
6460,uiuo.ark:/13960/t3320fm15,"Tytler, Sarah,",Lady Bell,1873
13488,uc1.$b801678,"Feld, Michael,",Super Shelley's Mein Kampf.,1969
9730,nyp.33433074964952,"O'Keeffe, Adelaide,","Zenobia, queen of Palmyra;",1814
2557,uc1.b3327285,"Whyte-Melville, G. J.",Black but comely,1879
11739,inu.39000001190797,"McGonagall, William.","Further poetic gems / | $c: William McGonagall, poet and tragedian ; died in Edinburgh 29th September, 1902.",1980
1678,uiuo.ark:/13960/t06w9zc7x,,"Piso and the praefect, or, The ancients off their stilts",1837
14049,uc1.32106016517119,"Pérez-Reverte, Arturo",The fencing master / | $c: Arturo Pérez-Reverte ; translated from the Spanish by Margaret Jull Costa,1999
1490,uiuo.ark:/13960/t73v06h0g,"Russell, William Clark,","Alone on a wide, wide sea",1892
4280,dul1.ark:/13960/t1vd7n98c,"Oliphant,",Salem Chapel,1863
2444,uiuo.ark:/13960/t78s50349,"Ainsworth, William Harrison,",The Spanish match,1865
14939,mdp.39015016924485,"Moorcock, Michael,",The condition of muzak : | a Jerry Cornelius novel / | $c: Michael Moorcock ; illustrated by Richard Glyn Jones.,1977
1694,uiuo.ark:/13960/t73v04r0s,"Norris, W. E.",Matthew Austin,1894
10779,uiuo.ark:/13960/t5z60sp7s,"Old Sailor,","Hamilton King, or, The smuggler and the dwarf",1839
8968,uiuo.ark:/13960/t7sn0rm9x,"Ogle, Nathaniel.",Mariamne,1825
9006,hvd.hn6fru,"Wakefield, Priscilla,","Juvenile anecdotes, founded on facts",1825
20748,uc1.$b742633,"Tilsley, W. V.",Other ranks / | $c: W. V. Tilsley ; with an introduction by Edmund Blunden.,1931
4644,nyp.33433074868997,,Hyde Nugent,1827
6745,njp.32101075686384,"Bulgarin, Faddeĭ,",Ivan Vejeeghen;,1831
19354,uc1.32106017858892,"Pearse, Lesley",Secrets / | $c: Lesley Pearse,2004
13551,mdp.39015055900172,"Burke, Sean,",Deadwater / | $c: Seán Burke.,2002
4423,uc2.ark:/13960/t0sq8s828,"Mantegazza, Paolo,","The legends of flowers: or, ""'Tis love that makes the world go round.""",1909
1603,uiuo.ark:/13960/t21c2fk9j,"Hardy, Iza Duffus.",Love in idleness;,1887
18076,uc1.$b164875,"Bacchelli, Riccardo,",Love town. | $c: Translated by Orlo Williams.,1930
6735,uiuo.ark:/13960/t6251wg1p,"Blessington, Marguerite,","Grace Cassidy, or, The repealers",1833
1103,nyp.33433076054091,"Roe, A. S.",The Star and the cloud,1857
17573,uc1.32106008591965,,"The Golden Lotus; | a translation, from the Chinese original, of the novel Chin Pʻing Mei, | $c: by Clement Egerton.",1972
18762,inu.30000038771923,"Harrison, M. John (Michael John),",Climbers / | $c: M. John Harrison.,1993
2674,uiuo.ark:/13960/t1fj34j4h,"Ouida,",Under two flags,1867
15224,uc1.b4104693,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923
10567,uiuo.ark:/13960/t3hx1p71v,"Craik, Dinah Maria Mulock,",The Ogilvies,1849
11271,mdp.39015015335774,"Feinstein, Elaine,",All you need / | $c: Elaine Feinstein.,1989
20286,mdp.39015041008353,"Buchan, James.",High latitudes : | a romance / | $c: James Buchan.,1996
14704,uc1.32106016105071,"Aidoo, Ama Ata,","Our Sister Killjoy : | or, Reflections from a black-eyed squint / | $c: Ama Ata Aidoo",1977
13580,mdp.39015011436212,"Rebreanu, Liviu,",Ion. | $c: Translated by A. Hillard.,1965
21385,mdp.39015043787004,"Dowrick, Stephanie.",Tasting salt : | a novel / | $c: Stephanie Dowrick.,1997
13508,mdp.39015046411644,"Newcastle, Margaret Cavendish, Duchess of,","Sociable letters, 1664.",1969
191,uc2.ark:/13960/t95719550,"Williamson, C. N.",The botor chaperon,1907
15975,uc1.b2829780,"Christian, Carol.",Into strange country; | a novel / | $c: by Carol Christian.,1958
728,inu.32000009172406,L. E. L.,"Lady Anne Granard, or, Keeping up appearances",1842
17803,mdp.39015047783793,"Fuller, Roy,",The ruined boys / | $c: Roy Fuller ; new introduction by Jeremy Lewis.,1987
246,mdp.39015063551322,"Frederic, Harold,",March hares,1896
4917,uiuo.ark:/13960/t58d0ds3h,"Knight, Legh.",Tonic bitters,1868
18315,uc1.b3039415,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927
21538,inu.39000005567123,,Irish folk and fairy tales / | $c: [edited by] Michael Scott.,1983
17204,mdp.39015005040806,"Faulkner, William,",Pylon / | $c: William Faulkner.,1967
17572,mdp.39015058230056,"Mortier, Erwin,",My fellow skin / | $c: Erwin Mortier ; translated from the Dutch by Ina Rilke.,2000
12005,inu.30000118579634,,"Countryside tales from ""Blackwood.""",1947
13939,uc1.32106017967016,"Faulks, Sebastian",Human traces / | $c: Sebastian Faulks,2005
544,uiuo.ark:/13960/t9862wm3v,"Glaister, Elizabeth.",The perfect path,1884
13725,mdp.39015019169294,"Leiber, Fritz,",The swords of Lankhmar.,1970
4666,uc1.b3327129,"Rowcroft, Charles,",The man without a profession,1844
5127,njp.32101064790239,"Robinson, Emma.",Owen Tudor;,1849
13810,uc1.b3811079,"Bennett, Arnold,",The night visitor and other stories.,1931
12284,mdp.39015018943830,"Livia, Anna,",Saccharin cyanide : | short stories / | $c: Anna Livia.,1990
11140,inu.30000110619669,"Jarrar, Nada A.",A good land / | $c: Nada Awar Jarrar.,2009
21744,mdp.39015030147873,"Halls, Geraldine.",The last summer of the men shortage / | $c: Geraldine Halls.,1976
10237,uiuo.ark:/13960/t2b85hw0z,"Ashe, Thomas,","The spirit of  The book;  or, Memoirs of Caroline Princess of Hasburgh",1811
2490,uiuo.ark:/13960/t1ng58v44,"Smart, Hawley,",Beatrice and Benedick,1891
7498,uiuo.ark:/13960/t59c7m55h,"Vincent, Francis,",Arundel,1840
13180,mdp.39015011600338,,From Trinidad : | an anthology of early West Indian writing / | $c: edited by Reinhard W. Sander with the assistance of Peter K. Ayers.,1978
4382,uc1.l0072665615,"McIver, G. M.",Neuroomia,1894
10102,mdp.39015009219885,"Gore,",The two aristocracies,1857
567,uc2.ark:/13960/t9183883t,"Rae, Herbert,",Maple leaves in Flanders fields,1917
8461,njp.32101064628397,"Shaw, Frank H.",When Beatty kept the seas,1917
7033,njp.32101064911975,"Marryat, Frederick,",The novels of Captain Marryat,1895
9057,uc2.ark:/13960/t4qj79k0x,"Grant, James,",The romance of war,1846
18356,inu.30000100607153,"Dalton, John.",The concrete sea / | $c: John Dalton.,2005
3940,nyp.33433074862784,"Hall, Evelyn Beatrice,",Matthew Hargraves,1914
4053,uc1.b3327633,"Quiller-Couch, Arthur,",The astonishing history of Troy town,1913
6201,uiuo.ark:/13960/t4cn7h270,"Grant, James,",The white cockade =,1867
7337,uiuo.ark:/13960/t5t72qv0p,"Cresswell, Henry.",A wily widow,1888
16993,mdp.39015037500116,,"Roubles in words kopeks in figures, and other stories / | $c: by Vasily Shukshin ; translated from the Russian by Natasha Ward and David Iliffe.",1984
18569,mdp.39015048706629,"Feinstein, Elaine.",Mother's girl / | $c: Elaine Feinstein.,1988
12097,mdp.39015000545247,"Perrin, Robert,",Jewels / | $c: Robert Perrin.,1977
11287,uc1.b2801236,"Budrys, Algis,",The furious future.,1964
12661,uc1.$b105801,"Tomlinson, H. M. (Henry Major),","Morning light, | the islanders in the days of oak and hemp | $c: [by] H. M. Tomlinson ...",1946
15479,mdp.39015011705624,"(Aleksandr Sergeevich), Neverov, A. S.",Tashkent.,1930
4543,mdp.39015065764048,"Thomson, Richard,",Tales of an antiquary,1828
4512,nyp.33433074828942,"Baxley, Claude.",Comrades,1899
16612,uc1.b3595489,"Giovene, Andrea,",The dilemma of love. | $c: Translated by Bernard Wall.,1973
19679,uc1.$b163403,"De Polnay, Peter,",Out of the square.,1950
15973,mdp.39015064948279,"Gardiner, Michael,",Escalator / | $c: Michael Gardiner.,2006
8364,inu.32000001682576,"Reade, Charles,",A perilous secret,1884
15483,mdp.39015061446343,"Hill, Susan,",The pure in heart / | $c: Susan Hill.,2005
21214,mdp.39015019865933,"(Percy Howard), Newby, P. H.",Coming in with the tide / | $c: P.H. Newby.,1991
8204,nyp.33433043830078,"Stevenson, Rennie.",Through Rhodesia with the sharpshooters,1901
15656,mdp.39015002133513,"Conrad, Joseph,",The works of Joseph Conrad.,1925
13738,uc1.$b120324,"Campbell, Anthony.",The sacred malady: | a novel.,1967
15362,mdp.39015080890158,"Akinti, Peter.",Forest gate / | $c: Peter Akinti.,2009
17122,inu.39000001845168,"Ramdoyal, Ramesh Dutt,",Tales from Mauritius / | $c: by Ramesh Ramdoyal ; edited by Rodney Phillips ; cover design and illustrations by Nazal Rosunally.,1979
14063,mdp.39015050023897,"Ballard, J. G.,",The complete short stories / | $c: J.G. Ballard.,2001
12769,mdp.39015008156054,"Andrić, Ivo,","Bosnian story, | $c: translated by Kenneth Johnstone.",1958
21504,uc1.32106018449741,"Szabó, Magda,",The door / | $c: Magda Szabó ; translated [from the Hungarian] by Len Rix,2005
1113,uc2.ark:/13960/t9n29t025,"Austin, F. Britten",Battlewrack,1917
16220,uc1.$b243574,"O'Flaherty, Liam,",Shame the devil / | $c: Liam O'Flaherty.,1934
8757,mdp.39015059392269,"Davidson, John,",A random itinerary,1894
11905,uc1.$b63287,"Béhaine, René,",Day of glory. | $c: Translated from the French by Bernard Miall.,1949
1648,uiuo.ark:/13960/t3rv0x09k,"Davenport, Selina,",The hypocrite;,1814
1250,nyp.33433074871900,"Hutton, Edward.",Frederic Uvedale,1901
10725,nyp.33433068177587,"Hillam, S. A.",Sheykh Hassan,1888
3962,uiuo.ark:/13960/t1cj8rk2q,"Ouida,",Syrlin,1890
21520,umn.31951002097653z,"Eliot, Elizabeth.",Henry.,1950
14627,uc1.$b318429,"Hémon, Louis,",Blind man's buff / | $c: by Louis Hemon ; translated by Arthur Richmond.,1924
7119,njp.32101066459791,"Gore,","Temptation and atonement, and other tales",1847
12185,mdp.39015080823209,"James, Eloisa.",Duchess by night / | $c: Eloisa James.,2009
4449,nyp.33433074897061,"Meredith, George,",The case of General Ople and Lady Camper,1890
8253,uc2.ark:/13960/t5z60gj8r,"Beschi, Costantino Giuseppe,","Strange surprising adventures of the venerable Gooroo Simple, and his five disciples, Noodle, Doodle, Wiseacre, Zany, and Foozle",1861
20757,uc1.b2799144,"Hearn, C. V.","Desert assignment, | $c: by C. V. Hearn.",1963
4514,uiuo.ark:/13960/t9280xg5h,"Philips, F. C.",The dean and his daughter,1887
10790,uva.x002450454,"Lablache, Fanny,",Starlight stories,1884
8068,njp.32101068585437,"Rossetti, Christina Georgina,","Commonplace, and other short stories",1870
16211,mdp.39015049647244,"Armstrong, Adam,",Cry of the panther / | $c: Adam Armstrong.,2000
5464,uiuo.ark:/13960/t6qz2x06f,"Wraxall, Lascelles,","Fides, or, The beauty of Mayence",1866
17218,mdp.39015043790941,"Leitch, Maurice,",The smoke king / | $c: Maurice Leitch.,1998
4858,uc2.ark:/13960/t5w66dr3v,"Baerlein, Henry,",The house of the fighting-cocks,1922
5122,mdp.39015022622859,"Pickthall, Marmaduke William,",The myopes,1907
12526,mdp.39015059405327,"Hyne, Charles John Cutcliffe Wright,",The Rev. Captain Kettle.,1925
20522,uc1.b3472693,"Douglas-Home, Robin.",When the sweet talking's done / | $c: Robin Douglas-Home.,1968
17517,uc1.32106017666501,,Opening spaces : | an anthology of contemporary African women's writing / | $c: edited by Yvonne Vera,1999
3234,uiuo.ark:/13960/t8tb1p00j,"Middlemass, Jean.",Baiting the trap,1875
387,wu.89092549310,"Birmingham, George A.,",A public scandal and other stories,1922
2088,njp.32101066457076,"Cockton, Henry,","Sylvester Sound, the somnambulist",1849
12795,mdp.39015011825448,"Asher, Michael,",A desert dies / | $c: Michael Asher.,1986
15412,uc1.b3834403,"Galsworthy, John,",The country house : | a novel / | $c: by John Galsworthy ...,1923
20193,inu.39000002315450,"Gibbons, Stella,","Nightingale wood, | $c: by Stella Gibbons.",1938
7417,uc2.ark:/13960/t3jw89g4h,"Lever, Charles James,",[Charles Lever's novels,1872
9293,uiuo.ark:/13960/t6j10nk07,"Braddon, M. E.","Weavers and weft, and other tales",1877
10041,njp.32101063606550,"Crawfurd, Archibald.",Tales of my grandmother,1825
9165,nyp.33433074892526,"Mathew, Frank James,",A child in the temple,1897
12830,mdp.39015031240875,"Isherwood, Christopher,","The memorial, | portrait of a family | $c: [by] Christopher Isherwood.",1952
2292,nyp.33433074930334,"Egerton, George,",Keynotes,1893
12019,mdp.39015048901667,"March, Richard,",The mountain of the upas tree.,1948
1629,uc1.b3325475,"Lytton, Rosina Bulwer Lytton,",Memoirs of a Muscovite,1844
2889,njp.32101067630390,"Brooks, Elbridge S.",A son of Issachar,1890
9135,uc1.b3321303,"Craik, Georgiana M.",Riverston,1857
21076,mdp.39015025396469,"Bogarde, Dirk,",Jericho / | $c: Dirk Bogarde.,1992
9197,njp.32101065640144,"Scharling, C. Henrik",Nöddebo parsonage;,1867
